BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Text|Value_Date|Comments
12/31/2021|54|0230009000000|4.81|6.17|SPEED_LIMIT|55|||020090000481
12/31/2021|54|0530002000000|14.83|15.05|SPEED_LIMIT|60|||050020001483
12/31/2021|54|0530002000000|15.05|15.08|SPEED_LIMIT|60|||050020001505
12/31/2021|54|0530002000000|3.88|6.35|SPEED_LIMIT|45|||050020000388
12/31/2021|54|0530027000100|0.96|3.35|SPEED_LIMIT|40|||05027A000096
12/31/2021|54|07200330000EB|10.13|14.3|SPEED_LIMIT|55|||070330001013
12/31/2021|54|13202190000NB|8.59|9.06|SPEED_LIMIT|40|||132190000859
12/31/2021|54|1530002000000|3.91|4.68|SPEED_LIMIT|55|||150020000391
12/31/2021|54|1540507000000|0.92|1.16|SPEED_LIMIT|35|||155070000092
12/31/2021|54|1740023090000|7.77|8.94|SPEED_LIMIT|25|||170230900777
12/31/2021|54|1740050760000|0.0|0.31|SPEED_LIMIT|25|||170507600000
12/31/2021|54|1740050760000|0.31|1.34|SPEED_LIMIT|40|||170507600031
12/31/2021|54|19203400000NB|12.047|12.88|SPEED_LIMIT|60|||193400001205
12/31/2021|54|1930009000000|0.0|1.45|SPEED_LIMIT|65|||190090000000
12/31/2021|54|1930051000000|8.13|8.66|SPEED_LIMIT|25|||190510000813
12/31/2021|54|1940029000000|1.26|2.19|SPEED_LIMIT|35|||190290000126
12/31/2021|54|1940031000000|0.0|0.029|SPEED_LIMIT|30|||190310000000
12/31/2021|54|20100770023NB|0.0|1.02|SPEED_LIMIT|60|||20077C000000
12/31/2021|54|2030622000000|1.96|2.13|SPEED_LIMIT|40|||206220000196
12/31/2021|54|2040025470000|0.1|0.36|SPEED_LIMIT|30|||200254700010
12/31/2021|54|22201190000NB|3.37|5.4|SPEED_LIMIT|65|||221190000337
12/31/2021|54|23201190000NB|2.54|2.67|SPEED_LIMIT|65|||231190000254
12/31/2021|54|2330010000000|15.25|16.17|SPEED_LIMIT|55|||230100001525
12/31/2021|54|2330010000000|19.41|20.39|SPEED_LIMIT|35|||230100001941
12/31/2021|54|2330010000000|20.39|22.05|SPEED_LIMIT|40|||230100002039
12/31/2021|54|25200190000NB|3.003|4.64|SPEED_LIMIT|40|||250190000300
12/31/2021|54|25200190000NB|7.16|7.97|SPEED_LIMIT|45|||250190000716
12/31/2021|54|2530310000000|9.67|10.1|SPEED_LIMIT|30|||253100000967
12/31/2021|54|2540073730000|2.62|2.673|SPEED_LIMIT|45|||250737300262
12/31/2021|54|28200520018EB|0.0|0.02|SPEED_LIMIT|55|||28052O000000
12/31/2021|54|31100680000EB|10.28|10.32|SPEED_LIMIT|70|||310680001028
12/31/2021|54|3140100010000|0.0|0.5|SPEED_LIMIT|25|||311000100000
12/31/2021|54|3140857000000|10.85|11.35|SPEED_LIMIT|35|||318570001085
12/31/2021|54|3540018000000|0.0|0.72|SPEED_LIMIT|25|||350180000000
12/31/2021|54|3540018010000|0.0|0.06|SPEED_LIMIT|25|||350180100000
12/31/2021|54|3540018020000|0.0|0.23|SPEED_LIMIT|25|||350180200000
