BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Text|Value_Date|Comments
12/31/2021|54|10100770016NB|52.58|67.21|TOLL_ID|288|||
12/31/2021|54|10100770016SB|52.58|61.6|TOLL_ID|288|||
12/31/2021|54|10100770016SB|61.6|67.21|TOLL_ID|288|||
12/31/2021|54|20100770016NB|67.21|77.988|TOLL_ID|288|||
12/31/2021|54|20100770016NB|77.988|79.92|TOLL_ID|288|||
12/31/2021|54|20100770016NB|79.92|82.2|TOLL_ID|288|||
12/31/2021|54|20100770016NB|82.2|82.44|TOLL_ID|288|||
12/31/2021|54|20100770016NB|82.44|82.82|TOLL_ID|288|||
12/31/2021|54|20100770016NB|82.82|95.34|TOLL_ID|288|||
12/31/2021|54|20100770016SB|67.21|75.66|TOLL_ID|288|||
12/31/2021|54|20100770016SB|75.66|78.008|TOLL_ID|288|||
12/31/2021|54|20100770016SB|78.008|79.92|TOLL_ID|288|||
12/31/2021|54|20100770016SB|79.92|82.2|TOLL_ID|288|||
12/31/2021|54|20100770016SB|82.2|82.44|TOLL_ID|288|||
12/31/2021|54|20100770016SB|82.44|82.82|TOLL_ID|288|||
12/31/2021|54|20100770016SB|82.82|95.34|TOLL_ID|288|||
12/31/2021|54|28100770016NB|8.98|14.006|TOLL_ID|288|||
12/31/2021|54|28100770016NB|14.006|15.54|TOLL_ID|288|||
12/31/2021|54|28100770016NB|15.54|19.52|TOLL_ID|288|||
12/31/2021|54|28100770016NB|19.52|27.26|TOLL_ID|288|||
12/31/2021|54|28100770016SB|8.98|14.008|TOLL_ID|288|||
12/31/2021|54|28100770016SB|14.008|19.52|TOLL_ID|288|||
12/31/2021|54|28100770016SB|19.52|27.26|TOLL_ID|288|||
12/31/2021|54|41100770016NB|27.26|28.969|TOLL_ID|288|||
12/31/2021|54|41100770016NB|28.969|29.9|TOLL_ID|288|||
12/31/2021|54|41100770016NB|29.9|30.26|TOLL_ID|288|||
12/31/2021|54|41100770016NB|30.26|48.34|TOLL_ID|288|||
12/31/2021|54|41100770016NB|48.34|52.58|TOLL_ID|288|||
12/31/2021|54|41100770016SB|27.26|28.937|TOLL_ID|288|||
12/31/2021|54|41100770016SB|28.937|29.9|TOLL_ID|288|||
12/31/2021|54|41100770016SB|29.9|40.78|TOLL_ID|288|||
12/31/2021|54|41100770016SB|40.78|41.5|TOLL_ID|288|||
12/31/2021|54|41100770016SB|41.5|48.284|TOLL_ID|288|||
12/31/2021|54|41100770016SB|48.284|52.58|TOLL_ID|288|||
