Begin_Date|State_ID|Route_ID|Begin_Point|End_Point|DataItem|Value_Numeric|Value_Text|Value_Date|Comments
12/31/2021|54|01200330000EB|0.0|1.87|AADT|8300|||
12/31/2021|54|01200330000EB|1.87|4.43|AADT|8000|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct
12/31/2021|54|01201190000NB|0.0|2.28|AADT|1400|||
12/31/2021|54|01201190000NB|2.28|6.95|AADT|1400|||
12/31/2021|54|01201190000NB|6.95|9.29|AADT|1900|||
12/31/2021|54|01201190000NB|9.29|10.33|AADT|5300|||
12/31/2021|54|01201190000NB|10.33|10.66|AADT|5600|||
12/31/2021|54|01201190000NB|10.66|11.5|AADT|5600|||
12/31/2021|54|01201190000NB|11.5|11.61|AADT|5600|||
12/31/2021|54|01201190000NB|11.61|12.35|AADT|4800|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct
12/31/2021|54|01201190000NB|12.35|14.74|AADT|3600|||
12/31/2021|54|01201190000NB|14.74|17.53|AADT|2900|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct
12/31/2021|54|01201190000NB|17.53|18.68|AADT|2100|||
12/31/2021|54|01202500000NB|0.0|3.97|AADT|4800|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct
12/31/2021|54|01202500000NB|3.97|5.43|AADT|5000|||
12/31/2021|54|01202500000NB|5.43|9.29|AADT|4500|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct
12/31/2021|54|01202500000NB|9.29|10.48|AADT|4300|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct
12/31/2021|54|01202500000NB|10.48|14.02|AADT|4400|||
12/31/2021|54|01202500000NB|14.02|15.14|AADT|7600|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct
12/31/2021|54|01202500000NB|15.14|17.31|AADT|7100|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct
12/31/2021|54|01202500002NB|0.0|0.033|AADT|2600|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; Est Pct_MC; Est Pct_Car
12/31/2021|54|01202500013NB|0.0|0.82|AADT|7100|||
12/31/2021|54|0130020000000|0.0|2.15|AADT|1800|||Est Pct_Peak_Combination; 
12/31/2021|54|0130020000000|2.15|3.94|AADT|1800|||Est Pct_Peak_Combination; 
12/31/2021|54|0130038000000|0.0|0.43|AADT|2400|||
12/31/2021|54|0130038000000|0.43|2.43|AADT|2400|||
12/31/2021|54|0130038000000|2.43|4.42|AADT|2200|||
12/31/2021|54|0130038000000|4.42|5.53|AADT|1800|||
12/31/2021|54|0130038000000|5.53|6.31|AADT|1800|||
12/31/2021|54|0130038000000|6.31|6.311|AADT|1800|||
