Begin_Date|State_ID|Route_ID|Begin_Point|End_Point|DataItem|Value_Numeric|Value_Text|Value_Date|Comments
12/31/2021|54|01200330000EB|0|1.87|AADT_SINGLE_UNIT|1029|||
12/31/2021|54|01200330000EB|1.87|4.43|AADT_SINGLE_UNIT|992|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct
12/31/2021|54|01201190000NB|6.95|9.29|AADT_SINGLE_UNIT|202|||
12/31/2021|54|01201190000NB|10.66|11.5|AADT_SINGLE_UNIT|297|||
12/31/2021|54|0130020000000|0|2.15|AADT_SINGLE_UNIT|191|||Est Pct_Peak_Combination; 
12/31/2021|54|0130038000000|0.43|2.43|AADT_SINGLE_UNIT|368|||
12/31/2021|54|0130038000000|5.53|6.31|AADT_SINGLE_UNIT|299|||
12/31/2021|54|0130076000000|1.75|6.62|AADT_SINGLE_UNIT|83|||
12/31/2021|54|0130092000000|8.64|9.978|AADT_SINGLE_UNIT|143|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0130092000000|9.978|10.729|AADT_SINGLE_UNIT|143|||Est Pct_Peak_Combination; 
12/31/2021|54|0130092000000|10.729|10.73|AADT_SINGLE_UNIT|143|||
12/31/2021|54|0140006000000|0.11|3.13|AADT_SINGLE_UNIT|56|||Est Pct_Peak_Combination; 
12/31/2021|54|0140010000000|7.41|8.63|AADT_SINGLE_UNIT|30|||
12/31/2021|54|0140011000000|3.05|3.78|AADT_SINGLE_UNIT|12|||Est Pct_Peak_Combination; 
12/31/2021|54|0140024000000|1.64|2.79|AADT_SINGLE_UNIT|16|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0140024000000|2.79|4.74|AADT_SINGLE_UNIT|16|||Est Pct_Peak_Combination; Est Pct_Buses; Est Pct_CU_Trucks; 
12/31/2021|54|0140030000000|6.14|6.83|AADT_SINGLE_UNIT|9|||Est Pct_Peak_Combination; 
12/31/2021|54|0140030070000|0|0.92|AADT_SINGLE_UNIT|9|||Est Pct_Peak_Combination; 
12/31/2021|54|0140030070000|0.92|2|AADT_SINGLE_UNIT|9|||Est Pct_Peak_Combination; 
12/31/2021|54|0140046010000|0|1.62|AADT_SINGLE_UNIT|16|||Est Pct_Peak_Combination; Est Pct_MC; Est Pct_CU_Trucks; 
12/31/2021|54|02100810000NB|0|1.39|AADT_SINGLE_UNIT|2994|||
12/31/2021|54|02100810000NB|1.39|5.01|AADT_SINGLE_UNIT|2979|||
12/31/2021|54|02100810000NB|5.01|6.27|AADT_SINGLE_UNIT|2979|||
12/31/2021|54|02100810000NB|6.27|8.42|AADT_SINGLE_UNIT|3133|||
12/31/2021|54|02100810000NB|8.42|11.63|AADT_SINGLE_UNIT|3133|||
12/31/2021|54|02100810000NB|11.63|12.98|AADT_SINGLE_UNIT|3713|||
12/31/2021|54|02100810000NB|12.98|13.54|AADT_SINGLE_UNIT|3713|||
12/31/2021|54|02100810000NB|13.54|14.26|AADT_SINGLE_UNIT|3896|||
12/31/2021|54|02100810000NB|14.26|15.22|AADT_SINGLE_UNIT|3478|||
12/31/2021|54|02100810000NB|15.22|15.62|AADT_SINGLE_UNIT|3478|||
12/31/2021|54|02100810000NB|15.62|15.95|AADT_SINGLE_UNIT|3478|||
12/31/2021|54|02100810000NB|15.95|16.23|AADT_SINGLE_UNIT|3478|||
12/31/2021|54|02100810000NB|16.23|17.3|AADT_SINGLE_UNIT|3024|||
12/31/2021|54|02100810000NB|17.3|18.13|AADT_SINGLE_UNIT|3024|||
12/31/2021|54|02100810000NB|18.13|20.37|AADT_SINGLE_UNIT|3024|||
12/31/2021|54|02100810000NB|20.37|23|AADT_SINGLE_UNIT|3038|||
12/31/2021|54|02100810000NB|23|23.46|AADT_SINGLE_UNIT|3588|||
12/31/2021|54|02100810000NB|23.46|24.53|AADT_SINGLE_UNIT|3588|||
12/31/2021|54|02100810000NB|24.53|26|AADT_SINGLE_UNIT|3588|||
12/31/2021|54|02200110000NB|5.24|6.05|AADT_SINGLE_UNIT|562|||
12/31/2021|54|02200110000NB|13.26|13.65|AADT_SINGLE_UNIT|699|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; 
12/31/2021|54|02200110000NB|13.65|13.78|AADT_SINGLE_UNIT|699|||
12/31/2021|54|02200110000NB|13.78|14.51|AADT_SINGLE_UNIT|699|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; 
12/31/2021|54|02200110000NB|14.51|14.64|AADT_SINGLE_UNIT|699|||
12/31/2021|54|02200110000NB|14.64|14.81|AADT_SINGLE_UNIT|699|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; 
12/31/2021|54|02200110000NB|16.48|17.51|AADT_SINGLE_UNIT|271|||
12/31/2021|54|02200110000NB|24.71|24.97|AADT_SINGLE_UNIT|337|||
12/31/2021|54|0230009000000|0|0.35|AADT_SINGLE_UNIT|320|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; Est Pct_MC; Est Pct_Car
12/31/2021|54|0230009000000|0.35|2.2|AADT_SINGLE_UNIT|320|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0230009000000|2.2|4.39|AADT_SINGLE_UNIT|388|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; Est Pct_MC; Est Pct_Car
12/31/2021|54|0230009000000|4.39|4.81|AADT_SINGLE_UNIT|602|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; 
12/31/2021|54|0230009000000|4.81|6.17|AADT_SINGLE_UNIT|590|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; Est Pct_MC; Est Pct_Car
12/31/2021|54|0230009000000|6.17|6.27|AADT_SINGLE_UNIT|590|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0230009000000|6.27|6.381|AADT_SINGLE_UNIT|590|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; Est Pct_MC; Est Pct_Car
12/31/2021|54|0230009000000|6.381|6.47|AADT_SINGLE_UNIT|530|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0230009000000|6.47|7.58|AADT_SINGLE_UNIT|878|||
12/31/2021|54|0230009000000|7.58|7.584|AADT_SINGLE_UNIT|878|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; 
12/31/2021|54|0230009000000|7.584|9.95|AADT_SINGLE_UNIT|878|||
12/31/2021|54|0230009000000|9.95|9.99|AADT_SINGLE_UNIT|878|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; 
12/31/2021|54|0230009000000|9.99|10.12|AADT_SINGLE_UNIT|828|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; 
12/31/2021|54|0230009000000|10.12|10.37|AADT_SINGLE_UNIT|828|||
12/31/2021|54|0230009000000|10.37|10.52|AADT_SINGLE_UNIT|828|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; 
12/31/2021|54|0230009000000|10.52|10.84|AADT_SINGLE_UNIT|828|||
12/31/2021|54|0230009000000|10.84|11.15|AADT_SINGLE_UNIT|828|||
12/31/2021|54|0230009000000|11.15|11.28|AADT_SINGLE_UNIT|828|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; 
12/31/2021|54|0230009000000|11.39|12.45|AADT_SINGLE_UNIT|828|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; 
12/31/2021|54|0230009000000|13.996|14|AADT_SINGLE_UNIT|233|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; Est Pct_MC; Est Pct_Car
12/31/2021|54|0230009000000|14|14.2|AADT_SINGLE_UNIT|251|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0230009000000|14.2|14.55|AADT_SINGLE_UNIT|251|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; Est Pct_MC; Est Pct_Car
