Year_Record|State_Code|Route_ID|Begin_Point|End_Point|Data_Item|Section_Length|Value_Numeric|Value_Text|Value_Date|Comments
2021|54|01200330000EB|0.000|1.870|Pct_Peak_Single|1.870|0.933|||
2021|54|01201190000NB|6.950|9.290|Pct_Peak_Single|2.340|0.831|||
2021|54|01201190000NB|10.660|11.500|Pct_Peak_Single|0.840|0.660|||
2021|54|0130020000000|0.000|2.150|Pct_Peak_Single|2.150|0.969|||Est Pct_Peak_Combination; 
2021|54|0130038000000|0.430|2.430|Pct_Peak_Single|2.000|0.978|||
2021|54|0130038000000|5.530|6.310|Pct_Peak_Single|0.780|1.183|||
2021|54|0130076000000|1.750|6.620|Pct_Peak_Single|4.870|0.896|||
2021|54|0130092000000|8.640|9.978|Pct_Peak_Single|1.338|0.791|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0130092000000|9.978|10.729|Pct_Peak_Single|0.751|0.791|||Est Pct_Peak_Combination; 
2021|54|0130092000000|10.729|10.730|Pct_Peak_Single|0.001|0.791|||
2021|54|0140006000000|0.110|3.130|Pct_Peak_Single|3.020|1.275|||Est Pct_Peak_Combination; 
2021|54|0140010000000|7.410|8.630|Pct_Peak_Single|1.220|3.120|||
2021|54|0140011000000|3.050|3.780|Pct_Peak_Single|0.730|0.578|||Est Pct_Peak_Combination; 
2021|54|0140024000000|1.640|2.790|Pct_Peak_Single|1.150|0.778|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0140024000000|2.790|4.740|Pct_Peak_Single|1.950|0.500|||Est Pct_Peak_Combination; Est Pct_Buses; Est Pct_CU_Trucks; 
2021|54|0140030000000|6.140|6.830|Pct_Peak_Single|0.690|0.387|||Est Pct_Peak_Combination; 
2021|54|0140030070000|0.000|0.920|Pct_Peak_Single|0.920|0.751|||Est Pct_Peak_Combination; 
2021|54|0140030070000|0.920|2.000|Pct_Peak_Single|1.080|0.751|||Est Pct_Peak_Combination; 
2021|54|0140046010000|0.000|1.620|Pct_Peak_Single|1.620|2.348|||Est Pct_Peak_Combination; Est Pct_MC; Est Pct_CU_Trucks; 
2021|54|02100810000NB|0.000|1.390|Pct_Peak_Single|1.390|0.367|||
2021|54|02100810000NB|1.390|5.010|Pct_Peak_Single|3.620|0.367|||
2021|54|02100810000NB|5.010|6.270|Pct_Peak_Single|1.260|0.367|||
2021|54|02100810000NB|6.270|8.420|Pct_Peak_Single|2.150|0.367|||
2021|54|02100810000NB|8.420|11.630|Pct_Peak_Single|3.210|0.367|||
2021|54|02100810000NB|11.630|12.980|Pct_Peak_Single|1.350|0.367|||
2021|54|02100810000NB|12.980|13.540|Pct_Peak_Single|0.560|0.367|||
2021|54|02100810000NB|13.540|14.260|Pct_Peak_Single|0.720|0.367|||
2021|54|02100810000NB|14.260|15.220|Pct_Peak_Single|0.960|0.367|||
2021|54|02100810000NB|15.220|15.620|Pct_Peak_Single|0.400|0.367|||
2021|54|02100810000NB|15.620|15.950|Pct_Peak_Single|0.330|0.367|||
2021|54|02100810000NB|15.950|16.230|Pct_Peak_Single|0.280|0.367|||
2021|54|02100810000NB|16.230|17.300|Pct_Peak_Single|1.070|0.367|||
2021|54|02100810000NB|17.300|18.130|Pct_Peak_Single|0.830|0.367|||
2021|54|02100810000NB|18.130|20.370|Pct_Peak_Single|2.240|0.367|||
2021|54|02100810000NB|20.370|23.000|Pct_Peak_Single|2.630|0.367|||
2021|54|02100810000NB|23.000|23.460|Pct_Peak_Single|0.460|0.367|||
2021|54|02100810000NB|23.460|24.530|Pct_Peak_Single|1.070|0.367|||
