Year_Record|State_Code|Route_ID|Begin_Point|End_Point|Data_Item|Section_Length|Value_Numeric|Value_Text|Value_Date|Comments
2021|54|01200330000EB|0.0|1.87|Pct_Peak_Single|1.87|0.933|||
2021|54|01201190000NB|6.95|9.29|Pct_Peak_Single|2.34|0.831|||
2021|54|01201190000NB|10.66|11.5|Pct_Peak_Single|0.84|0.66|||
2021|54|0130020000000|0.0|2.15|Pct_Peak_Single|2.15|0.969|||Est Pct_Peak_Combination; 
2021|54|0130038000000|0.43|2.43|Pct_Peak_Single|2.0|0.978|||
2021|54|0130038000000|5.53|6.31|Pct_Peak_Single|0.78|1.183|||
2021|54|0130076000000|1.75|6.62|Pct_Peak_Single|4.87|0.896|||
2021|54|0130092000000|8.64|9.978|Pct_Peak_Single|1.338|0.791|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0130092000000|9.978|10.729|Pct_Peak_Single|0.751|0.791|||Est Pct_Peak_Combination; 
2021|54|0130092000000|10.729|10.73|Pct_Peak_Single|0.001|0.791|||
2021|54|0140006000000|0.11|3.13|Pct_Peak_Single|3.02|1.275|||Est Pct_Peak_Combination; 
2021|54|0140010000000|7.41|8.63|Pct_Peak_Single|1.22|3.12|||
2021|54|0140011000000|3.05|3.78|Pct_Peak_Single|0.73|0.578|||Est Pct_Peak_Combination; 
2021|54|0140024000000|1.64|2.79|Pct_Peak_Single|1.15|0.778|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0140024000000|2.79|4.74|Pct_Peak_Single|1.95|0.5|||Est Pct_Peak_Combination; Est Pct_Buses; Est Pct_CU_Trucks; 
2021|54|0140030000000|6.14|6.83|Pct_Peak_Single|0.69|0.387|||Est Pct_Peak_Combination; 
2021|54|0140030070000|0.0|0.92|Pct_Peak_Single|0.92|0.751|||Est Pct_Peak_Combination; 
2021|54|0140030070000|0.92|2.0|Pct_Peak_Single|1.08|0.751|||Est Pct_Peak_Combination; 
2021|54|0140046010000|0.0|1.62|Pct_Peak_Single|1.62|2.348|||Est Pct_Peak_Combination; Est Pct_MC; Est Pct_CU_Trucks; 
2021|54|02100810000NB|0.0|1.39|Pct_Peak_Single|1.39|0.367|||
2021|54|02100810000NB|1.39|5.01|Pct_Peak_Single|3.62|0.367|||
2021|54|02100810000NB|5.01|6.27|Pct_Peak_Single|1.26|0.367|||
2021|54|02100810000NB|6.27|8.42|Pct_Peak_Single|2.15|0.367|||
2021|54|02100810000NB|8.42|11.63|Pct_Peak_Single|3.21|0.367|||
2021|54|02100810000NB|11.63|12.98|Pct_Peak_Single|1.35|0.367|||
2021|54|02100810000NB|12.98|13.54|Pct_Peak_Single|0.56|0.367|||
2021|54|02100810000NB|13.54|14.26|Pct_Peak_Single|0.72|0.367|||
2021|54|02100810000NB|14.26|15.22|Pct_Peak_Single|0.96|0.367|||
2021|54|02100810000NB|15.22|15.62|Pct_Peak_Single|0.4|0.367|||
2021|54|02100810000NB|15.62|15.95|Pct_Peak_Single|0.33|0.367|||
2021|54|02100810000NB|15.95|16.23|Pct_Peak_Single|0.28|0.367|||
2021|54|02100810000NB|16.23|17.3|Pct_Peak_Single|1.07|0.367|||
2021|54|02100810000NB|17.3|18.13|Pct_Peak_Single|0.83|0.367|||
2021|54|02100810000NB|18.13|20.37|Pct_Peak_Single|2.24|0.367|||
2021|54|02100810000NB|20.37|23.0|Pct_Peak_Single|2.63|0.367|||
2021|54|02100810000NB|23.0|23.46|Pct_Peak_Single|0.46|0.367|||
2021|54|02100810000NB|23.46|24.53|Pct_Peak_Single|1.07|0.367|||
2021|54|02100810000NB|24.53|26.0|Pct_Peak_Single|1.47|0.367|||
2021|54|02200110000NB|5.24|6.05|Pct_Peak_Single|0.81|0.339|||
2021|54|02200110000NB|13.65|13.78|Pct_Peak_Single|0.13|0.189|||
2021|54|02200110000NB|14.51|14.64|Pct_Peak_Single|0.13|0.189|||
2021|54|02200110000NB|16.48|17.51|Pct_Peak_Single|1.03|0.235|||
2021|54|02200110000NB|24.71|24.97|Pct_Peak_Single|0.26|0.34|||
2021|54|0230009000000|0.35|2.2|Pct_Peak_Single|1.85|0.322|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0230009000000|6.17|6.27|Pct_Peak_Single|0.1|0.322|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0230009000000|6.381|6.47|Pct_Peak_Single|0.089|0.322|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0230009000000|6.47|7.58|Pct_Peak_Single|1.11|0.31|||
2021|54|0230009000000|7.584|9.95|Pct_Peak_Single|2.366|0.31|||
2021|54|0230009000000|10.12|10.37|Pct_Peak_Single|0.25|0.3|||
2021|54|0230009000000|10.52|10.84|Pct_Peak_Single|0.32|0.3|||
2021|54|0230009000000|10.84|11.15|Pct_Peak_Single|0.31|0.3|||
2021|54|0230009000000|14.0|14.2|Pct_Peak_Single|0.2|0.3|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0230009000000|14.55|14.9|Pct_Peak_Single|0.35|0.3|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0230009000000|15.57|15.79|Pct_Peak_Single|0.22|0.215|||
2021|54|0230009000000|15.79|16.09|Pct_Peak_Single|0.3|0.215|||
2021|54|0230009000000|17.07|17.48|Pct_Peak_Single|0.41|0.397|||
2021|54|0230009000000|18.18|20.16|Pct_Peak_Single|1.98|0.316|||
2021|54|0230045000000|13.355|13.76|Pct_Peak_Single|0.405|1.487|||
2021|54|0230045000000|14.39|14.52|Pct_Peak_Single|0.13|0.182|||
