Year_Record|State_Code|Route_ID|Begin_Point|End_Point|Data_Item|Section_Length|Value_Numeric|Value_Text|Value_Date|Comments
2021|54|01200330000EB|0.0|1.87|Pct_Peak_Combination|1.87|0.461|||
2021|54|01201190000NB|6.95|9.29|Pct_Peak_Combination|2.34|0.156|||
2021|54|01201190000NB|10.66|11.5|Pct_Peak_Combination|0.84|0.054|||
2021|54|0130020000000|0.0|2.15|Pct_Peak_Combination|2.15|0.151|||Est Pct_Peak_Combination; 
2021|54|0130038000000|0.43|2.43|Pct_Peak_Combination|2.0|0.128|||
2021|54|0130038000000|5.53|6.31|Pct_Peak_Combination|0.78|0.113|||
2021|54|0130076000000|1.75|6.62|Pct_Peak_Combination|4.87|0.269|||
2021|54|0130092000000|8.64|9.978|Pct_Peak_Combination|1.338|0.176|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0130092000000|9.978|10.729|Pct_Peak_Combination|0.751|0.176|||Est Pct_Peak_Combination; 
2021|54|0130092000000|10.729|10.73|Pct_Peak_Combination|0.001|0.176|||
2021|54|0140006000000|0.11|3.13|Pct_Peak_Combination|3.02|0.015|||Est Pct_Peak_Combination; 
2021|54|0140010000000|7.41|8.63|Pct_Peak_Combination|1.22|0.446|||
2021|54|0140011000000|3.05|3.78|Pct_Peak_Combination|0.73|0.186|||Est Pct_Peak_Combination; 
2021|54|0140024000000|1.64|2.79|Pct_Peak_Combination|1.15|0.123|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0140024000000|2.79|4.74|Pct_Peak_Combination|1.95|0.123|||Est Pct_Peak_Combination; Est Pct_Buses; Est Pct_CU_Trucks; 
2021|54|0140030000000|6.14|6.83|Pct_Peak_Combination|0.69|0.186|||Est Pct_Peak_Combination; 
2021|54|0140030070000|0.0|0.92|Pct_Peak_Combination|0.92|0.186|||Est Pct_Peak_Combination; 
2021|54|0140030070000|0.92|2.0|Pct_Peak_Combination|1.08|0.186|||Est Pct_Peak_Combination; 
