BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Text|Value_Date|Comments
12/31/2021|54|01200330000EB|0.0|1.87|K_FACTOR|10|||
12/31/2021|54|01201190000NB|6.95|9.29|K_FACTOR|14|||
12/31/2021|54|01201190000NB|10.66|11.5|K_FACTOR|13|||
12/31/2021|54|0130020000000|0.0|2.15|K_FACTOR|13|||Est Pct_Peak_Combination; 
12/31/2021|54|0130038000000|0.43|2.43|K_FACTOR|13|||
12/31/2021|54|0130038000000|5.53|6.31|K_FACTOR|11|||
12/31/2021|54|0130076000000|1.75|6.62|K_FACTOR|13|||
12/31/2021|54|0130092000000|8.64|9.978|K_FACTOR|12|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0130092000000|9.978|10.729|K_FACTOR|12|||Est Pct_Peak_Combination; 
12/31/2021|54|0130092000000|10.729|10.73|K_FACTOR|12|||
12/31/2021|54|0140006000000|0.11|3.13|K_FACTOR|16|||Est Pct_Peak_Combination; 
12/31/2021|54|0140010000000|7.41|8.63|K_FACTOR|15|||
12/31/2021|54|0140011000000|3.05|3.78|K_FACTOR|16|||Est Pct_Peak_Combination; 
12/31/2021|54|0140024000000|1.64|2.79|K_FACTOR|20|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0140024000000|2.79|4.74|K_FACTOR|17|||Est Pct_Peak_Combination; Est Pct_Buses; Est Pct_CU_Trucks; 
12/31/2021|54|0140030000000|6.14|6.83|K_FACTOR|12|||Est Pct_Peak_Combination; 
12/31/2021|54|0140030070000|0.0|0.92|K_FACTOR|13|||Est Pct_Peak_Combination; 
12/31/2021|54|0140030070000|0.92|2.0|K_FACTOR|13|||Est Pct_Peak_Combination; 
12/31/2021|54|0140046010000|0.0|1.62|K_FACTOR|23|||Est Pct_Peak_Combination; Est Pct_MC; Est Pct_CU_Trucks; 
12/31/2021|54|02100810000NB|0.0|1.39|K_FACTOR|12|||
12/31/2021|54|02100810000NB|1.39|5.01|K_FACTOR|12|||
12/31/2021|54|02100810000NB|5.01|6.27|K_FACTOR|12|||
12/31/2021|54|02100810000NB|6.27|8.42|K_FACTOR|13|||
12/31/2021|54|02100810000NB|8.42|11.63|K_FACTOR|13|||
12/31/2021|54|02100810000NB|11.63|12.98|K_FACTOR|13|||
12/31/2021|54|02100810000NB|12.98|13.54|K_FACTOR|13|||
12/31/2021|54|02100810000NB|13.54|14.26|K_FACTOR|13|||
12/31/2021|54|02100810000NB|14.26|15.22|K_FACTOR|13|||
12/31/2021|54|02100810000NB|15.22|15.62|K_FACTOR|13|||
12/31/2021|54|02100810000NB|15.62|15.95|K_FACTOR|13|||
12/31/2021|54|02100810000NB|15.95|16.23|K_FACTOR|13|||
12/31/2021|54|02100810000NB|16.23|17.3|K_FACTOR|15|||
12/31/2021|54|02100810000NB|17.3|18.13|K_FACTOR|15|||
12/31/2021|54|02100810000NB|18.13|20.37|K_FACTOR|15|||
12/31/2021|54|02100810000NB|20.37|23.0|K_FACTOR|15|||
12/31/2021|54|02100810000NB|23.0|23.46|K_FACTOR|13|||
12/31/2021|54|02100810000NB|23.46|24.53|K_FACTOR|13|||
12/31/2021|54|02100810000NB|24.53|26.0|K_FACTOR|13|||
12/31/2021|54|02200110000NB|5.24|6.05|K_FACTOR|15|||
12/31/2021|54|02200110000NB|13.65|13.78|K_FACTOR|14|||
12/31/2021|54|02200110000NB|14.51|14.64|K_FACTOR|14|||
12/31/2021|54|02200110000NB|16.48|17.51|K_FACTOR|18|||
12/31/2021|54|02200110000NB|24.71|24.97|K_FACTOR|18|||
12/31/2021|54|0230009000000|0.35|2.2|K_FACTOR|19|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0230009000000|6.17|6.27|K_FACTOR|18|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0230009000000|6.381|6.47|K_FACTOR|15|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0230009000000|6.47|7.58|K_FACTOR|13|||
12/31/2021|54|0230009000000|7.584|9.95|K_FACTOR|13|||
12/31/2021|54|0230009000000|10.12|10.37|K_FACTOR|17|||
12/31/2021|54|0230009000000|10.52|10.84|K_FACTOR|17|||
12/31/2021|54|0230009000000|10.84|11.15|K_FACTOR|17|||
12/31/2021|54|0230009000000|14.0|14.2|K_FACTOR|16|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0230009000000|14.55|14.9|K_FACTOR|16|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
12/31/2021|54|0230009000000|15.57|15.79|K_FACTOR|15|||
12/31/2021|54|0230009000000|15.79|16.09|K_FACTOR|15|||
12/31/2021|54|0230009000000|17.07|17.48|K_FACTOR|15|||
12/31/2021|54|0230009000000|18.18|20.16|K_FACTOR|16|||
12/31/2021|54|0230045000000|13.355|13.76|K_FACTOR|22|||
12/31/2021|54|0230045000000|14.39|14.52|K_FACTOR|13|||
12/31/2021|54|0230045000000|14.52|14.85|K_FACTOR|13|||
12/31/2021|54|0230045000000|14.85|15.31|K_FACTOR|14|||
12/31/2021|54|0230045000000|17.53|18.23|K_FACTOR|15|||
12/31/2021|54|0230045000000|19.08|19.61|K_FACTOR|17|||
12/31/2021|54|0230051000000|1.87|2.841|K_FACTOR|17|||
12/31/2021|54|0230051000000|2.841|4.13|K_FACTOR|14|||
12/31/2021|54|0230051000000|4.13|4.54|K_FACTOR|14|||
12/31/2021|54|0230051000000|4.54|4.58|K_FACTOR|14|||
12/31/2021|54|0230051000000|4.58|4.62|K_FACTOR|15|||
12/31/2021|54|0230051000000|4.62|5.18|K_FACTOR|15|||
12/31/2021|54|0230051000000|5.4|8.591|K_FACTOR|16|||
