BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Text|Value_Date|Comments
12/31/2021|54|02100810000NB|0.0|1.39|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|1.39|6.27|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|6.27|11.63|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|11.63|13.54|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|13.54|14.26|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|14.26|15.22|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|15.22|15.62|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|15.62|15.95|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|15.95|16.23|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|16.23|17.3|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|17.3|18.13|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|18.13|20.37|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|20.37|23.0|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|23.0|23.46|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|23.46|24.53|PEAK_PARKING|3|||
12/31/2021|54|02100810000NB|24.53|26.0|PEAK_PARKING|3|||
12/31/2021|54|02200110000NB|5.24|6.05|PEAK_PARKING|3|||
12/31/2021|54|02200110000NB|13.65|13.78|PEAK_PARKING|3|||
12/31/2021|54|02200110000NB|14.51|14.64|PEAK_PARKING|3|||
12/31/2021|54|02200110000NB|16.48|17.51|PEAK_PARKING|3|||
12/31/2021|54|02200110000NB|24.71|24.97|PEAK_PARKING|3|||
12/31/2021|54|0230009000000|6.381|6.47|PEAK_PARKING|3|||
12/31/2021|54|0230009000000|6.47|7.58|PEAK_PARKING|3|||
12/31/2021|54|0230009000000|7.584|9.95|PEAK_PARKING|3|||
12/31/2021|54|0230009000000|10.12|10.37|PEAK_PARKING|3|||
12/31/2021|54|0230009000000|10.52|10.532|PEAK_PARKING|3|||
12/31/2021|54|0230009000000|10.532|10.84|PEAK_PARKING|3|||
12/31/2021|54|0230009000000|10.84|10.893|PEAK_PARKING|3|||
12/31/2021|54|0230009000000|10.893|11.15|PEAK_PARKING|3|||
12/31/2021|54|0230009000000|14.0|14.2|PEAK_PARKING|2|||
12/31/2021|54|0230009000000|14.55|14.9|PEAK_PARKING|1|||
12/31/2021|54|0230009000000|15.57|15.79|PEAK_PARKING|3|||
12/31/2021|54|0230009000000|15.79|16.09|PEAK_PARKING|3|||
12/31/2021|54|0230009000000|17.07|17.48|PEAK_PARKING|3|||
12/31/2021|54|0230009000000|18.18|20.16|PEAK_PARKING|3|||
12/31/2021|54|0230045000000|13.355|13.76|PEAK_PARKING|3|||
12/31/2021|54|0230045000000|14.39|14.52|PEAK_PARKING|3|||
12/31/2021|54|0230045000000|14.52|14.85|PEAK_PARKING|3|||
12/31/2021|54|0230045000000|14.85|15.31|PEAK_PARKING|3|||
12/31/2021|54|0230045000000|17.53|18.23|PEAK_PARKING|3|||
12/31/2021|54|0230045000000|19.08|19.61|PEAK_PARKING|1|||
12/31/2021|54|0230051000000|2.841|4.13|PEAK_PARKING|3|||
12/31/2021|54|0230051000000|4.13|4.54|PEAK_PARKING|3|||
12/31/2021|54|0230051000000|4.54|4.58|PEAK_PARKING|3|||
12/31/2021|54|0230051000000|4.58|4.62|PEAK_PARKING|3|||
12/31/2021|54|0230051000000|4.62|5.18|PEAK_PARKING|3|||
12/31/2021|54|0230051000000|5.4|8.591|PEAK_PARKING|3|||
12/31/2021|54|0230901000000|4.86|5.44|PEAK_PARKING|3|||
12/31/2021|54|0240001000000|8.14|9.32|PEAK_PARKING|3|||
12/31/2021|54|0240009130000|0.4|1.92|PEAK_PARKING|3|||
12/31/2021|54|0240009270000|0.0|0.31|PEAK_PARKING|3|||
12/31/2021|54|0240010010000|0.0|0.69|PEAK_PARKING|3|||
12/31/2021|54|0240011130000|0.28|0.41|PEAK_PARKING|3|||
12/31/2021|54|0240011130000|0.41|0.55|PEAK_PARKING|3|||
12/31/2021|54|0240011190000|0.0|0.31|PEAK_PARKING|3|||
12/31/2021|54|0240011240000|0.0|0.85|PEAK_PARKING|3|||
12/31/2021|54|0240011330000|0.0|0.26|PEAK_PARKING|3|||
12/31/2021|54|0240011370000|0.0|0.23|PEAK_PARKING|3|||
12/31/2021|54|0240012000000|0.0|1.29|PEAK_PARKING|3|||
12/31/2021|54|0240013000000|0.43|1.03|PEAK_PARKING|3|||
12/31/2021|54|0240013000000|1.03|1.5|PEAK_PARKING|3|||
12/31/2021|54|0240013000000|2.75|3.716|PEAK_PARKING|3|||
12/31/2021|54|0240015000000|2.78|3.06|PEAK_PARKING|3|||
12/31/2021|54|0240019000000|1.55|3.438|PEAK_PARKING|3|||
12/31/2021|54|0240019000000|3.438|4.04|PEAK_PARKING|3|||
12/31/2021|54|0240030000000|4.175|4.37|PEAK_PARKING|3|||
12/31/2021|54|0240032000000|0.0|1.26|PEAK_PARKING|3|||
12/31/2021|54|0240032000000|1.26|1.565|PEAK_PARKING|3|||
12/31/2021|54|0240032000000|1.565|2.15|PEAK_PARKING|3|||
12/31/2021|54|0240034030000|0.0|1.01|PEAK_PARKING|3|||
12/31/2021|54|0240036010000|1.6|1.98|PEAK_PARKING|3|||
12/31/2021|54|0240045050000|0.55|1.25|PEAK_PARKING|3|||
12/31/2021|54|0240051070000|2.28|3.56|PEAK_PARKING|3|||
12/31/2021|54|0274252001900|0.0|0.64|PEAK_PARKING|2|||
12/31/2021|54|0274256001900|0.0|0.66|PEAK_PARKING|3|||
12/31/2021|54|0274257001900|0.0|0.11|PEAK_PARKING|2|||
12/31/2021|54|0274257001900|0.11|0.42|PEAK_PARKING|2|||
12/31/2021|54|0274259001900|0.0|0.17|PEAK_PARKING|2|||
12/31/2021|54|0274259001900|0.17|0.61|PEAK_PARKING|1|||
12/31/2021|54|0274265001900|0.0|0.57|PEAK_PARKING|2|||
