BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Text|Value_Date|Comments
12/31/2021|54|01201190000NB|6.95|9.29|PCT_PASS_SIGHT|9|||
12/31/2021|54|01201190000NB|10.66|11.5|PCT_PASS_SIGHT|0|||
12/31/2021|54|0130020000000|0.0|2.15|PCT_PASS_SIGHT|1|||
12/31/2021|54|0130038000000|0.43|2.43|PCT_PASS_SIGHT|0|||
12/31/2021|54|0130038000000|5.53|6.31|PCT_PASS_SIGHT|0|||
12/31/2021|54|0130076000000|1.75|6.62|PCT_PASS_SIGHT|0|||
12/31/2021|54|0130092000000|8.64|9.265|PCT_PASS_SIGHT|15|||
12/31/2021|54|0130092000000|9.265|10.73|PCT_PASS_SIGHT|15|||
12/31/2021|54|0140006000000|0.11|3.13|PCT_PASS_SIGHT|4|||
12/31/2021|54|0140010000000|7.41|8.63|PCT_PASS_SIGHT|0|||
12/31/2021|54|0140011000000|3.05|3.78|PCT_PASS_SIGHT|0|||
12/31/2021|54|0140024000000|1.64|2.79|PCT_PASS_SIGHT|0|||
12/31/2021|54|0140024000000|2.79|4.74|PCT_PASS_SIGHT|0|||
12/31/2021|54|0140030000000|6.14|6.83|PCT_PASS_SIGHT|0|||
12/31/2021|54|0140030070000|0.0|0.92|PCT_PASS_SIGHT|0|||
12/31/2021|54|0140030070000|0.92|2.0|PCT_PASS_SIGHT|0|||
12/31/2021|54|0140046010000|0.0|1.62|PCT_PASS_SIGHT|0|||
12/31/2021|54|0230009000000|0.35|2.2|PCT_PASS_SIGHT|10|||
12/31/2021|54|0230009000000|4.81|6.17|PCT_PASS_SIGHT|0|||
12/31/2021|54|0230009000000|6.17|6.27|PCT_PASS_SIGHT|0|||
12/31/2021|54|0230051000000|1.87|2.841|PCT_PASS_SIGHT|1|||
12/31/2021|54|0240005000000|5.9|7.94|PCT_PASS_SIGHT|0|||
12/31/2021|54|0240009050000|1.67|3.26|PCT_PASS_SIGHT|0|||
12/31/2021|54|0330003000000|8.17|11.14|PCT_PASS_SIGHT|5|||
12/31/2021|54|0330085000000|10.67|13.13|PCT_PASS_SIGHT|9|||
12/31/2021|54|0330085000000|34.05|34.35|PCT_PASS_SIGHT|0|||
12/31/2021|54|0330094000000|0.0|3.01|PCT_PASS_SIGHT|34|||
12/31/2021|54|0330099000000|0.0|1.84|PCT_PASS_SIGHT|4|||
12/31/2021|54|0340005000000|5.42|6.96|PCT_PASS_SIGHT|0|||
12/31/2021|54|0340005000000|15.1|17.57|PCT_PASS_SIGHT|0|||
12/31/2021|54|0340006000000|2.99|5.53|PCT_PASS_SIGHT|0|||
12/31/2021|54|04200190000NB|26.57|27.56|PCT_PASS_SIGHT|0|||
12/31/2021|54|04200190000NB|27.56|27.64|PCT_PASS_SIGHT|0|||
12/31/2021|54|0440032000000|6.27|6.5|PCT_PASS_SIGHT|0|||
12/31/2021|54|0530027000000|1.58|2.26|PCT_PASS_SIGHT|0|||
12/31/2021|54|0530067000000|6.14|6.71|PCT_PASS_SIGHT|0|||
12/31/2021|54|0630002000000|9.98|10.08|PCT_PASS_SIGHT|50|||
12/31/2021|54|0630002000000|14.38|17.99|PCT_PASS_SIGHT|80|||
12/31/2021|54|0640017000000|4.05|4.17|PCT_PASS_SIGHT|0|||
12/31/2021|54|0640017000000|4.3|4.41|PCT_PASS_SIGHT|0|||
12/31/2021|54|0640017000000|4.47|5.02|PCT_PASS_SIGHT|0|||
12/31/2021|54|07200330000EB|0.09|2.33|PCT_PASS_SIGHT|0|||
12/31/2021|54|07200330000EB|3.68|5.03|PCT_PASS_SIGHT|0|||
12/31/2021|54|07200330000EB|5.59|6.2|PCT_PASS_SIGHT|16|||
12/31/2021|54|07200330000EB|6.2|6.6|PCT_PASS_SIGHT|0|||
12/31/2021|54|07200330000EB|6.62|8.3|PCT_PASS_SIGHT|0|||
12/31/2021|54|07200330000EB|10.13|14.3|PCT_PASS_SIGHT|0|||
12/31/2021|54|07200330000EB|14.3|14.86|PCT_PASS_SIGHT|7|||
12/31/2021|54|0730005000000|12.09|12.62|PCT_PASS_SIGHT|0|||
12/31/2021|54|0740004000000|0.0|0.67|PCT_PASS_SIGHT|0|||
12/31/2021|54|0740011000000|6.9|7.85|PCT_PASS_SIGHT|0|||
12/31/2021|54|0830004000000|15.75|19.01|PCT_PASS_SIGHT|4|||
12/31/2021|54|0830004000000|21.98|22.98|PCT_PASS_SIGHT|32|||
12/31/2021|54|0830016000000|19.19|20.35|PCT_PASS_SIGHT|0|||
12/31/2021|54|0830036000000|2.48|4.2|PCT_PASS_SIGHT|15|||
12/31/2021|54|0940003000000|4.14|5.77|PCT_PASS_SIGHT|0|||
12/31/2021|54|0940011000000|11.45|12.55|PCT_PASS_SIGHT|0|||
12/31/2021|54|10200600000EB|0.34|1.01|PCT_PASS_SIGHT|0|||
