BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Text|Value_Date|Comments
12/1/2021|54|01200330000EB|0.0|0.1|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|0.1|0.2|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|0.2|0.3|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|0.3|0.4|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|0.4|0.5|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|0.5|0.6|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|0.6|0.7|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|0.7|0.8|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|0.8|0.9|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|0.9|1.0|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|1.0|1.1|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|1.1|1.2|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|1.2|1.3|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|1.3|1.4|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|1.4|1.5|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|1.5|1.6|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|1.6|1.7|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|1.7|1.8|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|1.8|1.9|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|1.9|2.0|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|2.0|2.1|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|2.1|2.2|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|2.2|2.3|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|2.3|2.4|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|2.4|2.5|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|2.5|2.6|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|2.6|2.7|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|2.7|2.8|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|2.8|2.9|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|2.9|3.0|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|3.0|3.1|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|3.1|3.2|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|3.2|3.3|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|3.3|3.4|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|3.4|3.5|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|3.5|3.6|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|3.6|3.7|SURFACE_TYPE|3.0||14/09/2021|
12/1/2021|54|01200330000EB|3.7|3.8|SURFACE_TYPE|3.0||14/09/2021|
