BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Date|Value_Text
12/31/2021|54|08100790000NB|39.91|41.43|THICKNESS_FLEXIBLE|9.0||
12/31/2021|54|08100790000NB|41.43|44.6|THICKNESS_FLEXIBLE|9.0||
12/31/2021|54|20100640000EB|53.75|54.37|THICKNESS_FLEXIBLE|7.0||
12/31/2021|54|27200350000NB|17.85|17.98|THICKNESS_FLEXIBLE|13.0||
12/31/2021|54|27200350000NB|16.41|16.6|THICKNESS_FLEXIBLE|13.0||
12/31/2021|54|20100640000EB|52.73|53.75|THICKNESS_FLEXIBLE|7.0||
12/31/2021|54|27200350000NB|17.98|18.322|THICKNESS_FLEXIBLE|13.0||
12/31/2021|54|27200350000NB|8.53|8.85|THICKNESS_FLEXIBLE|13.0||
12/31/2021|54|27200350000NB|17.413|17.59|THICKNESS_FLEXIBLE|13.0||
12/31/2021|54|27200350000NB|16.64|17.28|THICKNESS_FLEXIBLE|13.0||
12/31/2021|54|20100790000NB|16.04|19.22|THICKNESS_FLEXIBLE|9.0||
12/31/2021|54|40100640000EB|31.77|32.57|THICKNESS_FLEXIBLE|9.0||
12/31/2021|54|40100640000EB|36.27|38.68|THICKNESS_FLEXIBLE|9.0||
12/31/2021|54|40100640000EB|34.45|36.27|THICKNESS_FLEXIBLE|9.0||
12/31/2021|54|40100640000EB|40.46|41.546|THICKNESS_FLEXIBLE|9.0||
12/31/2021|54|40100640000EB|33.45|34.45|THICKNESS_FLEXIBLE|9.0||
12/31/2021|54|40100640000EB|32.57|33.45|THICKNESS_FLEXIBLE|9.0||
12/31/2021|54|3940003000000|4.6|7.27|THICKNESS_FLEXIBLE|8.0||
12/31/2021|54|39100680000EB|31.42|32.06|THICKNESS_FLEXIBLE|8.0||
12/31/2021|54|39202190000NB|0.0|0.8|THICKNESS_FLEXIBLE|8.0||
12/31/2021|54|39202190000NB|0.8|3.01|THICKNESS_FLEXIBLE|8.0||
12/31/2021|54|39202190000NB|3.01|3.31|THICKNESS_FLEXIBLE|8.0||
12/31/2021|54|39202190000NB|3.31|4.76|THICKNESS_FLEXIBLE|8.0||
12/31/2021|54|3930072000000|18.42|20.44|THICKNESS_FLEXIBLE|8.0||
12/31/2021|54|29202200000NB|12.61|13.26|THICKNESS_FLEXIBLE|3.0||
12/31/2021|54|2930093000000|0.0|3.42|THICKNESS_FLEXIBLE|6.0||
12/31/2021|54|19203400000NB|14.86|15.31|THICKNESS_FLEXIBLE|6.0||
12/31/2021|54|19203400000NB|14.66|14.86|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|19203400000NB|13.26|13.82|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|19203400000NB|12.88|13.26|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|19203400000NB|11.9|12.047|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|1230093000000|9.71|13.45|THICKNESS_FLEXIBLE|6.0||
12/31/2021|54|02100810000NB|24.53|26.0|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|02100810000NB|23.46|24.53|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|02100810000NB|23.0|23.46|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|02100810000NB|20.37|23.0|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|02100810000NB|18.13|20.37|THICKNESS_FLEXIBLE|2.0||
12/31/2021|54|02100810000NB|17.3|18.13|THICKNESS_FLEXIBLE|2.0||
