BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Date|Value_Text
12/31/2021|54|08100790000NB|36.0|39.91|BASE_TYPE|3||
12/31/2021|54|03201190000NB|16.97|17.83|BASE_TYPE|2||
12/31/2021|54|03201190000NB|12.83|13.54|BASE_TYPE|2||
12/31/2021|54|03201190000NB|11.49|12.83|BASE_TYPE|3||
12/31/2021|54|03201190000NB|9.44|11.49|BASE_TYPE|3||
12/31/2021|54|0330003000000|8.17|11.14|BASE_TYPE|2||
12/31/2021|54|03201190000NB|0.0|2.93|BASE_TYPE|2||
12/31/2021|54|08100790000NB|39.91|41.43|BASE_TYPE|5||
12/31/2021|54|0330099000000|0.0|1.84|BASE_TYPE|2||
12/31/2021|54|20100640000EB|45.39|47.44|BASE_TYPE|3||
12/31/2021|54|0830004000000|21.98|22.98|BASE_TYPE|5||
12/31/2021|54|08100790000NB|41.43|44.6|BASE_TYPE|5||
12/31/2021|54|20100770000NB|102.66|103.69|BASE_TYPE|3||
12/31/2021|54|20100770000NB|100.78|101.08|BASE_TYPE|3||
12/31/2021|54|20100770000NB|110.78|111.16|BASE_TYPE|3||
12/31/2021|54|20100790000NB|5.42|5.56|BASE_TYPE|3||
12/31/2021|54|20100770000NB|114.59|116.05|BASE_TYPE|3||
12/31/2021|54|20100640000EB|47.44|48.4|BASE_TYPE|3||
12/31/2021|54|20100790000NB|6.82|7.19|BASE_TYPE|3||
12/31/2021|54|20100770000NB|111.16|112.52|BASE_TYPE|3||
12/31/2021|54|2040160070000|0.27|0.51|BASE_TYPE|5||
12/31/2021|54|20100640000EB|48.4|49.75|BASE_TYPE|3||
12/31/2021|54|20100640000EB|51.56|52.38|BASE_TYPE|3||
12/31/2021|54|20100790000NB|5.56|6.12|BASE_TYPE|3||
12/31/2021|54|20100640000EB|53.75|54.37|BASE_TYPE|5||
12/31/2021|54|20100770000NB|112.52|113.47|BASE_TYPE|3||
12/31/2021|54|20100770000NB|106.17|107.6|BASE_TYPE|3||
12/31/2021|54|20100790000NB|20.62|21.28|BASE_TYPE|3||
12/31/2021|54|20100640000EB|55.21|56.33|BASE_TYPE|3||
12/31/2021|54|27200350000NB|17.85|17.98|BASE_TYPE|5||
12/31/2021|54|2730002000000|15.93|18.05|BASE_TYPE|3||
12/31/2021|54|20100640000EB|54.37|54.8|BASE_TYPE|3||
12/31/2021|54|20100770000NB|99.12|100.07|BASE_TYPE|3||
12/31/2021|54|27200350000NB|18.35|18.74|BASE_TYPE|5||
12/31/2021|54|20100790000NB|7.19|7.476|BASE_TYPE|3||
12/31/2021|54|20100770000NB|95.87|96.15|BASE_TYPE|3||
12/31/2021|54|2030622000000|2.72|3.79|BASE_TYPE|5||
12/31/2021|54|2040160070000|0.0|0.27|BASE_TYPE|5||
12/31/2021|54|20100790000NB|0.0|0.81|BASE_TYPE|3||
12/31/2021|54|20100640000EB|56.33|57.02|BASE_TYPE|3||
