BeginDate|StateID|RouteID|BeginPoint|EndPoint|Data_Item|Value_Numeric|Value_Text|Value_Date|Comments
12/31/2021|54|01200330000EB|0.0|1.87|ACCESS_CONTROL|2|||
12/31/2021|54|01200330000EB|1.87|4.43|ACCESS_CONTROL|2|||
12/31/2021|54|01201190000NB|0.0|6.95|ACCESS_CONTROL|3|||
12/31/2021|54|01201190000NB|6.95|9.29|ACCESS_CONTROL|3|||
12/31/2021|54|01201190000NB|9.29|10.66|ACCESS_CONTROL|3|||
12/31/2021|54|01201190000NB|10.66|11.5|ACCESS_CONTROL|3|||
12/31/2021|54|01201190000NB|11.5|18.68|ACCESS_CONTROL|3|||
12/31/2021|54|01202500000NB|0.0|17.31|ACCESS_CONTROL|3|||
12/31/2021|54|01202500002NB|0.0|0.033|ACCESS_CONTROL|1|||
12/31/2021|54|01202500013NB|0.0|0.82|ACCESS_CONTROL|3|||
12/31/2021|54|0130020000000|0.0|2.15|ACCESS_CONTROL|3|||
12/31/2021|54|0130020000000|2.15|3.94|ACCESS_CONTROL|3|||
12/31/2021|54|0130038000000|0.0|0.43|ACCESS_CONTROL|3|||
12/31/2021|54|0130038000000|0.43|2.43|ACCESS_CONTROL|3|||
12/31/2021|54|0130038000000|2.43|5.53|ACCESS_CONTROL|3|||
12/31/2021|54|0130038000000|5.53|6.31|ACCESS_CONTROL|3|||
12/31/2021|54|0130038000000|6.31|12.0|ACCESS_CONTROL|3|||
12/31/2021|54|0130057000000|0.0|9.63|ACCESS_CONTROL|3|||
12/31/2021|54|0130076000000|0.0|1.75|ACCESS_CONTROL|3|||
12/31/2021|54|0130076000000|1.75|6.62|ACCESS_CONTROL|3|||
12/31/2021|54|0130092000000|5.43|8.64|ACCESS_CONTROL|3|||
12/31/2021|54|0130092000000|8.64|10.73|ACCESS_CONTROL|3|||
12/31/2021|54|0130092000000|10.73|16.84|ACCESS_CONTROL|3|||
12/31/2021|54|0130092000000|17.21|26.94|ACCESS_CONTROL|3|||
12/31/2021|54|0140001000000|0.0|3.96|ACCESS_CONTROL|3|||
12/31/2021|54|0140001010000|0.0|4.24|ACCESS_CONTROL|3|||
12/31/2021|54|0140002000000|0.0|3.43|ACCESS_CONTROL|3|||
12/31/2021|54|0140002020000|0.0|3.35|ACCESS_CONTROL|3|||
12/31/2021|54|0140002030000|0.0|0.84|ACCESS_CONTROL|3|||
12/31/2021|54|0140002040000|0.0|2.74|ACCESS_CONTROL|3|||
12/31/2021|54|0140003000000|0.0|3.78|ACCESS_CONTROL|3|||
12/31/2021|54|0140003010000|0.0|1.7|ACCESS_CONTROL|3|||
12/31/2021|54|0140003020000|0.0|1.64|ACCESS_CONTROL|3|||
12/31/2021|54|0140004000000|0.0|2.2|ACCESS_CONTROL|3|||
12/31/2021|54|0140004010000|0.0|1.17|ACCESS_CONTROL|3|||
12/31/2021|54|0140004020000|0.0|0.7|ACCESS_CONTROL|3|||
12/31/2021|54|0140004030000|0.0|0.56|ACCESS_CONTROL|3|||
12/31/2021|54|0140005000000|0.0|3.56|ACCESS_CONTROL|3|||
12/31/2021|54|0140005010000|0.0|0.99|ACCESS_CONTROL|3|||
12/31/2021|54|0140005020000|0.0|1.46|ACCESS_CONTROL|3|||
12/31/2021|54|0140005030000|0.0|0.89|ACCESS_CONTROL|3|||
12/31/2021|54|0140005040000|0.0|1.99|ACCESS_CONTROL|3|||
12/31/2021|54|0140005060000|0.0|0.79|ACCESS_CONTROL|3|||
12/31/2021|54|0140005070000|0.0|1.5|ACCESS_CONTROL|3|||
12/31/2021|54|0140005080000|0.0|2.5|ACCESS_CONTROL|3|||
12/31/2021|54|0140005090000|0.0|0.85|ACCESS_CONTROL|3|||
12/31/2021|54|0140005100000|0.0|1.46|ACCESS_CONTROL|3|||
12/31/2021|54|0140005110000|0.0|0.1|ACCESS_CONTROL|3|||
12/31/2021|54|0140006000000|0.0|0.11|ACCESS_CONTROL|3|||
12/31/2021|54|0140006000000|0.11|3.13|ACCESS_CONTROL|3|||
12/31/2021|54|0140006000000|3.13|5.65|ACCESS_CONTROL|3|||
12/31/2021|54|0140006000000|5.65|6.69|ACCESS_CONTROL|3|||
12/31/2021|54|0140006030000|0.0|1.15|ACCESS_CONTROL|3|||
12/31/2021|54|0140006050000|0.0|0.81|ACCESS_CONTROL|3|||
12/31/2021|54|0140006060000|0.0|1.46|ACCESS_CONTROL|3|||
12/31/2021|54|0140007000000|0.0|5.39|ACCESS_CONTROL|3|||
12/31/2021|54|0140007000000|5.39|11.41|ACCESS_CONTROL|3|||
12/31/2021|54|0140007020000|0.0|3.34|ACCESS_CONTROL|3|||
12/31/2021|54|0140007040000|0.0|1.79|ACCESS_CONTROL|3|||
12/31/2021|54|0140007050000|0.0|1.17|ACCESS_CONTROL|3|||
12/31/2021|54|0140007060000|0.0|2.04|ACCESS_CONTROL|3|||
12/31/2021|54|0140007070000|0.09|0.48|ACCESS_CONTROL|3|||
12/31/2021|54|0140007070000|0.5|1.11|ACCESS_CONTROL|3|||
12/31/2021|54|0140007090000|0.0|0.34|ACCESS_CONTROL|3|||
12/31/2021|54|0140007100000|0.0|0.13|ACCESS_CONTROL|3|||
12/31/2021|54|0140008000000|0.0|5.17|ACCESS_CONTROL|3|||
12/31/2021|54|0140008010000|0.0|0.71|ACCESS_CONTROL|3|||
12/31/2021|54|0140008020000|0.0|0.34|ACCESS_CONTROL|3|||
12/31/2021|54|0140008030000|0.0|0.95|ACCESS_CONTROL|3|||
12/31/2021|54|0140008040000|0.0|3.53|ACCESS_CONTROL|3|||
12/31/2021|54|0140009000000|0.0|2.93|ACCESS_CONTROL|3|||
12/31/2021|54|0140009000000|2.93|6.03|ACCESS_CONTROL|3|||
