Year_Record|State_Code|RouteID|BMP|EMP|Section_Length|Value_Numeric|Value_Text|Data_Item|Value_Date|Comments
2021|54|28200520018EB|0.0|0.02|0.02|28052O000000||sample||New 2021
2021|54|28200520000EB|0.0|0.58|0.58|280520000000||sample||same as 2020
2021|54|13202190000NB|8.59|9.06|0.47|132190000859||sample||New 2021
2021|54|1930051000000|8.13|8.66|0.53|190510000813||sample||New 2021
2021|54|50100640000EB|1.25|1.29|0.04|500640000125||sample||New 2021
2021|54|2030622000000|1.96|2.13|0.17|206220000196||sample||New 2021
2021|54|1740023090000|7.77|8.94|1.17|170230900777||sample||New 2021
2021|54|0530027000100|0.96|3.35|2.39|05027A000096||sample||New 2021
2021|54|1540507000000|0.92|1.16|0.24|155070000092||sample||New 2021
2021|54|2040025470000|0.1|0.36|0.26|200254700010||sample||New 2021
2021|54|4640044080000|0.69|0.72|0.03|460440800069||sample||New 2021
2021|54|2330010000000|15.25|16.17|0.92|230100001525||sample||New 2021
2021|54|41100770016NB|35.75|37.82|2.07|410770003575||sample||New 2021
2021|54|31100680000EB|10.28|10.32|0.04|310680001028||sample||New 2021
2021|54|07200330000EB|10.13|14.3|4.17|070330001013||sample||New 2021
2021|54|42200330000EB|8.05|9.5|1.45|420330000805||sample||New 2021
2021|54|1530002000000|3.91|4.68|0.77|150020000391||sample||New 2021
2021|54|3540018000000|0.0|0.72|0.72|350180000000||sample||New 2021
2021|54|1940031000000|0.0|0.029|0.029|190310000000||sample||New 2021
2021|54|5030152000000|40.4|43.98|3.58|501520004040||sample||New 2021
2021|54|22201190000NB|3.37|5.4|2.03|221190000337||sample||New 2021
2021|54|0230009000000|4.81|6.17|1.36|020090000481||sample||New 2021
2021|54|41100640017WB|0.594|0.82|0.226|41064R000059||sample||New 2021
2021|54|4030817000000|2.06|8.81|6.75|408170000206||sample||New 2021
2021|54|41100640000EB|120.69|122.62|1.93|410640012069||sample||New 2021
2021|54|25200190000NB|3.003|4.64|1.637|250190000300||sample||New 2021
2021|54|1940029000000|1.26|2.19|0.93|190290000126||sample||New 2021
2021|54|4030817000000|8.81|10.62|1.81|408170000881||sample||New 2021
2021|54|2330010000000|19.41|20.39|0.98|230100001941||sample||New 2021
2021|54|54100770000NB|181.674|185.34|3.666|540770018167||sample||New 2021
2021|54|54100770000NB|185.34|185.64|0.3|540770018534||sample||New 2021
2021|54|19203400000NB|12.047|12.88|0.833|193400001205||sample||New 2021
2021|54|5530097000000|28.09|32.88|4.79|550970002809||sample||same as 2020
2021|54|5530097000000|22.83|23.2|0.37|550970002283||sample||same as 2020
2021|54|5530097000000|21.56|22.26|0.7|550970002156||sample||same as 2020
2021|54|55200520000EB|7.65|8.34|0.69|550520000765||sample||same as 2020
2021|54|55200520000EB|4.78|7.65|2.87|550520000478||sample||same as 2020
2021|54|55200520000EB|0.0|1.4|1.4|550520000000||sample||same as 2020
2021|54|5530016000000|10.99|11.4|0.41|550160001099||sample||same as 2020
2021|54|5530016000000|6.42|8.95|2.53|550160000642||sample||same as 2020
2021|54|5530016000000|1.73|3.33|1.6|550160000173||sample||same as 2020
2021|54|5530010000000|24.14|24.38|0.24|550100002414||sample||same as 2020
2021|54|5430892000000|8.55|9.9|1.35|548920000855||sample||same as 2020
2021|54|5440021020000|0.0|0.39|0.39|54400210200||sample||same as 2020
2021|54|5440021010000|0.01|0.53|0.52|544002100010||sample||same as 2020
2021|54|5440016000000|1.21|1.47|0.26|54400160000||sample||same as 2020
2021|54|5440001000000|6.32|6.67|0.35|54400010000||sample||same as 2020
2021|54|5430068000000|0.0|0.35|0.35|54300680000||sample||same as 2020
2021|54|5430014000000|12.45|12.71|0.26|54300141245||sample||same as 2020
2021|54|54300140005SB|0.16|0.32|0.16|54300140005||sample||same as 2020
2021|54|54200500000EB|2.53|3.15|0.62|54200500253||sample||same as 2020
2021|54|54200500000EB|0.0|0.61|0.61|54200500000||sample||same as 2020
2021|54|5430095000000|6.44|6.58|0.14|540950000644||sample||same as 2020
2021|54|5430095000000|6.12|6.29|0.17|540950000612||sample||same as 2020
2021|54|5430095000000|4.2|6.12|1.92|540950000420||sample||same as 2020
2021|54|5430095000000|3.77|3.99|0.22|540950000377||sample||same as 2020
2021|54|5430892000000|7.02|8.55|1.53|540892000702||sample||same as 2020
