BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|ValueNumeric|ValueText|ValueDate|Comments
01/01/2022|54|04100790000NB|79.6|79.7|FAULTING|0.142||01/06/2022|
01/01/2022|54|10100770016NB|56.1|56.2|FAULTING|0.07||31/05/2022|
01/01/2022|54|10100770016NB|56.2|56.3|FAULTING|0.085||31/05/2022|
01/01/2022|54|10100770016NB|56.3|56.4|FAULTING|0.123||31/05/2022|
01/01/2022|54|10100770016NB|56.4|56.5|FAULTING|0.069||31/05/2022|
01/01/2022|54|10100770016SB|56.2|56.3|FAULTING|0.059||31/05/2022|
01/01/2022|54|10100770016SB|56.3|56.4|FAULTING|0.11||31/05/2022|
01/01/2022|54|10100770016SB|56.4|56.5|FAULTING|0.129||31/05/2022|
01/01/2022|54|13100640000EB|147.6|147.7|FAULTING|0.027||01/06/2022|
01/01/2022|54|13100640000EB|147.7|147.8|FAULTING|0.039||01/06/2022|
01/01/2022|54|13100640000EB|147.8|147.9|FAULTING|0.021||01/06/2022|
01/01/2022|54|13100640000EB|147.9|148.0|FAULTING|0.077||01/06/2022|
01/01/2022|54|13100640000EB|148.0|148.1|FAULTING|0.066||01/06/2022|
01/01/2022|54|13100640000EB|148.1|148.2|FAULTING|0.031||01/06/2022|
01/01/2022|54|13100640000EB|148.2|148.3|FAULTING|0.044||01/06/2022|
01/01/2022|54|13100640000EB|148.3|148.4|FAULTING|0.05||01/06/2022|
01/01/2022|54|13100640000EB|148.4|148.5|FAULTING|0.012||01/06/2022|
01/01/2022|54|13100640000EB|148.5|148.6|FAULTING|0.075||01/06/2022|
01/01/2022|54|13100640000EB|148.6|148.7|FAULTING|0.028||01/06/2022|
01/01/2022|54|13100640000EB|148.7|148.8|FAULTING|0.012||01/06/2022|
01/01/2022|54|13100640000EB|148.8|148.9|FAULTING|0.014||01/06/2022|
01/01/2022|54|13100640000EB|148.9|149.0|FAULTING|0.031||01/06/2022|
01/01/2022|54|13100640000EB|149.0|149.1|FAULTING|0.053||01/06/2022|
