BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|ValueNumeric|ValueText|ValueDate|Comments
01/01/2022|54|02100810000NB|0.0|0.1|CRACKING_PERCENT|1.772||04/06/2022|
01/01/2022|54|02100810000NB|0.1|0.2|CRACKING_PERCENT|1.044||04/06/2022|
01/01/2022|54|02100810000NB|0.2|0.3|CRACKING_PERCENT|1.419||04/06/2022|
01/01/2022|54|02100810000NB|0.3|0.4|CRACKING_PERCENT|1.421||04/06/2022|
01/01/2022|54|02100810000NB|0.4|0.5|CRACKING_PERCENT|1.451||04/06/2022|
01/01/2022|54|02100810000NB|0.5|0.6|CRACKING_PERCENT|1.808||04/06/2022|
01/01/2022|54|02100810000NB|0.6|0.7|CRACKING_PERCENT|0.733||04/06/2022|
01/01/2022|54|02100810000NB|0.7|0.8|CRACKING_PERCENT|2.739||04/06/2022|
01/01/2022|54|02100810000NB|0.8|0.9|CRACKING_PERCENT|1.159||04/06/2022|
01/01/2022|54|02100810000NB|0.9|1.0|CRACKING_PERCENT|1.147||04/06/2022|
01/01/2022|54|02100810000NB|1.0|1.1|CRACKING_PERCENT|2.21||04/06/2022|
01/01/2022|54|02100810000NB|1.1|1.2|CRACKING_PERCENT|1.489||04/06/2022|
01/01/2022|54|02100810000NB|1.2|1.3|CRACKING_PERCENT|1.849||04/06/2022|
01/01/2022|54|02100810000NB|1.3|1.4|CRACKING_PERCENT|1.424||04/06/2022|
01/01/2022|54|02100810000NB|1.4|1.5|CRACKING_PERCENT|1.872||04/06/2022|
01/01/2022|54|02100810000NB|1.5|1.6|CRACKING_PERCENT|0.352||04/06/2022|
01/01/2022|54|02100810000NB|1.6|1.7|CRACKING_PERCENT|0.349||04/06/2022|
01/01/2022|54|02100810000NB|1.7|1.8|CRACKING_PERCENT|0.722||04/06/2022|
01/01/2022|54|02100810000NB|1.8|1.9|CRACKING_PERCENT|0.353||04/06/2022|
01/01/2022|54|02100810000NB|1.9|2.0|CRACKING_PERCENT|0.0||04/06/2022|
01/01/2022|54|02100810000NB|10.0|10.1|CRACKING_PERCENT|0.346||04/06/2022|
01/01/2022|54|02100810000NB|10.1|10.2|CRACKING_PERCENT|0.346||04/06/2022|
01/01/2022|54|02100810000NB|10.2|10.3|CRACKING_PERCENT|0.347||04/06/2022|
01/01/2022|54|02100810000NB|10.3|10.4|CRACKING_PERCENT|0.348||04/06/2022|
01/01/2022|54|02100810000NB|10.4|10.5|CRACKING_PERCENT|0.676||04/06/2022|
01/01/2022|54|02100810000NB|10.5|10.6|CRACKING_PERCENT|1.007||04/06/2022|
01/01/2022|54|02100810000NB|10.6|10.7|CRACKING_PERCENT|1.036||04/06/2022|
01/01/2022|54|02100810000NB|10.7|10.8|CRACKING_PERCENT|0.346||04/06/2022|
01/01/2022|54|02100810000NB|10.8|10.9|CRACKING_PERCENT|1.044||04/06/2022|
01/01/2022|54|02100810000NB|10.9|11.0|CRACKING_PERCENT|1.733||04/06/2022|
01/01/2022|54|02100810000NB|11.0|11.1|CRACKING_PERCENT|0.357||04/06/2022|
01/01/2022|54|02100810000NB|11.1|11.2|CRACKING_PERCENT|1.389||04/06/2022|
01/01/2022|54|02100810000NB|11.2|11.3|CRACKING_PERCENT|0.35||04/06/2022|
01/01/2022|54|02100810000NB|11.3|11.4|CRACKING_PERCENT|0.354||04/06/2022|
01/01/2022|54|02100810000NB|11.4|11.5|CRACKING_PERCENT|0.0||04/06/2022|
01/01/2022|54|02100810000NB|11.5|11.6|CRACKING_PERCENT|0.0||04/06/2022|
01/01/2022|54|02100810000NB|11.6|11.7|CRACKING_PERCENT|0.0||04/06/2022|
01/01/2022|54|02100810000NB|11.7|11.8|CRACKING_PERCENT|0.728||04/06/2022|
01/01/2022|54|02100810000NB|11.8|11.9|CRACKING_PERCENT|0.0||04/06/2022|
01/01/2022|54|02100810000NB|11.9|12.0|CRACKING_PERCENT|0.0||04/06/2022|
01/01/2022|54|02100810000NB|12.0|12.1|CRACKING_PERCENT|0.0||04/06/2022|
01/01/2022|54|02100810000NB|12.1|12.2|CRACKING_PERCENT|0.705||04/06/2022|
01/01/2022|54|02100810000NB|12.2|12.3|CRACKING_PERCENT|0.719||04/06/2022|
01/01/2022|54|02100810000NB|12.3|12.4|CRACKING_PERCENT|1.093||04/06/2022|
01/01/2022|54|02100810000NB|12.4|12.5|CRACKING_PERCENT|0.727||04/06/2022|
01/01/2022|54|02100810000NB|12.5|12.6|CRACKING_PERCENT|1.071||04/06/2022|
01/01/2022|54|02100810000NB|12.6|12.7|CRACKING_PERCENT|1.446||04/06/2022|
01/01/2022|54|02100810000NB|12.7|12.8|CRACKING_PERCENT|1.463||04/06/2022|
01/01/2022|54|02100810000NB|12.8|12.9|CRACKING_PERCENT|0.701||04/06/2022|
01/01/2022|54|02100810000NB|12.9|13.0|CRACKING_PERCENT|1.097||04/06/2022|
01/01/2022|54|02100810000NB|13.0|13.1|CRACKING_PERCENT|1.846||04/06/2022|
01/01/2022|54|02100810000NB|13.1|13.2|CRACKING_PERCENT|0.717||04/06/2022|
01/01/2022|54|02100810000NB|13.2|13.3|CRACKING_PERCENT|0.728||04/06/2022|
01/01/2022|54|02100810000NB|13.3|13.4|CRACKING_PERCENT|1.734||04/06/2022|
01/01/2022|54|02100810000NB|13.4|13.5|CRACKING_PERCENT|1.831||04/06/2022|
01/01/2022|54|02100810000NB|13.5|13.6|CRACKING_PERCENT|1.813||04/06/2022|
01/01/2022|54|02100810000NB|13.6|13.7|CRACKING_PERCENT|1.059||04/06/2022|
01/01/2022|54|02100810000NB|13.7|13.8|CRACKING_PERCENT|0.7||04/06/2022|
01/01/2022|54|02100810000NB|13.8|13.9|CRACKING_PERCENT|1.034||04/06/2022|
01/01/2022|54|02100810000NB|13.9|14.0|CRACKING_PERCENT|1.724||04/06/2022|
01/01/2022|54|02100810000NB|14.0|14.1|CRACKING_PERCENT|1.398||04/06/2022|
01/01/2022|54|02100810000NB|14.1|14.2|CRACKING_PERCENT|1.391||04/06/2022|
01/01/2022|54|02100810000NB|14.2|14.3|CRACKING_PERCENT|2.05||04/06/2022|
01/01/2022|54|02100810000NB|14.3|14.4|CRACKING_PERCENT|1.045||04/06/2022|
01/01/2022|54|02100810000NB|14.4|14.5|CRACKING_PERCENT|1.398||04/06/2022|
01/01/2022|54|02100810000NB|14.5|14.6|CRACKING_PERCENT|1.372||04/06/2022|
01/01/2022|54|02100810000NB|14.6|14.7|CRACKING_PERCENT|0.679||04/06/2022|
01/01/2022|54|02100810000NB|14.7|14.8|CRACKING_PERCENT|1.044||04/06/2022|
01/01/2022|54|02100810000NB|14.8|14.9|CRACKING_PERCENT|1.057||04/06/2022|
01/01/2022|54|02100810000NB|14.9|15.0|CRACKING_PERCENT|1.028||04/06/2022|
01/01/2022|54|02100810000NB|15.0|15.1|CRACKING_PERCENT|1.739||04/06/2022|
01/01/2022|54|02100810000NB|15.1|15.2|CRACKING_PERCENT|1.739||04/06/2022|
01/01/2022|54|02100810000NB|15.2|15.3|CRACKING_PERCENT|1.067||04/06/2022|
01/01/2022|54|02100810000NB|15.3|15.4|CRACKING_PERCENT|1.739||04/06/2022|
01/01/2022|54|02100810000NB|15.4|15.5|CRACKING_PERCENT|1.048||04/06/2022|
01/01/2022|54|02100810000NB|15.5|15.6|CRACKING_PERCENT|2.337||04/06/2022|
01/01/2022|54|02100810000NB|15.6|15.7|CRACKING_PERCENT|2.688||04/06/2022|
01/01/2022|54|02100810000NB|15.7|15.8|CRACKING_PERCENT|2.101||04/06/2022|
01/01/2022|54|02100810000NB|15.8|15.9|CRACKING_PERCENT|1.741||04/06/2022|
01/01/2022|54|02100810000NB|15.9|16.0|CRACKING_PERCENT|1.398||04/06/2022|
01/01/2022|54|02100810000NB|16.0|16.1|CRACKING_PERCENT|1.368||04/06/2022|
01/01/2022|54|02100810000NB|16.1|16.2|CRACKING_PERCENT|0.692||04/06/2022|
01/01/2022|54|02100810000NB|16.2|16.3|CRACKING_PERCENT|0.694||04/06/2022|
01/01/2022|54|02100810000NB|16.3|16.4|CRACKING_PERCENT|0.344||04/06/2022|
01/01/2022|54|02100810000NB|16.4|16.5|CRACKING_PERCENT|0.349||04/06/2022|
01/01/2022|54|02100810000NB|16.5|16.6|CRACKING_PERCENT|1.738||04/06/2022|
01/01/2022|54|02100810000NB|16.6|16.7|CRACKING_PERCENT|1.041||04/06/2022|
01/01/2022|54|02100810000NB|16.7|16.8|CRACKING_PERCENT|1.069||04/06/2022|
01/01/2022|54|02100810000NB|16.8|16.9|CRACKING_PERCENT|0.729||04/06/2022|
01/01/2022|54|02100810000NB|16.9|17.0|CRACKING_PERCENT|1.074||04/06/2022|
01/01/2022|54|02100810000NB|17.0|17.1|CRACKING_PERCENT|1.092||04/06/2022|
01/01/2022|54|02100810000NB|17.1|17.2|CRACKING_PERCENT|1.474||04/06/2022|
01/01/2022|54|02100810000NB|17.2|17.3|CRACKING_PERCENT|0.708||04/06/2022|
01/01/2022|54|02100810000NB|17.3|17.4|CRACKING_PERCENT|0.735||04/06/2022|
01/01/2022|54|02100810000NB|17.4|17.5|CRACKING_PERCENT|0.709||04/06/2022|
01/01/2022|54|02100810000NB|17.5|17.6|CRACKING_PERCENT|1.407||04/06/2022|
01/01/2022|54|02100810000NB|17.6|17.7|CRACKING_PERCENT|0.714||04/06/2022|
01/01/2022|54|02100810000NB|17.7|17.8|CRACKING_PERCENT|0.344||04/06/2022|
01/01/2022|54|02100810000NB|17.8|17.9|CRACKING_PERCENT|1.36||04/06/2022|
01/01/2022|54|02100810000NB|17.9|18.0|CRACKING_PERCENT|1.068||04/06/2022|
01/01/2022|54|02100810000NB|18.0|18.1|CRACKING_PERCENT|1.031||04/06/2022|
01/01/2022|54|02100810000NB|18.1|18.2|CRACKING_PERCENT|0.707||04/06/2022|
01/01/2022|54|02100810000NB|18.2|18.3|CRACKING_PERCENT|0.351||04/06/2022|
01/01/2022|54|02100810000NB|18.3|18.4|CRACKING_PERCENT|0.701||04/06/2022|
01/01/2022|54|02100810000NB|18.4|18.5|CRACKING_PERCENT|0.351||04/06/2022|
01/01/2022|54|02100810000NB|18.5|18.6|CRACKING_PERCENT|0.349||04/06/2022|
01/01/2022|54|02100810000NB|18.6|18.7|CRACKING_PERCENT|0.373||04/06/2022|
01/01/2022|54|02100810000NB|18.7|18.8|CRACKING_PERCENT|0.352||04/06/2022|
01/01/2022|54|02100810000NB|18.8|18.9|CRACKING_PERCENT|0.347||04/06/2022|
01/01/2022|54|02100810000NB|18.9|19.0|CRACKING_PERCENT|0.34||04/06/2022|
01/01/2022|54|02100810000NB|19.0|19.1|CRACKING_PERCENT|0.696||04/06/2022|
01/01/2022|54|02100810000NB|19.1|19.2|CRACKING_PERCENT|2.763||04/06/2022|
01/01/2022|54|02100810000NB|19.2|19.3|CRACKING_PERCENT|2.464||04/06/2022|
01/01/2022|54|02100810000NB|19.3|19.4|CRACKING_PERCENT|1.732||04/06/2022|
01/01/2022|54|02100810000NB|19.4|19.5|CRACKING_PERCENT|2.434||04/06/2022|
01/01/2022|54|02100810000NB|19.5|19.6|CRACKING_PERCENT|1.384||04/06/2022|
01/01/2022|54|02100810000NB|19.6|19.7|CRACKING_PERCENT|1.34||04/06/2022|
01/01/2022|54|02100810000NB|19.7|19.8|CRACKING_PERCENT|1.695||04/06/2022|
01/01/2022|54|02100810000NB|19.8|19.9|CRACKING_PERCENT|2.774||04/06/2022|
01/01/2022|54|02100810000NB|19.9|20.0|CRACKING_PERCENT|1.359||04/06/2022|
01/01/2022|54|02100810000NB|2.0|2.1|CRACKING_PERCENT|0.353||04/06/2022|
01/01/2022|54|02100810000NB|2.1|2.2|CRACKING_PERCENT|0.353||04/06/2022|
