YEAR_RECORD|STATE_CODE|ROUTE_ID|BEGIN_POINT|END_POINT|DATA_ITEM|SECTION_LENGTH|VALUE_NUMERIC|VALUE_TEXT|VALUE_DATE|COMMENTS
2021|54|01200330000EB|0.000|1.870|Median_Type|1.870|2|||
2021|54|01201190000NB|6.950|9.290|Median_Type|2.340|1|||
2021|54|01201190000NB|10.660|11.500|Median_Type|0.840|1|||
2021|54|0130020000000|0.000|2.150|Median_Type|2.150|1|||
2021|54|0130038000000|0.430|2.430|Median_Type|2.000|1|||
2021|54|0130038000000|5.530|6.310|Median_Type|0.780|1|||
2021|54|0130076000000|1.750|6.620|Median_Type|4.870|1|||
2021|54|0130092000000|8.640|10.730|Median_Type|2.090|1|||
2021|54|0140006000000|0.110|3.130|Median_Type|3.020|1|||
2021|54|0140010000000|7.410|8.630|Median_Type|1.220|1|||
2021|54|0140011000000|3.050|3.780|Median_Type|0.730|1|||
2021|54|0140024000000|1.640|2.790|Median_Type|1.150|1|||
2021|54|0140024000000|2.790|4.740|Median_Type|1.950|1|||
2021|54|0140030000000|6.140|6.830|Median_Type|0.690|1|||
2021|54|0140030070000|0.000|0.920|Median_Type|0.920|1|||
2021|54|0140030070000|0.920|2.000|Median_Type|1.080|1|||
2021|54|0140046010000|0.000|1.620|Median_Type|1.620|1|||
2021|54|02100810000NB|0.000|1.390|Median_Type|1.390|6|||
2021|54|02100810000NB|1.390|6.270|Median_Type|4.880|2|||
2021|54|02100810000NB|6.270|11.630|Median_Type|5.360|2|||
2021|54|02100810000NB|11.630|13.540|Median_Type|1.910|7|||
2021|54|02100810000NB|13.540|14.260|Median_Type|0.720|7|||
2021|54|02100810000NB|14.260|15.220|Median_Type|0.960|7|||
2021|54|02100810000NB|15.220|15.620|Median_Type|0.400|7|||
2021|54|02100810000NB|15.620|15.950|Median_Type|0.330|7|||
2021|54|02100810000NB|15.950|16.230|Median_Type|0.280|7|||
2021|54|02100810000NB|16.230|17.300|Median_Type|1.070|7|||
2021|54|02100810000NB|17.300|18.130|Median_Type|0.830|7|||
2021|54|02100810000NB|18.130|20.370|Median_Type|2.240|7|||
2021|54|02100810000NB|20.370|23.000|Median_Type|2.630|7|||
2021|54|02100810000NB|23.000|23.460|Median_Type|0.460|7|||
2021|54|02100810000NB|23.460|24.530|Median_Type|1.070|7|||
2021|54|02100810000NB|24.530|26.000|Median_Type|1.470|7|||
2021|54|02200110000NB|5.240|6.050|Median_Type|0.810|1|||
2021|54|02200110000NB|13.650|13.780|Median_Type|0.130|1|||
2021|54|02200110000NB|14.510|14.640|Median_Type|0.130|1|||
2021|54|02200110000NB|16.480|17.510|Median_Type|1.030|1|||
2021|54|02200110000NB|24.710|24.970|Median_Type|0.260|1|||
2021|54|0230009000000|0.350|2.200|Median_Type|1.850|1|||
2021|54|0230009000000|4.810|6.170|Median_Type|1.360|1|||
2021|54|0230009000000|6.170|6.270|Median_Type|0.100|1|||
2021|54|0230009000000|6.381|6.470|Median_Type|0.089|1|||
2021|54|0230009000000|6.470|7.580|Median_Type|1.110|1|||
2021|54|0230009000000|7.584|9.950|Median_Type|2.366|1|||
2021|54|0230009000000|10.120|10.370|Median_Type|0.250|1|||
2021|54|0230009000000|10.520|10.840|Median_Type|0.320|1|||
2021|54|0230009000000|10.840|11.150|Median_Type|0.310|3|||
2021|54|0230009000000|14.000|14.200|Median_Type|0.200|1|||
2021|54|0230009000000|14.550|14.900|Median_Type|0.350|1|||
2021|54|0230009000000|15.570|15.790|Median_Type|0.220|2|||
2021|54|0230009000000|15.790|16.090|Median_Type|0.300|2|||
2021|54|0230009000000|17.070|17.480|Median_Type|0.410|2|||
2021|54|0230009000000|18.180|20.160|Median_Type|1.980|2|||
2021|54|0230045000000|13.355|13.760|Median_Type|0.405|1|||
2021|54|0230045000000|14.390|14.520|Median_Type|0.130|1|||
2021|54|0230045000000|14.520|14.850|Median_Type|0.330|1|||
2021|54|0230045000000|14.850|15.310|Median_Type|0.460|3|||
2021|54|0230045000000|17.530|18.230|Median_Type|0.700|1|||
2021|54|0230045000000|19.080|19.610|Median_Type|0.530|1|||
2021|54|0230051000000|1.870|2.841|Median_Type|0.971|1|||
2021|54|0230051000000|2.841|4.130|Median_Type|1.289|1|||
2021|54|0230051000000|4.130|4.540|Median_Type|0.410|1|||
2021|54|0230051000000|4.540|4.580|Median_Type|0.040|1|||
2021|54|0230051000000|4.580|4.620|Median_Type|0.040|1|||
2021|54|0230051000000|4.620|5.180|Median_Type|0.560|1|||
2021|54|0230051000000|5.400|8.591|Median_Type|3.191|1|||
2021|54|0230901000000|4.860|5.440|Median_Type|0.580|1|||
2021|54|0240001000000|8.140|9.320|Median_Type|1.180|1|||
2021|54|0240005000000|5.900|7.940|Median_Type|2.040|1|||
2021|54|0240009050000|1.670|3.260|Median_Type|1.590|1|||
2021|54|0240009130000|0.400|1.920|Median_Type|1.520|1|||
2021|54|0240009270000|0.000|0.310|Median_Type|0.310|1|||
2021|54|0240010010000|0.000|0.690|Median_Type|0.690|1|||
2021|54|0240011130000|0.280|0.410|Median_Type|0.130|1|||
2021|54|0240011130000|0.410|0.550|Median_Type|0.140|1|||
2021|54|0240011190000|0.000|0.310|Median_Type|0.310|1|||
2021|54|0240011240000|0.000|0.850|Median_Type|0.850|1|||
2021|54|0240011330000|0.000|0.260|Median_Type|0.260|1|||
2021|54|0240011370000|0.000|0.230|Median_Type|0.230|1|||
2021|54|0240012000000|0.000|1.290|Median_Type|1.290|1|||
2021|54|0240013000000|0.430|1.030|Median_Type|0.600|1|||
2021|54|0240013000000|1.030|1.500|Median_Type|0.470|1|||
2021|54|0240013000000|2.750|3.716|Median_Type|0.966|1|||
2021|54|0240015000000|0.939|0.940|Median_Type|0.001|1|||
2021|54|0240015000000|2.780|3.060|Median_Type|0.280|1|||
2021|54|0240019000000|1.550|3.438|Median_Type|1.888|1|||
2021|54|0240019000000|3.438|4.040|Median_Type|0.602|1|||
2021|54|0240030000000|4.175|4.370|Median_Type|0.195|1|||
2021|54|0240032000000|0.000|1.260|Median_Type|1.260|1|||
2021|54|0240032000000|1.260|1.565|Median_Type|0.305|1|||
2021|54|0240032000000|1.565|2.150|Median_Type|0.585|1|||
2021|54|0240034030000|0.000|1.010|Median_Type|1.010|1|||
2021|54|0240036010000|1.600|1.980|Median_Type|0.380|1|||
2021|54|0240045050000|0.550|1.250|Median_Type|0.700|1|||
2021|54|0240051070000|2.280|3.560|Median_Type|1.280|1|||
2021|54|0274252001900|0.000|0.640|Median_Type|0.640|1|||
2021|54|0274256001900|0.000|0.660|Median_Type|0.660|1|||
2021|54|0274257001900|0.000|0.110|Median_Type|0.110|1|||
2021|54|0274257001900|0.110|0.420|Median_Type|0.310|1|||
2021|54|0274259001900|0.000|0.170|Median_Type|0.170|1|||
2021|54|0274259001900|0.170|0.610|Median_Type|0.440|1|||
2021|54|0274265001900|0.000|0.570|Median_Type|0.570|1|||
2021|54|0274266001900|0.000|0.440|Median_Type|0.440|1|||
2021|54|0274268001900|0.000|0.480|Median_Type|0.480|1|||
2021|54|0274273001900|0.000|0.110|Median_Type|0.110|1|||
2021|54|03201190000NB|0.000|2.930|Median_Type|2.930|2|||
2021|54|03201190000NB|9.440|11.490|Median_Type|2.050|2|||
2021|54|03201190000NB|11.490|12.830|Median_Type|1.340|2|||
2021|54|03201190000NB|12.830|13.540|Median_Type|0.710|2|||
2021|54|03201190000NB|16.970|17.830|Median_Type|0.860|6|||
2021|54|0330003000000|8.170|11.140|Median_Type|2.970|1|||
2021|54|0330085000000|10.670|13.130|Median_Type|2.460|1|||
2021|54|0330085000000|34.050|34.350|Median_Type|0.300|1|||
2021|54|0330094000000|0.000|3.010|Median_Type|3.010|1|||
2021|54|0330099000000|0.000|1.840|Median_Type|1.840|1|||
2021|54|0340005000000|5.420|6.960|Median_Type|1.540|1|||
2021|54|0340005000000|15.100|17.570|Median_Type|2.470|1|||
2021|54|0340006000000|2.990|5.530|Median_Type|2.540|1|||
2021|54|04100790000NB|44.600|46.220|Median_Type|1.620|2|||
2021|54|04100790000NB|46.220|49.730|Median_Type|3.510|2|||
2021|54|04100790000NB|49.730|50.350|Median_Type|0.620|3|||
2021|54|04100790000NB|50.350|51.610|Median_Type|1.260|2|||
2021|54|04100790000NB|51.610|52.610|Median_Type|1.000|2|||
2021|54|04100790000NB|52.610|53.270|Median_Type|0.660|2|||
2021|54|04100790000NB|53.270|54.180|Median_Type|0.910|2|||
2021|54|04100790000NB|54.180|57.510|Median_Type|3.330|2|||
2021|54|04100790000NB|57.510|59.000|Median_Type|1.490|2|||
2021|54|04100790000NB|59.000|61.470|Median_Type|2.470|2|||
2021|54|04100790000NB|61.470|62.040|Median_Type|0.570|2|||
2021|54|04100790000NB|62.040|63.460|Median_Type|1.420|6|||
2021|54|04100790000NB|63.460|64.830|Median_Type|1.370|2|||
2021|54|04100790000NB|64.830|67.520|Median_Type|2.690|2|||
2021|54|04100790000NB|67.520|69.320|Median_Type|1.800|2|||
2021|54|04100790000NB|69.320|70.830|Median_Type|1.510|2|||
2021|54|04100790000NB|70.830|78.410|Median_Type|7.580|2|||
2021|54|04100790000NB|78.410|79.080|Median_Type|0.670|2|||
2021|54|04100790000NB|79.080|83.150|Median_Type|4.070|2|||
2021|54|04200190000NB|26.570|27.640|Median_Type|1.070|1|||
2021|54|0440032000000|6.270|6.500|Median_Type|0.230|2|||
2021|54|05200220000EB|3.170|3.350|Median_Type|0.180|7|||
2021|54|05200220000EB|3.350|3.450|Median_Type|0.100|7|||
2021|54|05200220000EB|3.450|4.730|Median_Type|1.280|7|||
2021|54|05200220000EB|4.730|5.190|Median_Type|0.460|2|||
2021|54|05200220000EB|5.190|5.890|Median_Type|0.700|2|||
2021|54|0530002000000|3.330|3.880|Median_Type|0.550|1|||
2021|54|0530002000000|3.880|6.350|Median_Type|2.470|1|||
2021|54|0530002000000|6.800|7.060|Median_Type|0.260|1|||
2021|54|0530002000000|7.060|7.470|Median_Type|0.410|1|||
2021|54|0530002000000|7.590|8.670|Median_Type|1.080|1|||
2021|54|0530002000000|10.140|10.720|Median_Type|0.580|1|||
2021|54|0530002000000|12.630|13.080|Median_Type|0.450|1|||
2021|54|0530002000000|14.500|14.830|Median_Type|0.330|7|||
2021|54|0530002000000|14.830|15.050|Median_Type|0.220|7|||
2021|54|0530002000000|15.050|15.080|Median_Type|0.030|7|||
2021|54|0530002000000|15.080|15.400|Median_Type|0.320|1|||
2021|54|0530002000000|15.750|16.160|Median_Type|0.410|1|||
2021|54|05300020005SB|0.000|0.340|Median_Type|0.340|2|||
2021|54|0530027000000|1.580|2.260|Median_Type|0.680|1|||
2021|54|0530027000100|0.400|0.960|Median_Type|0.560|1|||
2021|54|0530027000100|0.960|3.350|Median_Type|2.390|1|||
2021|54|0530067000000|0.170|0.620|Median_Type|0.450|1|||
2021|54|0530067000000|6.140|6.710|Median_Type|0.570|1|||
2021|54|0540001000000|0.000|0.120|Median_Type|0.120|1|||
2021|54|0540001000000|0.120|0.500|Median_Type|0.380|1|||
2021|54|0540001000000|1.070|1.340|Median_Type|0.270|1|||
2021|54|0540001000000|3.260|4.010|Median_Type|0.750|1|||
2021|54|0540001000000|4.010|4.800|Median_Type|0.790|1|||
2021|54|0540001080000|0.810|0.950|Median_Type|0.140|1|||
2021|54|0540001080000|0.950|1.450|Median_Type|0.500|1|||
2021|54|0540001080000|1.900|2.410|Median_Type|0.510|1|||
2021|54|0540002010000|0.000|0.130|Median_Type|0.130|1|||
2021|54|0540002010000|0.130|1.030|Median_Type|0.900|1|||
2021|54|0540003010000|0.480|0.610|Median_Type|0.130|1|||
2021|54|0540003010000|0.610|1.650|Median_Type|1.040|1|||
2021|54|0540003010000|1.650|1.940|Median_Type|0.290|1|||
2021|54|0540007000000|1.290|2.449|Median_Type|1.159|1|||
2021|54|0540007010000|0.000|0.840|Median_Type|0.840|1|||
2021|54|0540007010000|0.840|1.990|Median_Type|1.150|1|||
2021|54|0540008000000|0.000|0.750|Median_Type|0.750|1|||
2021|54|0540013000000|0.000|0.140|Median_Type|0.140|1|||
2021|54|0540014000000|2.430|3.450|Median_Type|1.020|1|||
2021|54|0540018000000|0.000|0.550|Median_Type|0.550|1|||
2021|54|0540027040000|0.000|0.130|Median_Type|0.130|1|||
2021|54|0540027040000|0.440|0.840|Median_Type|0.400|1|||
2021|54|0540028000000|0.000|0.198|Median_Type|0.198|1|||
2021|54|0540507000000|0.000|0.250|Median_Type|0.250|1|||
2021|54|0540507000000|0.250|0.340|Median_Type|0.090|1|||
2021|54|0540507000000|0.620|1.200|Median_Type|0.580|1|||
2021|54|0540507020000|0.000|1.220|Median_Type|1.220|1|||
2021|54|0577278001900|0.000|0.160|Median_Type|0.160|1|||
2021|54|0577279001900|0.000|0.160|Median_Type|0.160|1|||
2021|54|06100640000EB|5.870|6.470|Median_Type|0.600|6|||
2021|54|06100640000EB|6.470|6.740|Median_Type|0.270|6|||
2021|54|06100640000EB|6.740|7.260|Median_Type|0.520|6|||
2021|54|06100640000EB|7.260|7.720|Median_Type|0.460|5|||
2021|54|06100640000EB|7.720|8.190|Median_Type|0.470|2|||
2021|54|06100640000EB|8.190|9.220|Median_Type|1.030|5|||
2021|54|06100640000EB|9.220|9.520|Median_Type|0.300|2|||
2021|54|06100640000EB|11.020|11.370|Median_Type|0.350|7|||
2021|54|06100640000EB|11.370|14.530|Median_Type|3.160|7|||
2021|54|06100640000EB|14.570|17.680|Median_Type|3.110|5|||
2021|54|06100640000EB|17.680|18.080|Median_Type|0.400|5|||
2021|54|06100640000EB|18.080|18.490|Median_Type|0.410|5|||
2021|54|06100640000EB|18.490|19.320|Median_Type|0.830|5|||
2021|54|06100640000EB|19.320|19.710|Median_Type|0.390|6|||
2021|54|06100640000EB|19.710|20.190|Median_Type|0.480|5|||
2021|54|06100640000EB|20.190|21.040|Median_Type|0.850|5|||
2021|54|06100640000EB|21.040|21.160|Median_Type|0.120|5|||
2021|54|06100640000EB|21.160|21.750|Median_Type|0.590|5|||
2021|54|06100640000EB|21.750|22.390|Median_Type|0.640|5|||
2021|54|06100640000EB|22.390|27.110|Median_Type|4.720|5|||
2021|54|06100640000EB|27.110|27.550|Median_Type|0.440|7|||
2021|54|06100640000EB|27.550|28.670|Median_Type|1.120|2|||
2021|54|06100640000EB|28.670|29.440|Median_Type|0.770|2|||
2021|54|06100640000EB|29.440|31.770|Median_Type|2.330|2|||
2021|54|06200520000EB|0.010|0.330|Median_Type|0.320|1|||
2021|54|06200520000EB|0.330|0.450|Median_Type|0.120|1|||
2021|54|06200520000EB|0.750|1.010|Median_Type|0.260|4|||
2021|54|06200520004NB|0.000|0.320|Median_Type|0.320|1|||
2021|54|06200520004NB|0.321|0.460|Median_Type|0.139|3|||
2021|54|06200600000EB|2.970|3.070|Median_Type|0.100|1|||
2021|54|06200600000EB|3.170|3.270|Median_Type|0.100|1|||
2021|54|06200600000EB|5.760|5.960|Median_Type|0.200|1|||
2021|54|06200600000EB|6.970|7.510|Median_Type|0.540|1|||
2021|54|06200600000EB|7.590|7.960|Median_Type|0.370|1|||
2021|54|06200600000EB|7.960|8.430|Median_Type|0.470|1|||
2021|54|06200600000EB|8.430|8.820|Median_Type|0.390|1|||
2021|54|06200600000EB|8.820|9.500|Median_Type|0.680|3|||
2021|54|06200600000EB|9.560|9.920|Median_Type|0.360|1|||
2021|54|06200600000EB|9.920|10.270|Median_Type|0.350|1|||
2021|54|06200600000EB|10.760|11.250|Median_Type|0.490|1|||
2021|54|06200600000EB|11.510|12.230|Median_Type|0.720|1|||
2021|54|06200600000EB|15.590|17.290|Median_Type|1.700|1|||
2021|54|06200600001EB|0.000|0.390|Median_Type|0.390|1|||
2021|54|0630002000000|0.100|0.210|Median_Type|0.110|1|||
2021|54|0630002000000|9.980|10.080|Median_Type|0.100|1|||
2021|54|0630002000000|14.380|17.990|Median_Type|3.610|1|||
2021|54|0630002001300|0.000|0.170|Median_Type|0.170|1|||
2021|54|0630002001300|0.170|0.390|Median_Type|0.220|1|||
2021|54|0630010000000|15.690|15.820|Median_Type|0.130|1|||
2021|54|0630010000000|15.820|16.270|Median_Type|0.450|1|||
2021|54|0630010000000|17.210|17.370|Median_Type|0.160|1|||
2021|54|0630010000000|17.460|18.410|Median_Type|0.950|1|||
2021|54|0630010000100|1.940|2.560|Median_Type|0.620|1|||
2021|54|0630101000000|0.160|0.360|Median_Type|0.200|1|||
2021|54|0630152000000|0.760|0.990|Median_Type|0.230|3|||
2021|54|0630193000000|0.460|3.550|Median_Type|3.090|2|||
2021|54|0630527000000|0.890|0.980|Median_Type|0.090|1|||
2021|54|0630527000100|0.000|0.190|Median_Type|0.190|1|||
2021|54|0630527000100|0.190|0.390|Median_Type|0.200|1|||
2021|54|0640001000000|2.100|2.224|Median_Type|0.124|1|||
2021|54|0640001000000|2.477|2.619|Median_Type|0.142|1|||
2021|54|0640009000000|1.688|1.803|Median_Type|0.115|1|||
2021|54|0640013000000|0.020|0.420|Median_Type|0.400|1|||
2021|54|0640017000000|0.000|1.577|Median_Type|1.577|1|||
2021|54|0640017000000|4.050|4.170|Median_Type|0.120|1|||
2021|54|0640017000000|4.300|4.410|Median_Type|0.110|1|||
2021|54|0640017000000|4.470|5.020|Median_Type|0.550|1|||
2021|54|0640021000000|0.537|0.900|Median_Type|0.363|1|||
2021|54|0640021000000|0.900|1.510|Median_Type|0.610|1|||
2021|54|0640021000000|1.510|2.939|Median_Type|1.429|1|||
2021|54|0640021000000|2.947|2.980|Median_Type|0.033|1|||
2021|54|0640031000000|0.160|0.500|Median_Type|0.340|1|||
2021|54|0640031060000|0.000|0.380|Median_Type|0.380|1|||
2021|54|0640031060000|0.380|0.410|Median_Type|0.030|1|||
