Year_Record|State_Code|Route_ID|Begin_Point|End_Point|Data_Item|Section_Length|Value_Numeric|Value_Text|Value_Date|Comments
2021|54|01200330000EB|0.000|1.870|AADT_Single_Unit|1.870|1029|||
2021|54|01200330000EB|1.870|4.430|AADT_Single_Unit|2.560|992|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct
2021|54|01201190000NB|6.950|9.290|AADT_Single_Unit|2.340|202|||
2021|54|01201190000NB|10.660|11.500|AADT_Single_Unit|0.840|297|||
2021|54|0130020000000|0.000|2.150|AADT_Single_Unit|2.150|191|||Est Pct_Peak_Combination; 
2021|54|0130038000000|0.430|2.430|AADT_Single_Unit|2.000|368|||
2021|54|0130038000000|5.530|6.310|AADT_Single_Unit|0.780|299|||
2021|54|0130076000000|1.750|6.620|AADT_Single_Unit|4.870|83|||
2021|54|0130092000000|8.640|9.978|AADT_Single_Unit|1.338|143|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0130092000000|9.978|10.729|AADT_Single_Unit|0.751|143|||Est Pct_Peak_Combination; 
2021|54|0130092000000|10.729|10.730|AADT_Single_Unit|0.001|143|||
2021|54|0140006000000|0.110|3.130|AADT_Single_Unit|3.020|56|||Est Pct_Peak_Combination; 
2021|54|0140010000000|7.410|8.630|AADT_Single_Unit|1.220|30|||
2021|54|0140011000000|3.050|3.780|AADT_Single_Unit|0.730|12|||Est Pct_Peak_Combination; 
2021|54|0140024000000|1.640|2.790|AADT_Single_Unit|1.150|16|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0140024000000|2.790|4.740|AADT_Single_Unit|1.950|16|||Est Pct_Peak_Combination; Est Pct_Buses; Est Pct_CU_Trucks; 
2021|54|0140030000000|6.140|6.830|AADT_Single_Unit|0.690|9|||Est Pct_Peak_Combination; 
2021|54|0140030070000|0.000|0.920|AADT_Single_Unit|0.920|9|||Est Pct_Peak_Combination; 
2021|54|0140030070000|0.920|2.000|AADT_Single_Unit|1.080|9|||Est Pct_Peak_Combination; 
2021|54|0140046010000|0.000|1.620|AADT_Single_Unit|1.620|16|||Est Pct_Peak_Combination; Est Pct_MC; Est Pct_CU_Trucks; 
2021|54|02100810000NB|0.000|1.390|AADT_Single_Unit|1.390|2994|||
2021|54|02100810000NB|1.390|5.010|AADT_Single_Unit|3.620|2979|||
2021|54|02100810000NB|5.010|6.270|AADT_Single_Unit|1.260|2979|||
2021|54|02100810000NB|6.270|8.420|AADT_Single_Unit|2.150|3133|||
2021|54|02100810000NB|8.420|11.630|AADT_Single_Unit|3.210|3133|||
2021|54|02100810000NB|11.630|12.980|AADT_Single_Unit|1.350|3713|||
2021|54|02100810000NB|12.980|13.540|AADT_Single_Unit|0.560|3713|||
2021|54|02100810000NB|13.540|14.260|AADT_Single_Unit|0.720|3896|||
2021|54|02100810000NB|14.260|15.220|AADT_Single_Unit|0.960|3478|||
2021|54|02100810000NB|15.220|15.620|AADT_Single_Unit|0.400|3478|||
