Year_Record|State_Code|Route_ID|Begin_Point|End_Point|Data_Item|Section_Length|Value_Numeric|Value_Text|Value_Date|Comments
2021|54|01200330000EB|0.000|1.870|AADT_Combination|1.870|586|||
2021|54|01200330000EB|1.870|4.430|AADT_Combination|2.560|565|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct
2021|54|01201190000NB|6.950|9.290|AADT_Combination|2.340|31|||
2021|54|01201190000NB|10.660|11.500|AADT_Combination|0.840|42|||
2021|54|0130020000000|0.000|2.150|AADT_Combination|2.150|54|||Est Pct_Peak_Combination; 
2021|54|0130038000000|0.430|2.430|AADT_Combination|2.000|31|||
2021|54|0130038000000|5.530|6.310|AADT_Combination|0.780|28|||
2021|54|0130076000000|1.750|6.620|AADT_Combination|4.870|12|||
2021|54|0130092000000|8.640|9.978|AADT_Combination|1.338|56|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0130092000000|9.978|10.729|AADT_Combination|0.751|56|||Est Pct_Peak_Combination; 
2021|54|0130092000000|10.729|10.730|AADT_Combination|0.001|56|||
2021|54|0140006000000|0.110|3.130|AADT_Combination|3.020|2|||Est Pct_Peak_Combination; 
2021|54|0140010000000|7.410|8.630|AADT_Combination|1.220|13|||
2021|54|0140011000000|3.050|3.780|AADT_Combination|0.730|4|||Est Pct_Peak_Combination; 
2021|54|0140024000000|1.640|2.790|AADT_Combination|1.150|2|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0140024000000|2.790|4.740|AADT_Combination|1.950|2|||Est Pct_Peak_Combination; Est Pct_Buses; Est Pct_CU_Trucks; 
2021|54|0140030000000|6.140|6.830|AADT_Combination|0.690|2|||Est Pct_Peak_Combination; 
2021|54|0140030070000|0.000|0.920|AADT_Combination|0.920|3|||Est Pct_Peak_Combination; 
2021|54|0140030070000|0.920|2.000|AADT_Combination|1.080|3|||Est Pct_Peak_Combination; 
2021|54|0140046010000|0.000|1.620|AADT_Combination|1.620|3|||Est Pct_Peak_Combination; Est Pct_MC; Est Pct_CU_Trucks; 
2021|54|02100810000NB|0.000|1.390|AADT_Combination|1.390|8826|||
2021|54|02100810000NB|1.390|5.010|AADT_Combination|3.620|8783|||
2021|54|02100810000NB|5.010|6.270|AADT_Combination|1.260|8783|||
2021|54|02100810000NB|6.270|8.420|AADT_Combination|2.150|9237|||
2021|54|02100810000NB|8.420|11.630|AADT_Combination|3.210|9237|||
2021|54|02100810000NB|11.630|12.980|AADT_Combination|1.350|10946|||
2021|54|02100810000NB|12.980|13.540|AADT_Combination|0.560|10946|||
2021|54|02100810000NB|13.540|14.260|AADT_Combination|0.720|11487|||
2021|54|02100810000NB|14.260|15.220|AADT_Combination|0.960|10254|||
2021|54|02100810000NB|15.220|15.620|AADT_Combination|0.400|10254|||
2021|54|02100810000NB|15.620|15.950|AADT_Combination|0.330|10254|||
2021|54|02100810000NB|15.950|16.230|AADT_Combination|0.280|10254|||
2021|54|02100810000NB|16.230|17.300|AADT_Combination|1.070|8913|||
2021|54|02100810000NB|17.300|18.130|AADT_Combination|0.830|8913|||
2021|54|02100810000NB|18.130|20.370|AADT_Combination|2.240|8913|||
2021|54|02100810000NB|20.370|23.000|AADT_Combination|2.630|8955|||
2021|54|02100810000NB|23.000|23.460|AADT_Combination|0.460|10579|||
2021|54|02100810000NB|23.460|24.530|AADT_Combination|1.070|10579|||
2021|54|02100810000NB|24.530|26.000|AADT_Combination|1.470|10579|||
2021|54|02200110000NB|5.240|6.050|AADT_Combination|0.810|61|||
2021|54|02200110000NB|13.260|13.650|AADT_Combination|0.390|67|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; 
2021|54|02200110000NB|13.650|13.780|AADT_Combination|0.130|67|||
2021|54|02200110000NB|13.780|14.510|AADT_Combination|0.730|67|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; 
2021|54|02200110000NB|14.510|14.640|AADT_Combination|0.130|67|||
2021|54|02200110000NB|14.640|14.810|AADT_Combination|0.170|67|||Est Pct_Peak_Single; Est Pct_Peak_Combination; Est K_Factor; Est Dir_Factor; 
2021|54|02200110000NB|16.480|17.510|AADT_Combination|1.030|38|||
