Year_Record|State_Code|Route_ID|Begin_Point|End_Point|Data_Item|Section_Length|Value_Numeric|Value_Text|Value_Date|Comments
2021|54|01200330000EB|0.000|1.870|K_Factor|1.870|10|||
2021|54|01201190000NB|6.950|9.290|K_Factor|2.340|14|||
2021|54|01201190000NB|10.660|11.500|K_Factor|0.840|13|||
2021|54|0130020000000|0.000|2.150|K_Factor|2.150|13|||Est Pct_Peak_Combination; 
2021|54|0130038000000|0.430|2.430|K_Factor|2.000|13|||
2021|54|0130038000000|5.530|6.310|K_Factor|0.780|11|||
2021|54|0130076000000|1.750|6.620|K_Factor|4.870|13|||
2021|54|0130092000000|8.640|9.978|K_Factor|1.338|12|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0130092000000|9.978|10.729|K_Factor|0.751|12|||Est Pct_Peak_Combination; 
2021|54|0130092000000|10.729|10.730|K_Factor|0.001|12|||
2021|54|0140006000000|0.110|3.130|K_Factor|3.020|16|||Est Pct_Peak_Combination; 
2021|54|0140010000000|7.410|8.630|K_Factor|1.220|15|||
2021|54|0140011000000|3.050|3.780|K_Factor|0.730|16|||Est Pct_Peak_Combination; 
2021|54|0140024000000|1.640|2.790|K_Factor|1.150|20|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0140024000000|2.790|4.740|K_Factor|1.950|17|||Est Pct_Peak_Combination; Est Pct_Buses; Est Pct_CU_Trucks; 
2021|54|0140030000000|6.140|6.830|K_Factor|0.690|12|||Est Pct_Peak_Combination; 
2021|54|0140030070000|0.000|0.920|K_Factor|0.920|13|||Est Pct_Peak_Combination; 
2021|54|0140030070000|0.920|2.000|K_Factor|1.080|13|||Est Pct_Peak_Combination; 
2021|54|0140046010000|0.000|1.620|K_Factor|1.620|23|||Est Pct_Peak_Combination; Est Pct_MC; Est Pct_CU_Trucks; 
2021|54|02100810000NB|0.000|1.390|K_Factor|1.390|12|||
2021|54|02100810000NB|1.390|5.010|K_Factor|3.620|12|||
2021|54|02100810000NB|5.010|6.270|K_Factor|1.260|12|||
2021|54|02100810000NB|6.270|8.420|K_Factor|2.150|13|||
2021|54|02100810000NB|8.420|11.630|K_Factor|3.210|13|||
2021|54|02100810000NB|11.630|12.980|K_Factor|1.350|13|||
2021|54|02100810000NB|12.980|13.540|K_Factor|0.560|13|||
2021|54|02100810000NB|13.540|14.260|K_Factor|0.720|13|||
2021|54|02100810000NB|14.260|15.220|K_Factor|0.960|13|||
2021|54|02100810000NB|15.220|15.620|K_Factor|0.400|13|||
2021|54|02100810000NB|15.620|15.950|K_Factor|0.330|13|||
2021|54|02100810000NB|15.950|16.230|K_Factor|0.280|13|||
2021|54|02100810000NB|16.230|17.300|K_Factor|1.070|15|||
2021|54|02100810000NB|17.300|18.130|K_Factor|0.830|15|||
2021|54|02100810000NB|18.130|20.370|K_Factor|2.240|15|||
2021|54|02100810000NB|20.370|23.000|K_Factor|2.630|15|||
2021|54|02100810000NB|23.000|23.460|K_Factor|0.460|13|||
2021|54|02100810000NB|23.460|24.530|K_Factor|1.070|13|||
2021|54|02100810000NB|24.530|26.000|K_Factor|1.470|13|||
2021|54|02200110000NB|5.240|6.050|K_Factor|0.810|15|||
2021|54|02200110000NB|13.650|13.780|K_Factor|0.130|14|||
2021|54|02200110000NB|14.510|14.640|K_Factor|0.130|14|||
2021|54|02200110000NB|16.480|17.510|K_Factor|1.030|18|||
2021|54|02200110000NB|24.710|24.970|K_Factor|0.260|18|||
2021|54|0230009000000|0.350|2.200|K_Factor|1.850|19|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0230009000000|6.170|6.270|K_Factor|0.100|18|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0230009000000|6.381|6.470|K_Factor|0.089|15|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0230009000000|6.470|7.580|K_Factor|1.110|13|||
2021|54|0230009000000|7.584|9.950|K_Factor|2.366|13|||
2021|54|0230009000000|10.120|10.370|K_Factor|0.250|17|||
2021|54|0230009000000|10.520|10.840|K_Factor|0.320|17|||
2021|54|0230009000000|10.840|11.150|K_Factor|0.310|17|||
2021|54|0230009000000|14.000|14.200|K_Factor|0.200|16|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0230009000000|14.550|14.900|K_Factor|0.350|16|||Est Pct_MC; Est Pct_Cars; Est Pct_Lgt_Trucks; Est Pct_Buses; Est Pct_SU_Trucks; Est Pct_CU_Trucks; 
2021|54|0230009000000|15.570|15.790|K_Factor|0.220|15|||
2021|54|0230009000000|15.790|16.090|K_Factor|0.300|15|||
2021|54|0230009000000|17.070|17.480|K_Factor|0.410|15|||
2021|54|0230009000000|18.180|20.160|K_Factor|1.980|16|||
