Year_Record|State_Code|Route_ID|Begin_Point|End_Point|Data_Item|Section_Length|Value_Numeric|Value_Text|Value_Date|Comments
2021|54|01200330000EB|0|4.43|NHS|4.43|1|||
2021|54|01200330000WB|0|4.43|NHS|4.43|1|||
2021|54|02100810000NB|0|26|NHS|26|1|||
2021|54|02100810000SB|0|26|NHS|26|1|||
2021|54|02200110000NB|13.26|14.81|NHS|1.55|1|||
2021|54|02200110000SB|13.26|14.81|NHS|1.55|1|||
2021|54|0230009000000|0|11.28|NHS|11.28|1|||
2021|54|0230009000000|11.39|12.45|NHS|1.06|1|||
2021|54|0230009000000|13.996|15.37|NHS|1.374|1|||
2021|54|0230009000000|15.371|20.18|NHS|4.809|1|||
2021|54|02300090000WB|10.37|11.28|NHS|0.91|1|||
2021|54|02300090000WB|12.322|12.45|NHS|0.128|1|||
2021|54|02300090000WB|14.98|20.18|NHS|5.2|1|||
2021|54|02300090007WB|0|0.17|NHS|0.17|1|||
2021|54|0274273001900|0|0.11|NHS|0.11|7|||
2021|54|03201190000NB|0|20.7|NHS|20.7|1|||
2021|54|03201190000NB|20.77|22.95|NHS|2.18|1|||
2021|54|03201190000SB|0|20.7|NHS|20.7|1|||
2021|54|03201190000SB|20.77|22.95|NHS|2.18|1|||
2021|54|04100790000NB|44.6|83.15|NHS|38.55|1|||
2021|54|04100790000SB|44.6|83.15|NHS|38.55|1|||
2021|54|04200190000NB|0|3.72|NHS|3.72|1|||
2021|54|04200190000NB|3.74|4.18|NHS|0.44|1|||
2021|54|04200190000NB|4.21|6.95|NHS|2.74|1|||
2021|54|04200190000SB|0|6.907|NHS|6.907|1|||
2021|54|04200190000SB|6.908|6.95|NHS|0.042|1|||
2021|54|0440032000000|6.27|6.5|NHS|0.23|1|||
2021|54|05200220000EB|0|2.06|NHS|2.06|1|||
2021|54|05200220000EB|2.45|5.89|NHS|3.44|1|||
2021|54|05200220000WB|0|2.06|NHS|2.06|1|||
2021|54|05200220000WB|2.45|5.89|NHS|3.44|1|||
2021|54|0530002000000|0|15.61|NHS|15.61|1|||
2021|54|0530002000000|15.75|16.81|NHS|1.06|1|||
2021|54|05300020000SB|7.55|9.93|NHS|2.38|1|||
2021|54|05300020000SB|13.7|14.91|NHS|1.21|1|||
2021|54|0530002000300|0|0.35|NHS|0.35|1|||
2021|54|05300020005SB|0|0.34|NHS|0.34|1|||
2021|54|05300020005SB|0.54|1.42|NHS|0.88|1|||
2021|54|06100640000EB|5.87|31.77|NHS|25.9|1|||
2021|54|06100640000WB|5.87|31.77|NHS|25.9|1|||
2021|54|06200520000EB|0|1.3|NHS|1.3|1|||
2021|54|06200520000WB|0|1.14|NHS|1.14|1|||
2021|54|06200520004NB|0|0.32|NHS|0.32|1|||
2021|54|06200520004NB|0.321|0.46|NHS|0.139|1|||
2021|54|06200600000EB|0|3.94|NHS|3.94|1|||
2021|54|06200600000EB|3.94|9.56|NHS|5.62|3|||
2021|54|06200600000WB|0|0.86|NHS|0.86|1|||
2021|54|06200600000WB|6.02|9.56|NHS|3.54|3|||
2021|54|06200600001EB|0|0.49|NHS|0.49|1|||
2021|54|06200600001WB|0|0.49|NHS|0.49|1|||
2021|54|06200600007WB|0|2.26|NHS|2.26|3|||
2021|54|06200600007WB|2.26|5.56|NHS|3.3|1|||
2021|54|0630002000000|0|5.76|NHS|5.76|3|||
2021|54|0630002000000|5.76|17.99|NHS|12.23|1|||
2021|54|0630002001300|0|0.39|NHS|0.39|1|||
2021|54|0630010000000|15.49|17.04|NHS|1.55|7|||
2021|54|0630010000000|17.04|18.58|NHS|1.54|3|||
2021|54|06300100000SB|15.49|17.04|NHS|1.55|7|||
2021|54|06300100000SB|17.04|17.25|NHS|0.21|3|||
2021|54|0630106000000|0.327|1|NHS|0.673|1|||
2021|54|06301060000SB|0.397|0.67|NHS|0.273|1|||
2021|54|0630152000000|1.14|1.44|NHS|0.3|1|||
2021|54|06301520000SB|1.14|1.44|NHS|0.3|1|||
2021|54|0630193000000|0.18|3.55|NHS|3.37|1|||
2021|54|06301930000SB|0.18|3.55|NHS|3.37|1|||
2021|54|0630527000000|0|0.6|NHS|0.6|1|||
2021|54|0630527000000|0.89|3.22|NHS|2.33|1|||
2021|54|06305270000NB|0|0.155|NHS|0.155|1|||
2021|54|0630527000100|0|0.51|NHS|0.51|1|||
2021|54|06305270004NB|0|0.45|NHS|0.45|1|||
2021|54|08100790000NB|36|44.6|NHS|8.6|1|||
2021|54|08100790000SB|36|44.6|NHS|8.6|1|||
2021|54|09200500000EB|0|18.87|NHS|18.87|1|||
2021|54|09200500000WB|0|18.87|NHS|18.87|1|||
2021|54|10100770016NB|52.58|67.21|NHS|14.63|1|||
2021|54|10100770016SB|52.58|67.21|NHS|14.63|1|||
2021|54|10200190000NB|0|26.29|NHS|26.29|1|||
2021|54|10200190000SB|0|26.29|NHS|26.29|1|||
2021|54|11100790000NB|83.15|83.55|NHS|0.4|1|||
2021|54|11100790000SB|83.15|83.55|NHS|0.4|1|||
2021|54|12200480000EB|0|21.29|NHS|21.29|1|||
2021|54|12200480000WB|0|21.29|NHS|21.29|1|||
2021|54|1230093000000|1.54|5.296|NHS|3.756|1|||
2021|54|1230093000000|9.426|18.046|NHS|8.62|1|||
2021|54|13100640000EB|147.6|184.02|NHS|36.42|1|||
2021|54|13100640000WB|147.6|184.02|NHS|36.42|1|||
2021|54|13202190000NB|0|34.22|NHS|34.22|1|||
2021|54|13202190000SB|0|8.59|NHS|8.59|1|||
2021|54|13202190000SB|10.01|34.22|NHS|24.21|1|||
2021|54|13202190005SB|0|1.64|NHS|1.64|1|||
2021|54|15200220000EB|0|0.39|NHS|0.39|1|||
2021|54|15200220000WB|0|0.39|NHS|0.39|1|||
2021|54|15200300000EB|0|0.61|NHS|0.61|1|||
2021|54|15200300000WB|0|0.61|NHS|0.61|1|||
2021|54|1530002000000|0|21.37|NHS|21.37|1|||
2021|54|16200480000EB|0|31.51|NHS|31.51|1|||
2021|54|16200480000WB|0|31.51|NHS|31.51|1|||
2021|54|1630055000000|11.09|11.97|NHS|0.88|1|||
2021|54|1630055000000|34.15|41.28|NHS|7.13|1|||
2021|54|16300550000WB|11.09|11.97|NHS|0.88|1|||
2021|54|17100790000NB|106.42|129.22|NHS|22.8|1|||
2021|54|17100790000SB|106.42|129.22|NHS|22.8|1|||
2021|54|17200500000EB|0|18.32|NHS|18.32|1|||
2021|54|17200500000WB|0|18.32|NHS|18.32|1|||
2021|54|18100770000NB|117.5|156.99|NHS|39.49|1|||
2021|54|18100770000SB|117.5|156.99|NHS|39.49|1|||
2021|54|18200330000EB|0|0.12|NHS|0.12|1|||
2021|54|18200330000EB|0.121|3.32|NHS|3.199|1|||
2021|54|18200330000WB|0|0.12|NHS|0.12|1|||
2021|54|18200330000WB|0.121|3.32|NHS|3.199|1|||
2021|54|1830002000000|0|11.28|NHS|11.28|1|||
2021|54|1830002000000|13.53|13.88|NHS|0.35|1|||
2021|54|18300020000SB|10.86|11.28|NHS|0.42|1|||
2021|54|19203400000NB|0|16.03|NHS|16.03|1|||
2021|54|19203400000SB|0|8.71|NHS|8.71|1|||
2021|54|19203400000SB|9.31|16.03|NHS|6.72|1|||
2021|54|19203400005NB|0|0.151|NHS|0.151|1|||
2021|54|19203400005SB|0|0.37|NHS|0.37|1|||
2021|54|19203400005SB|0.371|0.6|NHS|0.229|1|||
2021|54|1930009000000|0|9.12|NHS|9.12|1|||
2021|54|1930009000000|9.98|10.3|NHS|0.32|1|||
2021|54|1930009000000|10.301|14.96|NHS|4.659|1|||
2021|54|19300090000WB|0|9.27|NHS|9.27|1|||
2021|54|19300090000WB|10.53|14.96|NHS|4.43|1|||
2021|54|20100640000EB|45.39|58.78|NHS|13.39|1|||
2021|54|20100640000WB|45.39|58.78|NHS|13.39|1|||
2021|54|20100640006EB|0|0.3|NHS|0.3|1|||
2021|54|20100770000NB|95.34|117.5|NHS|22.16|1|||
2021|54|20100770000SB|95.34|117.5|NHS|22.16|1|||
2021|54|20100770005SB|0|0.67|NHS|0.67|1|||
2021|54|20100770016NB|67.21|95.34|NHS|28.13|1|||
2021|54|20100770016SB|67.21|95.34|NHS|28.13|1|||
2021|54|20100770023NB|0|1.02|NHS|1.02|1|||
2021|54|20100770023SB|0|1.31|NHS|1.31|1|||
2021|54|20100790000NB|0|21.28|NHS|21.28|1|||
2021|54|20100790000SB|0|21.28|NHS|21.28|1|||
2021|54|20200600000EB|2.44|14.84|NHS|12.4|1|||
2021|54|20200600000EB|16.48|16.69|NHS|0.21|6|||
2021|54|20200600000EB|18.64|20.83|NHS|2.19|1|||
2021|54|20200600000EB|21.97|44.55|NHS|22.58|1|||
2021|54|20200600000WB|2.44|14.54|NHS|12.1|1|||
2021|54|20200600000WB|22.35|44.55|NHS|22.2|1|||
2021|54|20200600007WB|7.76|8.1|NHS|0.34|1|||
2021|54|20201190000NB|0|1.12|NHS|1.12|1|||
2021|54|20201190000NB|5.79|17.64|NHS|11.85|1|||
2021|54|20201190000SB|0|1.12|NHS|1.12|1|||
2021|54|20201190000SB|5.79|17.38|NHS|11.59|1|||
2021|54|20201190003EB|0|0.3|NHS|0.3|4|||
2021|54|20201190003WB|0|0.3|NHS|0.3|4|||
2021|54|20201190005SB|0.28|0.73|NHS|0.45|6|||
2021|54|20201190023NB|0|0.51|NHS|0.51|1|||
2021|54|20201190023NB|0.7|1.17|NHS|0.47|1|||
2021|54|2030025000000|2.46|5.9|NHS|3.44|1|||
2021|54|2030025000000|8.3|12.76|NHS|4.46|1|||
2021|54|20300250000WB|2.46|2.68|NHS|0.22|1|||
2021|54|20300250000WB|5.11|5.9|NHS|0.79|1|||
2021|54|20300250000WB|10.44|12.63|NHS|2.19|1|||
2021|54|2030025000300|0|0.45|NHS|0.45|1|||
2021|54|20300250003SB|0.37|0.45|NHS|0.08|1|||
2021|54|2030061000000|21.2|26.32|NHS|5.12|1|||
2021|54|2030061000000|26.32|27.01|NHS|0.69|4|||
2021|54|2030061000000|27.01|28.44|NHS|1.43|1|||
2021|54|20300610000SB|21.2|26.32|NHS|5.12|1|||
2021|54|20300610000SB|26.32|27.01|NHS|0.69|4|||
2021|54|20300610000SB|27.01|28.403|NHS|1.393|1|||
2021|54|20300610005SB|0|0.05|NHS|0.05|1|||
2021|54|20300610006EB|0|0.19|NHS|0.19|1|||
2021|54|2030114000000|0.23|0.39|NHS|0.16|1|||
2021|54|2030114000000|0.39|1.98|NHS|1.59|2|||
2021|54|20301140000SB|0.23|0.39|NHS|0.16|1|||
2021|54|20301140000SB|0.39|1.98|NHS|1.59|2|||
2021|54|2030817000000|0|1.57|NHS|1.57|1|||
2021|54|2040060620000|0|0.61|NHS|0.61|1|||
2021|54|2040060630000|0|0.5|NHS|0.5|1|||
2021|54|2040114010000|0|1.07|NHS|1.07|2|||
2021|54|2071054001900|0|3.71|NHS|3.71|1|||
2021|54|20710540019WB|0|3.71|NHS|3.71|1|||
2021|54|21100790000NB|83.55|106.42|NHS|22.87|1|||
2021|54|21100790000SB|83.55|106.42|NHS|22.87|1|||
2021|54|21200330000EB|19.84|27.04|NHS|7.2|1|||
2021|54|21200330000WB|19.84|27.04|NHS|7.2|1|||
2021|54|22201190000NB|0|0.07|NHS|0.07|1|||
2021|54|22201190000NB|3.37|8.04|NHS|4.67|1|||
2021|54|22201190000SB|0|0.07|NHS|0.07|1|||
2021|54|22201190000SB|3.37|8.04|NHS|4.67|1|||
2021|54|23200520000EB|0|0.43|NHS|0.43|1|||
2021|54|23200520000WB|0|0.43|NHS|0.43|1|||
2021|54|23201190000NB|0|18.42|NHS|18.42|1|||
2021|54|23201190000SB|0|18.42|NHS|18.42|1|||
2021|54|2330010000000|7.36|22.05|NHS|14.69|1|||
2021|54|23300100000SB|7.42|12.95|NHS|5.53|1|||
2021|54|2330073000000|0|2.87|NHS|2.87|1|||
2021|54|23300730000WB|0.08|2.28|NHS|2.2|1|||
2021|54|23300730000WB|2.28|2.87|NHS|0.59|1|||
2021|54|2330080000000|0|5.79|NHS|5.79|1|||
2021|54|24200520000EB|0|42.24|NHS|42.24|1|||
2021|54|24200520000WB|0|42.24|NHS|42.24|1|||
2021|54|24200520001EB|0|1.18|NHS|1.18|1|||
2021|54|24200520001WB|0|1.12|NHS|1.12|1|||
2021|54|24200520002WB|0|0.021|NHS|0.021|1|||
2021|54|24200520003WB|0|0.06|NHS|0.06|1|||
2021|54|24200520003WB|0.12|0.2|NHS|0.08|1|||
2021|54|2430016000000|16.06|26.83|NHS|10.77|1|||
2021|54|2430016000000|29|35.38|NHS|6.38|1|||
2021|54|2430016000100|0|0.06|NHS|0.06|1|||
2021|54|24300160005SB|0|0.16|NHS|0.16|1|||
2021|54|2430083000000|0|18.05|NHS|18.05|1|||
2021|54|25100790000NB|129.22|142.37|NHS|13.15|1|||
2021|54|25100790000SB|129.22|142.37|NHS|13.15|1|||
2021|54|26202500000NB|0|39.2|NHS|39.2|1|||
2021|54|26202500000SB|0|39.2|NHS|39.2|1|||
2021|54|2630002000000|0|20.16|NHS|20.16|1|||
2021|54|26300020000SB|13.46|18.55|NHS|5.09|1|||
2021|54|2630002000300|0|0.43|NHS|0.43|1|||
2021|54|26300020003WB|0|0.43|NHS|0.43|1|||
2021|54|27200350000NB|0|18.46|NHS|18.46|1|||
2021|54|27200350000SB|0|18.46|NHS|18.46|1|||
2021|54|2730002000000|0|20.42|NHS|20.42|1|||
2021|54|2730002000000|20.54|36.98|NHS|16.44|1|||
2021|54|27300020000SB|19.91|20.54|NHS|0.63|1|||
2021|54|28100770000NB|0|8.98|NHS|8.98|1|||
2021|54|28100770000SB|0|8.98|NHS|8.98|1|||
2021|54|28100770016NB|8.98|27.26|NHS|18.28|1|||
2021|54|28100770016SB|8.98|27.26|NHS|18.28|1|||
2021|54|28200190000NB|1.31|2.13|NHS|0.82|1|||
2021|54|28200190000NB|5.34|10.7|NHS|5.36|1|||
2021|54|28200190000SB|1.31|2.13|NHS|0.82|1|||
2021|54|28200190000SB|5.34|10.7|NHS|5.36|1|||
2021|54|28200520000EB|0|11.03|NHS|11.03|1|||
