Year_Record|State_Code|Route_ID|Begin_Point|End_Point|Data_Item|Section_Length|Value_Numeric|Value_Text|Value_Date|Comments
2021|54|02100810000NB|0.0|26.0|Dir_Through_Lanes|26.0|2|||
2021|54|02100810000SB|0.0|26.0|Dir_Through_Lanes|26.0|2|||
2021|54|04100790000NB|44.6|83.15|Dir_Through_Lanes|38.55|2|||
2021|54|04100790000SB|44.6|83.15|Dir_Through_Lanes|38.55|2|||
2021|54|06100640000EB|5.87|10.92|Dir_Through_Lanes|5.05|2|||
2021|54|06100640000EB|10.92|14.53|Dir_Through_Lanes|3.61|3|||
2021|54|06100640000EB|14.53|31.77|Dir_Through_Lanes|17.24|2|||
2021|54|06100640000WB|5.87|31.77|Dir_Through_Lanes|25.9|2|||
2021|54|08100790000NB|36.0|44.6|Dir_Through_Lanes|8.6|2|||
2021|54|08100790000SB|36.0|44.6|Dir_Through_Lanes|8.6|2|||
2021|54|10100770016NB|52.58|61.6|Dir_Through_Lanes|9.02|2|||
2021|54|10100770016NB|61.6|62.5|Dir_Through_Lanes|0.9|3|||
2021|54|10100770016NB|62.5|67.21|Dir_Through_Lanes|4.71|2|||
2021|54|10100770016SB|52.58|61.6|Dir_Through_Lanes|9.02|2|||
2021|54|10100770016SB|61.6|62.5|Dir_Through_Lanes|0.9|3|||
2021|54|10100770016SB|62.5|67.21|Dir_Through_Lanes|4.71|2|||
2021|54|11100790000NB|83.15|83.55|Dir_Through_Lanes|0.4|2|||
2021|54|11100790000SB|83.15|83.55|Dir_Through_Lanes|0.4|2|||
2021|54|13100640000EB|147.6|147.93|Dir_Through_Lanes|0.33|3|||
2021|54|13100640000EB|147.93|184.02|Dir_Through_Lanes|36.09|2|||
2021|54|13100640000WB|147.6|147.93|Dir_Through_Lanes|0.33|3|||
2021|54|13100640000WB|147.93|184.02|Dir_Through_Lanes|36.09|2|||
2021|54|17100790000NB|106.42|122.9|Dir_Through_Lanes|16.48|2|||
2021|54|17100790000NB|122.9|125.38|Dir_Through_Lanes|2.48|3|||
2021|54|17100790000NB|125.38|129.22|Dir_Through_Lanes|3.84|2|||
2021|54|17100790000SB|106.42|129.22|Dir_Through_Lanes|22.8|2|||
2021|54|18100770000NB|117.5|156.99|Dir_Through_Lanes|39.49|2|||
2021|54|18100770000SB|117.5|156.99|Dir_Through_Lanes|39.49|2|||
2021|54|20100640000EB|45.39|52.73|Dir_Through_Lanes|7.34|3|||
2021|54|20100640000EB|52.73|53.75|Dir_Through_Lanes|1.02|4|||
2021|54|20100640000EB|53.75|58.61|Dir_Through_Lanes|4.86|3|||
2021|54|20100640000EB|58.61|58.78|Dir_Through_Lanes|0.17|2|||
2021|54|20100640000WB|45.39|52.73|Dir_Through_Lanes|7.34|3|||
2021|54|20100640000WB|52.73|53.73|Dir_Through_Lanes|1.0|4|||
2021|54|20100640000WB|53.73|58.3|Dir_Through_Lanes|4.57|3|||
2021|54|20100640000WB|58.3|58.78|Dir_Through_Lanes|0.48|2|||
2021|54|20100640006EB|0.0|0.3|Dir_Through_Lanes|0.3|3|||
2021|54|20100770000NB|95.34|96.47|Dir_Through_Lanes|1.13|2|||
2021|54|20100770000NB|96.47|97.13|Dir_Through_Lanes|0.66|2|||
2021|54|20100770000NB|97.13|98.17|Dir_Through_Lanes|1.04|2|||
2021|54|20100770000NB|98.17|100.78|Dir_Through_Lanes|2.61|3|||
2021|54|20100770000NB|100.78|101.2|Dir_Through_Lanes|0.42|2|||
2021|54|20100770000NB|101.2|102.66|Dir_Through_Lanes|1.46|3|||
2021|54|20100770000NB|102.66|106.17|Dir_Through_Lanes|3.51|2|||
2021|54|20100770000NB|106.17|117.5|Dir_Through_Lanes|11.33|2|||
2021|54|20100770000SB|95.34|96.47|Dir_Through_Lanes|1.13|2|||
2021|54|20100770000SB|96.47|97.13|Dir_Through_Lanes|0.66|2|||
2021|54|20100770000SB|97.13|98.17|Dir_Through_Lanes|1.04|2|||
2021|54|20100770000SB|98.17|100.76|Dir_Through_Lanes|2.59|3|||
2021|54|20100770000SB|100.76|101.4|Dir_Through_Lanes|0.64|2|||
2021|54|20100770000SB|101.4|102.66|Dir_Through_Lanes|1.26|3|||
2021|54|20100770000SB|102.66|117.5|Dir_Through_Lanes|14.84|2|||
2021|54|20100770005SB|0.0|0.67|Dir_Through_Lanes|0.67|2|||
2021|54|20100770016NB|67.21|74.36|Dir_Through_Lanes|7.15|2|||
2021|54|20100770016NB|74.36|76.66|Dir_Through_Lanes|2.3|3|||
2021|54|20100770016NB|76.66|77.46|Dir_Through_Lanes|0.8|2|||
2021|54|20100770016NB|77.46|82.44|Dir_Through_Lanes|4.98|2|||
2021|54|20100770016NB|82.44|82.67|Dir_Through_Lanes|0.23|3|||
2021|54|20100770016NB|82.67|82.82|Dir_Through_Lanes|0.15|5|||
2021|54|20100770016NB|82.82|83.31|Dir_Through_Lanes|0.49|2|||
2021|54|20100770016NB|83.31|95.34|Dir_Through_Lanes|12.03|2|||
2021|54|20100770016SB|67.21|79.92|Dir_Through_Lanes|12.71|3|||
2021|54|20100770016SB|79.92|82.67|Dir_Through_Lanes|2.75|2|||
2021|54|20100770016SB|82.67|86.68|Dir_Through_Lanes|4.01|5|||
2021|54|20100770016SB|86.68|94.72|Dir_Through_Lanes|8.04|3|||
2021|54|20100770016SB|94.72|95.34|Dir_Through_Lanes|0.62|2|||
2021|54|20100790000NB|0.0|2.24|Dir_Through_Lanes|2.24|2|||
2021|54|20100790000NB|2.24|3.51|Dir_Through_Lanes|1.27|3|||
2021|54|20100790000NB|3.51|6.12|Dir_Through_Lanes|2.61|2|||
2021|54|20100790000NB|6.12|6.82|Dir_Through_Lanes|0.7|3|||
2021|54|20100790000NB|6.82|21.28|Dir_Through_Lanes|14.46|2|||
2021|54|20100790000SB|0.0|2.24|Dir_Through_Lanes|2.24|2|||
