YEAR_RECORD|STATE_CODE|ROUTE_ID|BEGIN_POINT|END_POINT|DATA_ITEM|SECTION_LENGTH|VALUE_NUMERIC|VALUE_TEXT|VALUE_DATE|COMMENTS
2021|54|02100810000NB|0.000|0.100|Rutting|0.100|0.15||4/2021|
2021|54|02100810000NB|0.100|0.200|Rutting|0.100|0.11||4/2021|
2021|54|02100810000NB|0.200|0.300|Rutting|0.100|0.11||4/2021|
2021|54|02100810000NB|0.300|0.400|Rutting|0.100|0.13||4/2021|
2021|54|02100810000NB|0.400|0.500|Rutting|0.100|0.14||4/2021|
2021|54|02100810000NB|0.500|0.600|Rutting|0.100|0.09||4/2021|
2021|54|02100810000NB|0.600|0.700|Rutting|0.100|0.14||4/2021|
2021|54|02100810000NB|0.700|0.800|Rutting|0.100|0.16||4/2021|
2021|54|02100810000NB|0.800|0.900|Rutting|0.100|0.17||4/2021|
2021|54|02100810000NB|0.900|1.000|Rutting|0.100|0.16||4/2021|
2021|54|02100810000NB|1.000|1.100|Rutting|0.100|0.13||4/2021|
2021|54|02100810000NB|1.100|1.200|Rutting|0.100|0.13||4/2021|
2021|54|02100810000NB|1.200|1.300|Rutting|0.100|0.14||4/2021|
2021|54|02100810000NB|1.300|1.400|Rutting|0.100|0.13||4/2021|
2021|54|02100810000NB|1.400|1.500|Rutting|0.100|0.16||4/2021|
2021|54|02100810000NB|1.500|1.600|Rutting|0.100|0.15||4/2021|
2021|54|02100810000NB|1.600|1.700|Rutting|0.100|0.13||4/2021|
2021|54|02100810000NB|1.700|1.800|Rutting|0.100|0.18||4/2021|
2021|54|02100810000NB|1.800|1.900|Rutting|0.100|0.16||4/2021|
2021|54|02100810000NB|1.900|2.000|Rutting|0.100|0.19||4/2021|
2021|54|02100810000NB|10.000|10.100|Rutting|0.100|0.27||4/2021|
2021|54|02100810000NB|10.100|10.200|Rutting|0.100|0.35||4/2021|
2021|54|02100810000NB|10.200|10.300|Rutting|0.100|0.40||4/2021|
2021|54|02100810000NB|10.300|10.400|Rutting|0.100|0.33||4/2021|
2021|54|02100810000NB|10.400|10.500|Rutting|0.100|0.38||4/2021|
2021|54|02100810000NB|10.500|10.600|Rutting|0.100|0.34||4/2021|
2021|54|02100810000NB|10.600|10.700|Rutting|0.100|0.33||4/2021|
2021|54|02100810000NB|10.700|10.800|Rutting|0.100|0.33||4/2021|
2021|54|02100810000NB|10.800|10.900|Rutting|0.100|0.33||4/2021|
2021|54|02100810000NB|10.900|11.000|Rutting|0.100|0.26||4/2021|
2021|54|02100810000NB|11.000|11.100|Rutting|0.100|0.32||4/2021|
2021|54|02100810000NB|11.100|11.200|Rutting|0.100|0.30||4/2021|
2021|54|02100810000NB|11.200|11.300|Rutting|0.100|0.20||4/2021|
2021|54|02100810000NB|11.300|11.400|Rutting|0.100|0.09||4/2021|
2021|54|02100810000NB|11.400|11.500|Rutting|0.100|0.09||4/2021|
2021|54|02100810000NB|11.500|11.600|Rutting|0.100|0.12||4/2021|
2021|54|02100810000NB|11.600|11.700|Rutting|0.100|0.07||4/2021|
2021|54|02100810000NB|11.700|11.800|Rutting|0.100|0.15||4/2021|
2021|54|02100810000NB|11.800|11.900|Rutting|0.100|0.15||4/2021|
2021|54|02100810000NB|11.900|12.000|Rutting|0.100|0.13||4/2021|
2021|54|02100810000NB|12.000|12.100|Rutting|0.100|0.09||4/2021|
2021|54|02100810000NB|12.100|12.200|Rutting|0.100|0.11||4/2021|
2021|54|02100810000NB|12.200|12.300|Rutting|0.100|0.14||4/2021|
2021|54|02100810000NB|12.300|12.400|Rutting|0.100|0.17||4/2021|
2021|54|02100810000NB|12.400|12.500|Rutting|0.100|0.19||4/2021|
2021|54|02100810000NB|12.500|12.600|Rutting|0.100|0.18||4/2021|
2021|54|02100810000NB|12.600|12.700|Rutting|0.100|0.18||4/2021|
2021|54|02100810000NB|12.700|12.800|Rutting|0.100|0.20||4/2021|
2021|54|02100810000NB|12.800|12.900|Rutting|0.100|0.11||4/2021|
2021|54|02100810000NB|12.900|13.000|Rutting|0.100|0.15||4/2021|
2021|54|02100810000NB|13.000|13.100|Rutting|0.100|0.16||4/2021|
2021|54|02100810000NB|13.100|13.200|Rutting|0.100|0.13||4/2021|
2021|54|02100810000NB|13.200|13.300|Rutting|0.100|0.08||4/2021|
2021|54|02100810000NB|13.300|13.400|Rutting|0.100|0.08||4/2021|
2021|54|02100810000NB|13.400|13.500|Rutting|0.100|0.07||4/2021|
2021|54|02100810000NB|13.500|13.600|Rutting|0.100|0.07||4/2021|
2021|54|02100810000NB|13.600|13.700|Rutting|0.100|0.09||4/2021|
2021|54|02100810000NB|13.700|13.800|Rutting|0.100|0.10||4/2021|
2021|54|02100810000NB|13.800|13.900|Rutting|0.100|0.11||4/2021|
2021|54|02100810000NB|13.900|14.000|Rutting|0.100|0.11||4/2021|
2021|54|02100810000NB|14.000|14.100|Rutting|0.100|0.11||4/2021|
2021|54|02100810000NB|14.100|14.200|Rutting|0.100|0.08||4/2021|
2021|54|02100810000NB|14.200|14.300|Rutting|0.100|0.06||4/2021|
2021|54|02100810000NB|14.300|14.400|Rutting|0.100|0.08||4/2021|
2021|54|02100810000NB|14.400|14.500|Rutting|0.100|0.11||4/2021|
2021|54|02100810000NB|14.500|14.600|Rutting|0.100|0.10||4/2021|
2021|54|02100810000NB|14.600|14.700|Rutting|0.100|0.08||4/2021|
2021|54|02100810000NB|14.700|14.800|Rutting|0.100|0.09||4/2021|
2021|54|02100810000NB|14.800|14.900|Rutting|0.100|0.09||4/2021|
2021|54|02100810000NB|14.900|15.000|Rutting|0.100|0.08||4/2021|
2021|54|02100810000NB|15.000|15.100|Rutting|0.100|0.10||4/2021|
2021|54|02100810000NB|15.100|15.200|Rutting|0.100|0.10||4/2021|
