YEAR_RECORD|STATE_CODE|ROUTE_ID|BEGIN_POINT|END_POINT|DATA_ITEM|SECTION_LENGTH|VALUE_NUMERIC|VALUE_TEXT|VALUE_DATE|COMMENTS
2021|54|01200330000EB|0.000|1.870|Curves_A|1.870|1.187|||
2021|54|01200330000EB|0.000|1.870|Curves_B|1.870|0.452|||
2021|54|01200330000EB|0.000|1.870|Curves_C|1.870|0.176|||
2021|54|01200330000EB|0.000|1.870|Curves_D|1.870|0.055|||
2021|54|01201190000NB|10.660|11.500|Curves_A|0.840|0.353|||
2021|54|01201190000NB|10.660|11.500|Curves_B|0.840|0.102|||
2021|54|01201190000NB|10.660|11.500|Curves_C|0.840|0.152|||
2021|54|01201190000NB|10.660|11.500|Curves_D|0.840|0.141|||
2021|54|01201190000NB|10.660|11.500|Curves_E|0.840|0.091|||
2021|54|01201190000NB|10.660|11.500|Curves_F|0.840|0.001|||
2021|54|01201190000NB|6.950|9.290|Curves_A|2.340|1.256|||
2021|54|01201190000NB|6.950|9.290|Curves_B|2.340|0.415|||
2021|54|01201190000NB|6.950|9.290|Curves_C|2.340|0.216|||
2021|54|01201190000NB|6.950|9.290|Curves_D|2.340|0.272|||
2021|54|01201190000NB|6.950|9.290|Curves_E|2.340|0.147|||
2021|54|01201190000NB|6.950|9.290|Curves_F|2.340|0.034|||
2021|54|0130020000000|0.000|2.150|Curves_A|2.150|1.574|||
2021|54|0130020000000|0.000|2.150|Curves_B|2.150|0.238|||
2021|54|0130020000000|0.000|2.150|Curves_C|2.150|0.219|||
2021|54|0130020000000|0.000|2.150|Curves_D|2.150|0.11|||
2021|54|0130020000000|0.000|2.150|Curves_E|2.150|0.009|||
2021|54|0130038000000|0.430|2.430|Curves_A|2.000|1.537|||
2021|54|0130038000000|0.430|2.430|Curves_B|2.000|0.29|||
2021|54|0130038000000|0.430|2.430|Curves_C|2.000|0.173|||
2021|54|0130038000000|5.530|6.310|Curves_A|0.780|0.608|||
2021|54|0130038000000|5.530|6.310|Curves_B|0.780|0.031|||
2021|54|0130038000000|5.530|6.310|Curves_C|0.780|0.06|||
2021|54|0130038000000|5.530|6.310|Curves_D|0.780|0.081|||
2021|54|0130076000000|1.750|6.620|Curves_A|4.870|3.644|||
2021|54|0130076000000|1.750|6.620|Curves_B|4.870|0.383|||
2021|54|0130076000000|1.750|6.620|Curves_C|4.870|0.376|||
2021|54|0130076000000|1.750|6.620|Curves_D|4.870|0.411|||
2021|54|0130076000000|1.750|6.620|Curves_E|4.870|0.032|||
2021|54|0130076000000|1.750|6.620|Curves_F|4.870|0.024|||
2021|54|0130092000000|8.640|10.730|Curves_A|2.090|1.961|||
2021|54|0130092000000|8.640|10.730|Curves_B|2.090|0.054|||
2021|54|0130092000000|8.640|10.730|Curves_C|2.090|0.04|||
2021|54|0130092000000|8.640|10.730|Curves_D|2.090|0.035|||
2021|54|0140006000000|0.110|3.130|Curves_A|3.020|2.182|||
2021|54|0140006000000|0.110|3.130|Curves_B|3.020|0.238|||
2021|54|0140006000000|0.110|3.130|Curves_C|3.020|0.28|||
2021|54|0140006000000|0.110|3.130|Curves_D|3.020|0.158|||
2021|54|0140006000000|0.110|3.130|Curves_E|3.020|0.129|||
2021|54|0140006000000|0.110|3.130|Curves_F|3.020|0.033|||
2021|54|0140010000000|7.410|8.630|Curves_A|1.220|0.237|||
2021|54|0140010000000|7.410|8.630|Curves_B|1.220|0.572|||
2021|54|0140010000000|7.410|8.630|Curves_C|1.220|0.2|||
2021|54|0140010000000|7.410|8.630|Curves_D|1.220|0.124|||
2021|54|0140010000000|7.410|8.630|Curves_E|1.220|0.08|||
2021|54|0140010000000|7.410|8.630|Curves_F|1.220|0.007|||
2021|54|0140011000000|3.050|3.780|Curves_A|0.730|0.35|||
2021|54|0140011000000|3.050|3.780|Curves_B|0.730|0.102|||
2021|54|0140011000000|3.050|3.780|Curves_C|0.730|0.077|||
2021|54|0140011000000|3.050|3.780|Curves_D|0.730|0.163|||
2021|54|0140011000000|3.050|3.780|Curves_E|0.730|0.038|||
2021|54|0140024000000|1.640|2.790|Curves_A|1.150|0.306|||
2021|54|0140024000000|1.640|2.790|Curves_B|1.150|0.12|||
2021|54|0140024000000|1.640|2.790|Curves_C|1.150|0.224|||
2021|54|0140024000000|1.640|2.790|Curves_D|1.150|0.257|||
2021|54|0140024000000|1.640|2.790|Curves_E|1.150|0.186|||
2021|54|0140024000000|1.640|2.790|Curves_F|1.150|0.057|||
2021|54|0140024000000|2.790|4.740|Curves_A|1.950|1.11|||
2021|54|0140024000000|2.790|4.740|Curves_B|1.950|0.377|||
2021|54|0140024000000|2.790|4.740|Curves_C|1.950|0.232|||
2021|54|0140024000000|2.790|4.740|Curves_D|1.950|0.081|||
2021|54|0140024000000|2.790|4.740|Curves_E|1.950|0.118|||
2021|54|0140024000000|2.790|4.740|Curves_F|1.950|0.032|||
2021|54|0140030000000|6.140|6.830|Curves_A|0.690|0.298|||
2021|54|0140030000000|6.140|6.830|Curves_B|0.690|0.103|||
2021|54|0140030000000|6.140|6.830|Curves_C|0.690|0.095|||
2021|54|0140030000000|6.140|6.830|Curves_D|0.690|0.136|||
2021|54|0140030000000|6.140|6.830|Curves_E|0.690|0.04|||
2021|54|0140030000000|6.140|6.830|Curves_F|0.690|0.018|||
2021|54|0140030070000|0.000|0.920|Curves_A|0.920|0.464|||
2021|54|0140030070000|0.000|0.920|Curves_B|0.920|0.05|||
2021|54|0140030070000|0.000|0.920|Curves_C|0.920|0.092|||
2021|54|0140030070000|0.000|0.920|Curves_D|0.920|0.105|||
2021|54|0140030070000|0.000|0.920|Curves_E|0.920|0.146|||
2021|54|0140030070000|0.000|0.920|Curves_F|0.920|0.063|||
2021|54|0140030070000|0.920|2.000|Curves_A|1.080|0.346|||
2021|54|0140030070000|0.920|2.000|Curves_B|1.080|0.345|||
2021|54|0140030070000|0.920|2.000|Curves_C|1.080|0.166|||
2021|54|0140030070000|0.920|2.000|Curves_D|1.080|0.172|||
2021|54|0140030070000|0.920|2.000|Curves_E|1.080|0.043|||
2021|54|0140030070000|0.920|2.000|Curves_F|1.080|0.008|||
2021|54|0140046010000|0.000|1.620|Curves_A|1.620|0.888|||
2021|54|0140046010000|0.000|1.620|Curves_B|1.620|0.361|||
2021|54|0140046010000|0.000|1.620|Curves_C|1.620|0.219|||
2021|54|0140046010000|0.000|1.620|Curves_D|1.620|0.048|||
2021|54|0140046010000|0.000|1.620|Curves_E|1.620|0.043|||
2021|54|0140046010000|0.000|1.620|Curves_F|1.620|0.061|||
2021|54|02100810000NB|0.000|1.390|Curves_A|1.390|0.651|||
2021|54|02100810000NB|0.000|1.390|Curves_B|1.390|0.639|||
2021|54|02100810000NB|0.000|1.390|Curves_C|1.390|0.08|||
2021|54|02100810000NB|0.000|1.390|Curves_D|1.390|0.02|||
2021|54|02100810000NB|1.390|6.270|Curves_A|4.880|4.829|||
2021|54|02100810000NB|1.390|6.270|Curves_B|4.880|0.019|||
2021|54|02100810000NB|1.390|6.270|Curves_C|4.880|0.014|||
2021|54|02100810000NB|1.390|6.270|Curves_D|4.880|0.007|||
2021|54|02100810000NB|1.390|6.270|Curves_E|4.880|0.01|||
2021|54|02100810000NB|1.390|6.270|Curves_F|4.880|0.001|||
2021|54|02100810000NB|11.630|13.540|Curves_A|1.910|1.897|||
2021|54|02100810000NB|11.630|13.540|Curves_B|1.910|0.002|||
2021|54|02100810000NB|11.630|13.540|Curves_C|1.910|0.01|||
2021|54|02100810000NB|11.630|13.540|Curves_E|1.910|0.001|||
2021|54|02100810000NB|13.540|14.260|Curves_A|0.720|0.682|||
2021|54|02100810000NB|13.540|14.260|Curves_B|0.720|0.031|||
2021|54|02100810000NB|13.540|14.260|Curves_C|0.720|0.007|||
2021|54|02100810000NB|14.260|15.220|Curves_A|0.960|0.96|||
2021|54|02100810000NB|15.220|15.620|Curves_A|0.400|0.4|||
2021|54|02100810000NB|15.620|15.950|Curves_A|0.330|0.324|||
2021|54|02100810000NB|15.620|15.950|Curves_B|0.330|0.006|||
2021|54|02100810000NB|15.950|16.230|Curves_A|0.280|0.276|||
2021|54|02100810000NB|15.950|16.230|Curves_B|0.280|0.004|||
2021|54|02100810000NB|16.230|17.300|Curves_A|1.070|1.07|||
2021|54|02100810000NB|17.300|18.130|Curves_A|0.830|0.806|||
2021|54|02100810000NB|17.300|18.130|Curves_B|0.830|0.016|||
2021|54|02100810000NB|17.300|18.130|Curves_C|0.830|0.001|||
2021|54|02100810000NB|17.300|18.130|Curves_D|0.830|0.007|||
2021|54|02100810000NB|18.130|20.370|Curves_A|2.240|2.108|||
2021|54|02100810000NB|18.130|20.370|Curves_B|2.240|0.094|||
2021|54|02100810000NB|18.130|20.370|Curves_C|2.240|0.038|||
