BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|ValueNumeric|ValueText|ValueDate|Comments
01/01/2023|54|02100810000NB|0.0|0.1|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|0.1|0.2|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|0.2|0.3|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|0.3|0.4|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|0.4|0.5|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|0.5|0.6|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|0.6|0.7|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|0.7|0.8|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|0.8|0.9|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|0.9|1.0|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|1.0|1.1|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|1.1|1.2|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|1.2|1.3|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|1.3|1.4|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|1.4|1.5|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|1.5|1.6|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|1.6|1.7|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|1.7|1.8|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|1.8|1.9|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|1.9|2.0|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|2.0|2.1|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|2.1|2.2|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|2.2|2.3|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|2.3|2.4|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|2.4|2.5|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|2.5|2.6|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|2.6|2.7|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|2.7|2.8|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|2.8|2.9|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|2.9|3.0|SURFACE_TYPE|6||06/24/2023|
01/01/2023|54|02100810000NB|3.0|3.1|SURFACE_TYPE|6||06/24/2023|
