ValidationResultId,SessionId,ValidationRule,ValidationDescription,RouteId,BeginPoint,EndPoint,DataItemsImpacted,LastModifiedBy,LastModifiedOn,SpatialJoinRecordId,geometry
601334804,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,30200520007WB,0.0,0.1,Road Events,MJORDAN13,2023-06-14T17:10:39,88145,POINT (-82.27909108300003 37.67708238900002)
601334805,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2430083000000,9.4596,9.5,Road Events,MJORDAN13,2023-06-14T17:10:39,168260,POINT (-81.78035201500001 37.344341052)
601334806,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2430083000000,9.4426,9.4596,Road Events,MJORDAN13,2023-06-14T17:10:41,224869,POINT (-81.78081764699999 37.34415828700003)
601334807,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2430083000000,9.4,9.423,Road Events,MJORDAN13,2023-06-14T17:10:41,224933,POINT (-81.78146920799998 37.34390077500001)
601334808,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2430083000000,9.423,9.437,Road Events,MJORDAN13,2023-06-14T17:10:41,257249,POINT (-81.78116605899999 37.34402316900002)
601334809,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2430083000000,9.437,9.4426,Road Events,MJORDAN13,2023-06-14T17:10:41,272368,POINT (-81.78100405700002 37.34408625999998)
601334810,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2430083000000,14.9,14.9514,Road Events,MJORDAN13,2023-06-14T17:10:39,168511,POINT (-81.71516203800002 37.33846246399997)
601334811,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2430083000000,14.96,14.99,Road Events,MJORDAN13,2023-06-14T17:10:41,224984,POINT (-81.71548613099998 37.33782233300002)
601334812,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2430083000000,14.99,15.0,Road Events,MJORDAN13,2023-06-14T17:10:41,257334,POINT (-81.71573133300001 37.33759053599999)
601334813,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2430083000000,14.9514,14.96,Road Events,MJORDAN13,2023-06-14T17:10:41,272397,POINT (-81.715349086 37.33808377700001)
601334814,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,2430016000000,16.06,16.078,Road Events,MJORDAN13,2023-06-14T17:10:47,225069,POINT (-81.69006670900001 37.32216228200002)
601334815,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,2430016000000,16.078,16.1,Road Events,MJORDAN13,2023-06-14T17:10:48,257328,POINT (-81.68996569900003 37.32245510000001)
601334816,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,2430016000000,16.06,16.078,Road Events,MJORDAN13,2023-06-14T17:10:54,225069,POINT (-81.69006670900001 37.32216228200002)
601334817,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,2430016000000,16.078,16.1,Road Events,MJORDAN13,2023-06-14T17:10:54,257328,POINT (-81.68996569900003 37.32245510000001)
601334818,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2430016000000,19.3,19.4,Road Events,MJORDAN13,2023-06-14T17:10:39,168494,POINT (-81.65933128199998 37.357870746)
601334819,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2430016000000,20.1,20.2,Road Events,MJORDAN13,2023-06-14T17:10:39,89192,POINT (-81.648859195 37.36017036499999)
601334820,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2430016000000,20.5,20.6,Road Events,MJORDAN13,2023-06-14T17:10:39,89196,POINT (-81.64534140699999 37.36207706099998)
601334821,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2430016000000,20.6,20.7,Road Events,MJORDAN13,2023-06-14T17:10:39,89197,POINT (-81.64399848599999 37.361599571)
601334822,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,2430016000100,0.0,0.06,Road Events,MJORDAN13,2023-06-14T17:10:44,88888,POINT (-81.58412241399998 37.431771282)
601334823,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,24200520002WB,0.0051,0.0181,Road Events,MJORDAN13,2023-06-14T17:10:48,257260,POINT (-81.57084680700001 37.43113585499998)
601334824,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,24200520002WB,0.0,0.0051,Road Events,MJORDAN13,2023-06-14T17:10:48,272391,POINT (-81.570875016 37.43126529599999)
601334825,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-30,Cracking_Percent event segments must align with with the Begin and End points for IRI segments.,24200520002WB,0.0181,0.021,Road Events,MJORDAN13,2023-06-14T17:10:48,281417,POINT (-81.57084656799998 37.43101946799999)
601334826,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,2430016000100,0.0,0.06,Road Events,MJORDAN13,2023-06-14T17:10:51,88888,POINT (-81.58412241399998 37.431771282)
601334827,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,24200520002WB,0.0051,0.0181,Road Events,MJORDAN13,2023-06-14T17:10:54,257260,POINT (-81.57084680700001 37.43113585499998)
601334828,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,24200520002WB,0.0,0.0051,Road Events,MJORDAN13,2023-06-14T17:10:55,272391,POINT (-81.570875016 37.43126529599999)
601334829,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-31,Rutting event segments must align with with the Begin and End points for IRI segments.,24200520002WB,0.0181,0.021,Road Events,MJORDAN13,2023-06-14T17:10:55,281417,POINT (-81.57084656799998 37.43101946799999)
601334830,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2330010000000,22.0,22.05,Road Events,MJORDAN13,2023-06-14T17:10:39,170330,POINT (-81.99867535200002 37.84662882399999)
601334831,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2330080000000,5.61,5.66,Road Events,MJORDAN13,2023-06-14T17:10:39,170615,POINT (-81.87334256100002 37.72998065899998)
601334832,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2330080000000,5.662,5.686,Road Events,MJORDAN13,2023-06-14T17:10:41,226609,POINT (-81.87272342900002 37.73011841099998)
601334833,bc7d611f-1c62-4a17-9e9d-924e02866fe0,SJ-PM2-19,IRI values < 30 and > 400 should be reviewed and where valid; explanation provided in submission comments. ,2330080000000,5.6,5.61,Road Events,MJORDAN13,2023-06-14T17:10:41,258099,POINT (-81.87380959500001 37.73008491100001)
