RouteID,BMP,EMP,A,B,C,D,E,F,SampleID
2840025000000,0.0,0.57,0.0,0.0,0.172,0.087,0.311,0.0,280250000000
2840025000000,0.57,1.53,0.0,0.706,0.087,0.162,0.005,0.0,280250000057
2840025000000,4.24,4.96,0.135,0.585,0.0,0.0,0.0,0.0,280250004240
5140003000000,8.08,10.38,0.356,0.67,0.379,0.394,0.101,0.4,510030000801
3174810001900,0.0,0.76,0.023,0.389,0.043,0.207,0.028,0.07,310481000000
13202190000NB,2.57,4.79,0.03,0.753,0.663,0.372,0.402,0.0,132190000257
13202190000NB,5.364,5.37,0.006,0.0,0.0,0.0,0.0,0.0,132190005364
13202190000NB,5.37,5.69,0.0,0.0,0.0,0.181,0.139,0.0,132190000537
13202190000NB,5.69,6.03,0.073,0.051,0.201,0.0,0.015,0.0,132190000569
13202190000NB,6.03,6.04,0.0,0.0,0.01,0.0,0.0,0.0,132190000603
13202190000NB,6.04,6.39,0.005,0.159,0.053,0.084,0.049,0.0,132190000604
13202190000NB,6.39,6.69,0.109,0.024,0.074,0.093,0.0,0.0,132190000639
13202190000NB,6.69,7.11,0.0,0.25,0.072,0.0,0.098,0.0,132190000669
13202190000NB,7.19,7.43,0.0,0.0,0.086,0.154,0.0,0.0,132190007190
13202190000NB,7.43,8.59,0.0,0.229,0.034,0.144,0.256,0.497,132190000743
13202190000NB,8.59,9.06,0.093,0.28,0.097,0.0,0.0,0.0,132190000859
13202190000NB,9.06,9.9,0.574,0.266,0.0,0.0,0.0,0.0,132190000906
13202190000NB,10.01,10.85,0.029,0.466,0.183,0.162,0.0,0.0,132190001001
13202190000NB,10.85,11.06,0.0,0.0,0.0,0.124,0.086,0.0,132190001085
13202190000NB,11.06,11.26,0.047,0.116,0.0,0.037,0.0,0.0,132190001106
13202190000NB,13.99,14.154,0.044,0.06,0.06,0.0,0.0,0.0,132190013990
13202190000NB,14.154,14.34,0.051,0.135,0.0,0.0,0.0,0.0,132190001416
13202190000NB,14.34,14.45,0.0,0.11,0.0,0.0,0.0,0.0,132190001434
13202190000NB,15.74,16.37,0.037,0.385,0.043,0.165,0.0,0.0,132190001574
13202190000NB,21.34,21.86,0.028,0.48,0.012,0.0,0.0,0.0,132190002134
13202190000NB,25.9,26.76,0.085,0.213,0.493,0.069,0.0,0.0,132190002590
13202190000NB,26.76,26.97,0.0,0.032,0.109,0.069,0.0,0.0,132190002676
13202190000NB,26.97,27.33,0.0,0.114,0.246,0.0,0.0,0.0,132190002697
13202190000NB,27.33,29.72,0.022,0.179,0.412,0.684,1.093,0.0,132190002733
13202190000NB,29.72,31.56,0.061,0.527,0.3,0.693,0.259,0.0,132190002972
13202190000NB,31.56,34.22,0.067,0.116,0.476,1.861,0.14,0.0,132190003156
0240036010000,1.6,1.98,0.059,0.068,0.12,0.075,0.028,0.03,020360100160
2540064020000,0.0,0.24,0.0,0.098,0.14,0.002,0.0,0.0,250640200000
0540014000000,2.43,3.45,0.041,0.595,0.2,0.097,0.087,0.0,050140000243
1930115000000,0.0,0.22,0.0,0.22,0.0,0.0,0.0,0.0,191150000000
1930115000000,0.64,1.15,0.0,0.0,0.0,0.276,0.234,0.0,191150000064
25202500000NB,2.87,3.0,0.0,0.0,0.021,0.106,0.003,0.0,252500000287
25202500000NB,3.785,4.16,0.037,0.075,0.0,0.05,0.213,0.0,252500003420
3140060020000,0.0,0.26,0.0,0.0,0.005,0.0,0.0,0.255,310600200000
