Year_Record|State_Code|Route_ID|Begin_Point|End_Point|Data_Item|Section_Length|Value_Numeric|Value_Text|Value_Date|Comments
01/01/2023|54|5275502001900|0.11|0.3|Samples|0.19|520550200110|||
01/01/2023|54|2840021010000|0.0|0.89|Samples|0.89|280210100000|||
01/01/2023|54|2940046040000|4.532|4.93|Samples|0.398|290460404532|||
01/01/2023|54|2630086000000|0.2|0.51|Samples|0.31|260860000020|||
01/01/2023|54|2730062000000|19.72|20.33|Samples|0.61|270620001972|||
01/01/2023|54|2730062000000|20.33|20.53|Samples|0.2|270620002033|||
01/01/2023|54|2730062000000|20.55|21.94|Samples|1.39|270620002055|||
01/01/2023|54|2572520001900|1.04|1.81|Samples|0.77|250252000104|||
01/01/2023|54|2572520001900|1.88|2.0|Samples|0.12|250252000188|||
01/01/2023|54|4130307000000|4.55|5.59|Samples|1.04|413070000455|||
01/01/2023|54|4130307000000|7.42|8.45|Samples|1.03|413070000742|||
01/01/2023|54|1930051000000|8.13|8.66|Samples|0.53|190510000813|||
01/01/2023|54|1930051000000|8.66|8.78|Samples|0.12|190510008660|||
01/01/2023|54|36200330000EB|5.49|5.92|Samples|0.43|360330000549|||
01/01/2023|54|36200330000EB|33.184|33.783|Samples|0.599|360330003321|||
01/01/2023|54|1740050760000|0.0|0.31|Samples|0.31|170507600000|||
01/01/2023|54|1740050760000|0.31|1.34|Samples|1.03|170507600031|||
01/01/2023|54|4840007020000|0.0|1.01|Samples|1.01|480070200000|||
01/01/2023|54|1540011030000|0.06|0.352|Samples|0.292|150110300060|||
01/01/2023|54|3174770001900|0.0|0.4|Samples|0.4|310477000000|||
01/01/2023|54|3174770001900|0.4|0.44|Samples|0.04|317700000040|||
01/01/2023|54|0640031000000|0.16|0.5|Samples|0.34|060310000016|||
01/01/2023|54|4170052001900|0.31|0.57|Samples|0.26|410005200031|||
01/01/2023|54|4170052001900|0.85|0.95|Samples|0.1|410005200085|||
01/01/2023|54|10200600000EB|0.34|1.01|Samples|0.67|100600000034|||
01/01/2023|54|06200520000EB|0.01|0.33|Samples|0.32|060520000001|||
01/01/2023|54|06200520000EB|0.33|0.45|Samples|0.12|060520000033|||
01/01/2023|54|06200520000EB|0.75|1.01|Samples|0.26|060520000075|||
01/01/2023|54|35100700000EB|0.08|0.49|Samples|0.41|350700000008|||
01/01/2023|54|35100700000EB|0.49|0.85|Samples|0.36|350700000049|||
01/01/2023|54|35100700000EB|0.85|1.23|Samples|0.38|350700000085|||
01/01/2023|54|35100700000EB|1.44|1.92|Samples|0.48|350700000144|||
01/01/2023|54|35100700000EB|1.92|2.19|Samples|0.27|350700000192|||
01/01/2023|54|35100700000EB|2.43|4.7|Samples|2.27|350700000243|||
01/01/2023|54|35100700000EB|4.7|5.37|Samples|0.67|350700000470|||
01/01/2023|54|35100700000EB|5.37|5.93|Samples|0.56|350700000537|||
01/01/2023|54|35100700000EB|5.93|6.9|Samples|0.97|350700000593|||
01/01/2023|54|35100700000EB|6.9|8.07|Samples|1.17|350700000690|||
01/01/2023|54|35100700000EB|8.07|10.75|Samples|2.68|350700000807|||
01/01/2023|54|35100700000EB|10.75|11.06|Samples|0.31|350700001075|||
01/01/2023|54|35100700000EB|11.06|11.761|Samples|0.701|350700001106|||
01/01/2023|54|35100700000EB|11.761|14.45|Samples|2.689|350070011761|||
01/01/2023|54|2040038000000|0.0|2.43|Samples|2.43|200380000000|||
01/01/2023|54|35202500009NB|0.0|0.68|Samples|0.68|35250NB00000|||
01/01/2023|54|2675256001900|0.42|0.59|Samples|0.17|260525600042|||
