BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|ValueNumeric|ValueText|ValueDate|Comments
01/01/2023|54|20100770000NB|95.34|95.87|SAMPLES|200770009534|||
01/01/2023|54|20100770000NB|95.87|96.15|SAMPLES|200770009587|||
01/01/2023|54|20100770000NB|97.22|98.17|SAMPLES|200770009722|||
01/01/2023|54|20100770000NB|98.28|99.12|SAMPLES|200770009828|||
01/01/2023|54|20100770000NB|99.12|100.07|SAMPLES|200770009912|||
01/01/2023|54|20100770000NB|100.07|100.28|SAMPLES|200770010007|||
01/01/2023|54|20100770000NB|100.28|100.78|SAMPLES|200770010028|||
01/01/2023|54|20100770000NB|100.78|101.08|SAMPLES|200770010078|||
01/01/2023|54|20100770000NB|101.65|102.16|SAMPLES|200770010165|||
01/01/2023|54|20100770000NB|102.16|102.66|SAMPLES|200770010216|||
01/01/2023|54|20100770000NB|102.66|103.69|SAMPLES|200770010266|||
01/01/2023|54|20100770000NB|103.69|104.81|SAMPLES|200770010369|||
01/01/2023|54|20100770000NB|104.81|105.002|SAMPLES|200770010481|||
01/01/2023|54|20100770000NB|106.17|107.6|SAMPLES|200770010617|||
01/01/2023|54|20100770000NB|107.6|110.13|SAMPLES|200770010760|||
01/01/2023|54|20100770000NB|110.13|110.78|SAMPLES|200770011013|||
01/01/2023|54|20100770000NB|110.78|111.16|SAMPLES|200770011078|||
01/01/2023|54|20100770000NB|111.16|112.52|SAMPLES|200770011116|||
01/01/2023|54|20100770000NB|112.52|113.47|SAMPLES|200770011252|||
01/01/2023|54|20100770000NB|113.47|114.59|SAMPLES|200770011347|||
01/01/2023|54|20100770000NB|114.59|116.05|SAMPLES|200770011459|||
01/01/2023|54|20100770000NB|116.05|116.66|SAMPLES|200770011605|||
01/01/2023|54|20100770000NB|116.66|117.5|SAMPLES|200770011666|||
01/01/2023|54|1030061000000|0.0|1.12|SAMPLES|100610000000|||
01/01/2023|54|1030061000000|8.74|9.33|SAMPLES|100610000874|||
01/01/2023|54|1030061000000|22.53|25.56|SAMPLES|100610002253|||
01/01/2023|54|1040018230000|0.0|0.44|SAMPLES|100182300000|||
01/01/2023|54|4840007020000|0.0|1.01|SAMPLES|480070200000|||
01/01/2023|54|0673313001900|0.0|0.17|SAMPLES|060331300000|||
01/01/2023|54|2830104000000|1.65|2.65|SAMPLES|281040000165|||
01/01/2023|54|10100770016NB|52.58|53.06|SAMPLES|100770005258|||
01/01/2023|54|10100770016NB|53.06|54.13|SAMPLES|100770005306|||
01/01/2023|54|10100770016NB|54.13|55.02|SAMPLES|100770005413|||
01/01/2023|54|10100770016NB|55.02|58.32|SAMPLES|100770005502|||
01/01/2023|54|10100770016NB|58.32|59.62|SAMPLES|100770005832|||
01/01/2023|54|10100770016NB|59.62|61.6|SAMPLES|100770005962|||
01/01/2023|54|10100770016NB|62.73|66.15|SAMPLES|100770006273|||
01/01/2023|54|10100770016NB|66.15|67.21|SAMPLES|100770006615|||
01/01/2023|54|2540073000000|2.45|3.55|SAMPLES|250730000245|||
01/01/2023|54|4940013000000|0.0|0.86|SAMPLES|490130000000|||
01/01/2023|54|2870517001900|0.19|0.38|SAMPLES|280051700190|||
01/01/2023|54|1540208000000|3.21|3.55|SAMPLES|152080000321|||
01/01/2023|54|2730002000000|1.39|3.15|SAMPLES|270020000139|||
01/01/2023|54|2730002000000|13.72|15.93|SAMPLES|270020001372|||
01/01/2023|54|2730002000000|15.93|18.05|SAMPLES|270020001593|||
01/01/2023|54|2730002000000|18.91|19.89|SAMPLES|270020001891|||
01/01/2023|54|2730002000000|20.07|20.36|SAMPLES|270020002007|||
01/01/2023|54|2730002000000|20.57|20.72|SAMPLES|270020002057|||
01/01/2023|54|2730002000000|20.72|20.88|SAMPLES|270020002072|||
01/01/2023|54|2730002000000|21.0|21.29|SAMPLES|270020002100|||
01/01/2023|54|2730002000000|21.29|22.2|SAMPLES|270020002129|||
01/01/2023|54|2730002000000|24.16|24.79|SAMPLES|270020002416|||
01/01/2023|54|2730002000000|29.27|35.98|SAMPLES|270002002927|||
01/01/2023|54|2240012000000|4.91|5.18|SAMPLES|220120000491|||
01/01/2023|54|0630002000000|0.1|0.21|SAMPLES|060020000010|||
01/01/2023|54|0630002000000|9.98|10.08|SAMPLES|060020000998|||
01/01/2023|54|0630002000000|14.38|17.99|SAMPLES|060020001438|||
01/01/2023|54|4530020000000|24.37|24.94|SAMPLES|450200002437|||
01/01/2023|54|4530020000000|24.94|25.32|SAMPLES|450200002494|||
01/01/2023|54|4530020000000|25.32|32.14|SAMPLES|450200002532|||
01/01/2023|54|1540507000000|0.43|0.92|SAMPLES|155070000043|||
01/01/2023|54|1540507000000|0.92|1.16|SAMPLES|155070000092|||
01/01/2023|54|1540507000000|1.51|3.33|SAMPLES|155070000151|||
01/01/2023|54|31100680004NB|0.0|0.84|SAMPLES|31068N000000|||
01/01/2023|54|1540011030000|0.06|0.352|SAMPLES|150110300060|||
01/01/2023|54|2040015000000|0.0|0.1|SAMPLES|200150000000|||
01/01/2023|54|2040025260000|0.0|0.31|SAMPLES|200252600000|||
01/01/2023|54|2040025260000|0.4|0.71|SAMPLES|200252600040|||
