RouteID,BMP,EMP,29_HPMS_SAMPLE_NO
"5275502001900",0.110000,0.300000,520550200110
"2840021010000",0.000000,0.890000,280210100000
"2940046040000",4.532000,4.930000,290460404532
"2630086000000",0.200000,0.510000,260860000020
"2730062000000",19.720000,20.330000,270620001972
"2730062000000",20.330000,20.530000,270620002033
"2730062000000",20.550000,21.940000,270620002055
"2572520001900",1.040000,1.810000,250252000104
"2572520001900",1.880000,2.000000,250252000188
"4130307000000",4.550000,5.590000,413070000455
"4130307000000",7.420000,8.450000,413070000742
"1930051000000",8.130000,8.660000,190510000813
"1930051000000",8.660000,8.780000,190510008660
"36200330000EB",5.490000,5.920000,360330000549
"36200330000EB",33.184000,33.783000,360330003321
"1740050760000",0.000000,0.310000,170507600000
"1740050760000",0.310000,1.340000,170507600031
"4840007020000",0.000000,1.010000,480070200000
"1540011030000",0.060000,0.352000,150110300060
"3174770001900",0.000000,0.400000,310477000000
"3174770001900",0.400000,0.440000,317700000040
"0640031000000",0.160000,0.500000,060310000016
"4170052001900",0.310000,0.570000,410005200031
"4170052001900",0.850000,0.950000,410005200085
"10200600000EB",0.340000,1.010000,100600000034
"06200520000EB",0.010000,0.330000,060520000001
"06200520000EB",0.330000,0.450000,060520000033
"06200520000EB",0.750000,1.010000,060520000075
"35100700000EB",0.080000,0.490000,350700000008
"35100700000EB",0.490000,0.850000,350700000049
"35100700000EB",0.850000,1.230000,350700000085
"35100700000EB",1.440000,1.920000,350700000144
"35100700000EB",1.920000,2.190000,350700000192
"35100700000EB",2.430000,4.700000,350700000243
"35100700000EB",4.700000,5.370000,350700000470
"35100700000EB",5.370000,5.930000,350700000537
"35100700000EB",5.930000,6.900000,350700000593
"35100700000EB",6.900000,8.070000,350700000690
"35100700000EB",8.070000,10.750000,350700000807
"35100700000EB",10.750000,11.060000,350700001075
"35100700000EB",11.060000,11.761000,350700001106
"35100700000EB",11.761000,14.450000,350070011761
"2040038000000",0.000000,2.430000,200380000000
"35202500009NB",0.000000,0.680000,35250NB00000
"2675256001900",0.420000,0.590000,260525600042
"5440004100000",0.000000,0.400000,540041000000
"20100770000NB",95.340000,95.870000,200770009534
"20100770000NB",95.870000,96.150000,200770009587
"20100770000NB",97.220000,98.170000,200770009722
"20100770000NB",98.280000,99.120000,200770009828
"20100770000NB",99.120000,100.070000,200770009912
"20100770000NB",100.070000,100.280000,200770010007
"20100770000NB",100.280000,100.780000,200770010028
"20100770000NB",100.780000,101.080000,200770010078
"20100770000NB",101.650000,102.160000,200770010165
"20100770000NB",102.160000,102.660000,200770010216
"20100770000NB",102.660000,103.690000,200770010266
"20100770000NB",103.690000,104.810000,200770010369
"20100770000NB",104.810000,105.002000,200770010481
"20100770000NB",106.170000,107.600000,200770010617
"20100770000NB",107.600000,110.130000,200770010760
"20100770000NB",110.130000,110.780000,200770011013
"20100770000NB",110.780000,111.160000,200770011078
"20100770000NB",111.160000,112.520000,200770011116
"20100770000NB",112.520000,113.470000,200770011252
"20100770000NB",113.470000,114.590000,200770011347
"20100770000NB",114.590000,116.050000,200770011459
"20100770000NB",116.050000,116.660000,200770011605
"20100770000NB",116.660000,117.500000,200770011666
"2040060280000",0.000000,0.550000,200602800000
"2330010000000",10.580000,10.760000,230001001058
"2330010000000",12.790000,12.950000,230100001279
"2330010000000",26.308000,27.710000,230100002714
"01200330000EB",0.000000,1.870000,010330000000
"3540018030000",0.000000,0.610000,350180300000
"3540018030000",0.610000,1.150000,350180300061
"3540018030000",1.750000,2.030000,350180300175
"3930072000000",18.420000,20.440000,390720001842
"43200500000EB",0.000000,2.860000,430500000000
"43200500000EB",8.020000,9.990000,430500000802
"43200500000EB",10.830000,11.790000,430500001083
"43200500000EB",12.540000,12.850000,430500001254
"43200500000EB",13.570000,14.780000,430500001357
"5430068000000",0.000000,0.350000,54300680000
"5430068000000",17.190000,18.290000,540680001719
"5140003000000",8.080000,10.380000,510030000801
"2030025000000",2.460000,2.680000,200250000246
"2030025000000",3.890000,5.110000,200250000389
"2030025000000",9.420000,10.420000,200250000942
"1771759001900",0.000000,0.190000,170175900000
"1577264001900",0.000000,0.350000,150726400000
"11100790000NB",83.150000,83.550000,110790008315
"2830020000000",4.230000,5.200000,280200000423
"2830020000000",10.320000,11.400000,280200001032
"2830020000000",12.050000,12.780000,280200001205
"2071308001900",0.770000,1.620000,200130800077
"4630310000000",0.000000,0.200000,463100000000
"4240009000000",0.000000,0.180000,420090000000
"4240009000000",0.180000,0.320000,420090000020
"1530002000000",0.000000,0.100000,150020000000
"1530002000000",0.100000,0.280000,150020000010
"1530002000000",0.280000,0.560000,150020000028
"1530002000000",1.490000,2.300000,150020000149
"1530002000000",2.300000,2.660000,150020000230
"1530002000000",2.660000,3.030000,150020000266
"1530002000000",3.910000,4.680000,150020000391
"1530002000000",4.690000,6.690000,150020000469
"1530002000000",10.330000,10.560000,150020001033
"1530002000000",10.800000,11.140000,150020001080
"1530002000000",11.140000,11.450000,150020001114
"1530002000000",12.890000,13.840000,150020001289
"1530002000000",16.520000,17.440000,150020001652
"1530002000000",17.550000,18.120000,150020001755
"1530002000000",19.710000,20.250000,150020001971
"1740024270000",0.000000,0.410000,170242700000
"4272254001900",0.000000,0.300000,420225400000
"15200220000EB",0.000000,0.390000,150220000000
"42202190000NB",0.000000,3.240000,422190000000
