ValueDate,RouteID,BeginPoint,EndPoint,IRI,SURFACE_TYPE,RUTTING,FAULTING,CRACKING_PERCENT
2025,01200330000EB,0.0,0.1,108.9,ASP,0.16,0.0,4.3
2025,01200330000EB,0.1,0.2,75.3,JCP,0.12,0.0,0.0
2025,01200330000EB,0.2,0.3,80.6,ASP,0.14,0.0,0.0
2025,01200330000EB,0.3,0.4,99.8,ASP,0.14,0.0,0.0
2025,01200330000EB,0.4,0.5,84.7,ASP,0.16,0.0,0.0
2025,01200330000EB,0.5,0.6,103.7,ASP,0.16,0.0,0.0
2025,01200330000EB,0.6,0.7,103.1,ASP,0.11,0.0,0.0
2025,01200330000EB,0.7,0.8,110.0,ASP,0.13,0.0,0.0
2025,01200330000EB,0.8,0.9,97.2,ASP,0.11,0.0,0.0
2025,01200330000EB,0.9,1.0,67.7,JCP,0.11,0.0,0.0
2025,01200330000EB,1.0,1.1,60.1,JCP,0.12,0.0,0.0
2025,01200330000EB,1.1,1.2,64.8,JCP,0.11,0.0,0.0
2025,01200330000EB,1.2,1.3,72.8,JCP,0.12,0.0,0.0
2025,01200330000EB,1.3,1.4,75.3,JCP,0.11,0.0,0.0
2025,01200330000EB,1.4,1.5,80.5,JCP,0.14,0.017,0.0
2025,01200330000EB,1.5,1.6,60.3,JCP,0.14,0.016,0.0
2025,01200330000EB,1.6,1.7,41.5,JCP,0.16,0.0,0.0
2025,01200330000EB,1.7,1.8,65.4,JCP,0.12,0.0,0.0
2025,01200330000EB,1.8,1.9,116.3,JCP,0.13,0.0,0.0
2025,01200330000EB,1.9,2.0,71.4,JCP,0.12,0.0,0.0
2025,01200330000EB,2.0,2.1,47.2,JCP,0.12,0.006,0.0
2025,01200330000EB,2.1,2.2,48.4,JCP,0.11,0.0,0.0
2025,01200330000EB,2.2,2.3,72.3,JCP,0.12,0.0,0.0
2025,01200330000EB,2.3,2.4,50.0,JCP,0.12,0.0,0.0
2025,01200330000EB,2.4,2.5,43.6,JCP,0.12,0.0,0.0
2025,01200330000EB,2.5,2.6,46.9,JCP,0.13,0.0,0.0
2025,01200330000EB,2.6,2.7,50.1,JCP,0.16,0.0,0.0
2025,01200330000EB,2.7,2.8,57.7,JCP,0.16,0.0,0.0
2025,01200330000EB,2.8,2.9,60.7,JCP,0.12,0.0,0.0
2025,01200330000EB,2.9,3.0,56.4,JCP,0.13,0.0,0.0
2025,01200330000EB,3.0,3.1,46.8,JCP,0.14,0.0,0.0
2025,01200330000EB,3.1,3.2,42.5,JCP,0.12,0.0,0.0
2025,01200330000EB,3.2,3.3,35.1,JCP,0.14,0.0,0.0
2025,01200330000EB,3.3,3.4,49.9,JCP,0.14,0.0,0.0
2025,01200330000EB,3.4,3.5,52.8,JCP,0.12,0.0,0.0
2025,01200330000EB,3.5,3.6,68.1,JCP,0.12,0.0,0.0
2025,01200330000EB,3.6,3.7,68.8,JCP,0.13,0.0,0.0
2025,01200330000EB,3.7,3.8,66.7,JCP,0.13,0.0,0.0
2025,01200330000EB,3.8,3.9,51.3,JCP,0.13,0.0,0.0
2025,01200330000EB,3.9,4.0,54.7,JCP,0.08,0.0,2.3
2025,01200330000EB,4.0,4.1,40.1,JCP,0.08,0.0,0.0
2025,01200330000EB,4.1,4.2,62.1,JCP,0.08,0.0,0.0
2025,01200330000EB,4.2,4.3,147.7,ASP,0.13,0.0,2.7
2025,01200330000EB,4.3,4.4,108.5,CRC,0.09,0.0,0.0
2025,01200330000EB,4.4,4.43,121.8,CRC,0.1,0.0,0.0
2025,01200330000WB,4.4,4.43,151.5,CRC,0.09,0.0,0.0
2025,01200330000WB,4.3,4.4,94.8,CRC,0.1,0.0,0.0
2025,01200330000WB,4.2,4.3,169.6,CRC,0.13,0.0,0.0
2025,01200330000WB,4.1,4.2,84.7,ASP,0.1,0.0,8.5
2025,01200330000WB,4.0,4.1,52.4,JCP,0.11,0.0,0.0
2025,01200330000WB,3.9,4.0,55.5,JCP,0.13,0.0,0.0
2025,01200330000WB,3.8,3.9,48.9,JCP,0.08,0.0,0.0
2025,01200330000WB,3.7,3.8,55.9,JCP,0.07,0.0,0.0
2025,01200330000WB,3.6,3.7,55.9,JCP,0.08,0.0,0.0
2025,01200330000WB,3.5,3.6,49.0,JCP,0.09,0.0,0.0
2025,01200330000WB,3.4,3.5,74.1,JCP,0.09,0.0,0.0
2025,01200330000WB,3.3,3.4,79.4,JCP,0.13,0.0,0.0
2025,01200330000WB,3.2,3.3,81.4,JCP,0.12,0.0,0.0
2025,01200330000WB,3.1,3.2,66.3,JCP,0.1,0.0,0.0
2025,01200330000WB,3.0,3.1,63.3,JCP,0.1,0.0,0.0
2025,01200330000WB,2.9,3.0,48.5,JCP,0.08,0.0,0.0
2025,01200330000WB,2.8,2.9,49.1,JCP,0.07,0.0,0.0
2025,01200330000WB,2.7,2.8,58.7,JCP,0.08,0.0,0.0
2025,01200330000WB,2.6,2.7,86.1,JCP,0.07,0.0,0.0
2025,01200330000WB,2.5,2.6,65.2,JCP,0.08,0.0,0.0
2025,01200330000WB,2.4,2.5,35.9,JCP,0.08,0.0,0.0
2025,01200330000WB,2.3,2.4,43.0,JCP,0.07,0.0,0.0
2025,01200330000WB,2.2,2.3,85.7,JCP,0.08,0.027,0.0
2025,01200330000WB,2.1,2.2,60.7,JCP,0.09,0.0,0.0
2025,01200330000WB,2.0,2.1,62.9,JCP,0.1,0.004,0.0
2025,01200330000WB,1.9,2.0,50.0,JCP,0.06,0.0,0.0
2025,01200330000WB,1.8,1.9,64.3,JCP,0.06,0.0,0.0
2025,01200330000WB,1.7,1.8,91.1,JCP,0.12,0.004,0.0
2025,01200330000WB,1.6,1.7,43.1,JCP,0.09,0.0,0.0
2025,01200330000WB,1.5,1.6,36.6,JCP,0.1,0.0,0.0
2025,01200330000WB,1.4,1.5,37.9,JCP,0.12,0.0,0.0
2025,01200330000WB,1.3,1.4,37.9,JCP,0.11,0.0,0.0
2025,01200330000WB,1.2,1.3,48.4,JCP,0.1,0.011,0.0
2025,01200330000WB,1.1,1.2,45.0,JCP,0.1,0.0,0.0
2025,01200330000WB,1.0,1.1,46.7,JCP,0.1,0.0,0.0
2025,01200330000WB,0.9,1.0,45.8,JCP,0.08,0.004,0.0
2025,01200330000WB,0.8,0.9,65.4,ASP,0.08,0.0,0.0
2025,01200330000WB,0.7,0.8,94.0,ASP,0.1,0.0,0.0
2025,01200330000WB,0.6,0.7,82.4,ASP,0.11,0.0,0.9
2025,01200330000WB,0.5,0.6,69.4,ASP,0.13,0.0,0.0
2025,01200330000WB,0.4,0.5,70.0,ASP,0.12,0.0,0.0
2025,01200330000WB,0.3,0.4,73.9,ASP,0.13,0.0,0.0
2025,01200330000WB,0.2,0.3,86.2,ASP,0.13,0.0,0.0
2025,01200330000WB,0.1,0.2,61.8,JCP,0.13,0.0,0.0
2025,01200330000WB,0.0,0.1,145.3,JCP,0.14,0.0,0.0
2025,01201190000NB,0.0,0.1,89.0,ASP,0.07,0.0,0.0
2025,01201190000NB,0.1,0.2,98.0,ASP,0.06,0.0,0.8
2025,01201190000NB,0.2,0.3,91.6,ASP,0.09,0.0,1.4
2025,01201190000NB,0.3,0.4,81.1,ASP,0.08,0.0,0.0
2025,01201190000NB,0.4,0.5,100.9,ASP,0.09,0.0,0.6
2025,01201190000NB,0.5,0.6,122.6,ASP,0.09,0.0,0.0
2025,01201190000NB,0.6,0.7,70.0,ASP,0.11,0.0,0.0
2025,01201190000NB,0.7,0.8,73.8,ASP,0.1,0.0,0.0
2025,01201190000NB,0.8,0.9,72.4,ASP,0.1,0.0,0.0
2025,01201190000NB,0.9,1.0,72.3,ASP,0.11,0.0,0.0
2025,01201190000NB,1.0,1.1,88.3,ASP,0.1,0.0,0.0
2025,01201190000NB,1.1,1.2,72.6,ASP,0.11,0.0,0.0
2025,01201190000NB,1.2,1.3,57.8,ASP,0.1,0.0,0.0
2025,01201190000NB,1.3,1.4,76.0,ASP,0.11,0.0,0.0
2025,01201190000NB,1.4,1.5,94.9,ASP,0.08,0.0,0.0
2025,01201190000NB,1.5,1.6,98.4,ASP,0.1,0.0,0.0
2025,01201190000NB,1.6,1.7,81.6,ASP,0.1,0.0,0.0
2025,01201190000NB,1.7,1.8,92.9,ASP,0.12,0.0,0.0
2025,01201190000NB,1.8,1.9,195.0,ASP,0.13,0.0,0.0
2025,01201190000NB,1.9,2.0,96.0,ASP,0.09,0.0,0.0
2025,01201190000NB,2.0,2.1,79.6,ASP,0.09,0.0,0.0
2025,01201190000NB,2.1,2.2,83.2,ASP,0.09,0.0,0.0
2025,01201190000NB,2.2,2.3,80.4,ASP,0.09,0.0,0.0
2025,01201190000NB,2.3,2.4,110.0,ASP,0.1,0.0,0.0
2025,01201190000NB,2.4,2.5,70.2,ASP,0.08,0.0,0.0
2025,01201190000NB,2.5,2.6,70.4,ASP,0.09,0.0,0.0
2025,01201190000NB,2.6,2.7,86.6,ASP,0.09,0.0,0.0
2025,01201190000NB,2.7,2.8,65.8,ASP,0.11,0.0,0.0
2025,01201190000NB,2.8,2.9,74.0,ASP,0.12,0.0,0.0
2025,01201190000NB,2.9,3.0,99.2,ASP,0.1,0.0,0.0
2025,01201190000NB,3.0,3.1,132.4,ASP,0.09,0.0,0.0
2025,01201190000NB,3.1,3.2,98.7,ASP,0.1,0.0,0.0
2025,01201190000NB,3.2,3.3,140.7,ASP,0.11,0.0,0.0
2025,01201190000NB,3.3,3.4,147.9,ASP,0.11,0.0,0.0
2025,01201190000NB,3.4,3.5,83.7,ASP,0.12,0.0,0.0
2025,01201190000NB,3.5,3.6,118.6,ASP,0.08,0.0,0.0
2025,01201190000NB,3.6,3.7,71.4,ASP,0.08,0.0,0.0
2025,01201190000NB,3.7,3.8,123.6,ASP,0.08,0.0,0.0
2025,01201190000NB,3.8,3.9,105.2,ASP,0.09,0.0,0.0
2025,01201190000NB,3.9,4.0,111.9,ASP,0.09,0.0,0.0
2025,01201190000NB,4.0,4.1,80.0,ASP,0.14,0.0,0.0
2025,01201190000NB,4.1,4.2,140.7,ASP,0.15,0.0,0.0
2025,01201190000NB,4.2,4.3,153.3,ASP,0.14,0.0,0.0
2025,01201190000NB,4.3,4.4,104.2,ASP,0.15,0.0,0.0
2025,01201190000NB,4.4,4.5,106.8,ASP,0.14,0.0,0.0
2025,01201190000NB,4.5,4.6,87.2,ASP,0.15,0.0,0.0
2025,01201190000NB,4.6,4.7,83.5,ASP,0.15,0.0,0.0
2025,01201190000NB,4.7,4.8,91.5,ASP,0.11,0.0,0.0
2025,01201190000NB,4.8,4.9,90.5,ASP,0.1,0.0,0.0
2025,01201190000NB,4.9,5.0,86.7,ASP,0.09,0.0,0.0
2025,01201190000NB,5.0,5.1,119.7,ASP,0.1,0.0,0.0
2025,01201190000NB,5.1,5.2,113.5,ASP,0.13,0.0,0.0
2025,01201190000NB,5.2,5.3,94.3,ASP,0.13,0.0,0.0
2025,01201190000NB,5.3,5.4,92.3,ASP,0.12,0.0,0.2
2025,01201190000NB,5.4,5.5,80.5,ASP,0.12,0.0,0.0
2025,01201190000NB,5.5,5.6,125.3,ASP,0.14,0.0,0.0
2025,01201190000NB,5.6,5.7,87.5,ASP,0.15,0.0,0.0
2025,01201190000NB,5.7,5.8,154.0,ASP,0.1,0.0,0.0
2025,01201190000NB,5.8,5.9,115.4,ASP,0.11,0.0,0.0
2025,01201190000NB,5.9,6.0,96.9,ASP,0.11,0.0,0.0
2025,01201190000NB,6.0,6.1,86.7,ASP,0.11,0.0,0.0
2025,01201190000NB,6.1,6.2,94.4,ASP,0.1,0.0,0.0
2025,01201190000NB,6.2,6.3,90.4,ASP,0.08,0.0,0.0
2025,01201190000NB,6.3,6.4,92.1,ASP,0.12,0.0,0.0
2025,01201190000NB,6.4,6.5,100.2,ASP,0.1,0.0,0.0
2025,01201190000NB,6.5,6.6,92.0,ASP,0.11,0.0,0.0
2025,01201190000NB,6.6,6.7,87.2,ASP,0.15,0.0,2.5
2025,01201190000NB,6.7,6.8,78.3,ASP,0.17,0.0,0.0
2025,01201190000NB,6.8,6.9,87.6,ASP,0.15,0.0,1.3
2025,01201190000NB,6.9,7.0,96.7,ASP,0.13,0.0,0.0
2025,01201190000NB,7.0,7.1,89.9,ASP,0.13,0.0,0.0
2025,01201190000NB,7.1,7.2,91.9,ASP,0.12,0.0,0.0
2025,01201190000NB,7.2,7.3,117.2,ASP,0.12,0.0,1.2
2025,01201190000NB,7.3,7.4,82.0,ASP,0.12,0.0,0.1
2025,01201190000NB,7.4,7.5,92.3,ASP,0.11,0.0,0.1
2025,01201190000NB,7.5,7.6,95.2,ASP,0.08,0.0,0.0
2025,01201190000NB,7.6,7.7,77.8,ASP,0.09,0.0,0.5
2025,01201190000NB,7.7,7.8,130.0,ASP,0.1,0.0,0.1
2025,01201190000NB,7.8,7.9,76.7,ASP,0.1,0.0,0.0
2025,01201190000NB,7.9,8.0,83.6,ASP,0.11,0.0,0.0
2025,01201190000NB,8.0,8.1,98.0,ASP,0.1,0.0,1.3
2025,01201190000NB,8.1,8.2,99.4,ASP,0.11,0.0,0.4
2025,01201190000NB,8.2,8.3,87.3,ASP,0.13,0.0,0.7
