,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,4.43,Access_Control,4.43,2,,,
1,01/01/2022,54,01201190000NB,0.0,9.29,Access_Control,9.29,3,,,
2,01/01/2022,54,01201190000NB,9.29,11.61,Access_Control,2.32,3,,,
3,01/01/2022,54,01201190000NB,11.61,18.68,Access_Control,7.07,3,,,
4,01/01/2022,54,01202500000NB,0.0,5.3,Access_Control,5.3,3,,,
5,01/01/2022,54,01202500000NB,5.3,5.78,Access_Control,0.48,3,,,
6,01/01/2022,54,01202500000NB,5.78,17.15,Access_Control,11.37,3,,,
7,01/01/2022,54,01202500000NB,17.15,17.31,Access_Control,0.16,3,,,
8,01/01/2022,54,01202500002NB,0.0,0.033,Access_Control,0.033,1,,,
9,01/01/2022,54,01202500013NB,0.0,0.82,Access_Control,0.82,3,,,
10,01/01/2022,54,0130020000000,0.0,3.94,Access_Control,3.94,3,,,
11,01/01/2022,54,0130038000000,0.0,2.7,Access_Control,2.7,3,,,
12,01/01/2022,54,0130038000000,2.7,2.73,Access_Control,0.03,3,,,
13,01/01/2022,54,0130038000000,2.73,12.0,Access_Control,9.27,3,,,
14,01/01/2022,54,0130057000000,0.0,9.63,Access_Control,9.63,3,,,
15,01/01/2022,54,0130076000000,0.0,6.62,Access_Control,6.62,3,,,
16,01/01/2022,54,0130092000000,5.43,9.265,Access_Control,3.835,3,,,
17,01/01/2022,54,0130092000000,9.265,11.14,Access_Control,1.875,3,,,
18,01/01/2022,54,0130092000000,11.14,11.21,Access_Control,0.07,3,,,
19,01/01/2022,54,0130092000000,11.21,14.565,Access_Control,3.355,3,,,
20,01/01/2022,54,0130092000000,14.565,16.84,Access_Control,2.275,3,,,
21,01/01/2022,54,0130092000000,17.21,26.93,Access_Control,9.72,3,,,
22,01/01/2022,54,0130092000000,26.93,26.94,Access_Control,0.01,3,,,
23,01/01/2022,54,0140001000000,0.0,3.96,Access_Control,3.96,3,,,
24,01/01/2022,54,0140001010000,0.0,0.43,Access_Control,0.43,3,,,
25,01/01/2022,54,0140001010000,0.43,4.24,Access_Control,3.81,3,,,
26,01/01/2022,54,0140002000000,0.0,1.86,Access_Control,1.86,3,,,
27,01/01/2022,54,0140002000000,1.86,3.43,Access_Control,1.57,3,,,
28,01/01/2022,54,0140002020000,0.0,1.8,Access_Control,1.8,3,,,
29,01/01/2022,54,0140002020000,1.8,3.35,Access_Control,1.55,3,,,
30,01/01/2022,54,0140002030000,0.0,0.84,Access_Control,0.84,3,,,
31,01/01/2022,54,0140002040000,0.0,2.74,Access_Control,2.74,3,,,
32,01/01/2022,54,0140003000000,0.0,1.52,Access_Control,1.52,3,,,
33,01/01/2022,54,0140003000000,1.52,3.22,Access_Control,1.7,3,,,
34,01/01/2022,54,0140003010000,1.04,1.28,Access_Control,0.24,3,,,
35,01/01/2022,54,0140003010000,1.28,1.7,Access_Control,0.42,3,,,
36,01/01/2022,54,0140003020000,0.0,0.13,Access_Control,0.13,3,,,
37,01/01/2022,54,0140003020000,1.33,1.64,Access_Control,0.31,3,,,
38,01/01/2022,54,0140004000000,0.0,2.2,Access_Control,2.2,3,,,
39,01/01/2022,54,0140004010000,0.0,1.17,Access_Control,1.17,3,,,
40,01/01/2022,54,0140004020000,0.0,0.7,Access_Control,0.7,3,,,
41,01/01/2022,54,0140004030000,0.0,0.08,Access_Control,0.08,3,,,
42,01/01/2022,54,0140005000000,0.0,0.11,Access_Control,0.11,3,,,
43,01/01/2022,54,0140005000000,0.11,1.5,Access_Control,1.39,3,,,
44,01/01/2022,54,0140005000000,1.5,1.96,Access_Control,0.46,3,,,
45,01/01/2022,54,0140005000000,1.96,3.56,Access_Control,1.6,3,,,
46,01/01/2022,54,0140005010000,0.0,0.99,Access_Control,0.99,3,,,
47,01/01/2022,54,0140005020000,0.0,1.46,Access_Control,1.46,3,,,
48,01/01/2022,54,0140005030000,0.0,0.36,Access_Control,0.36,3,,,
49,01/01/2022,54,0140005030000,0.36,0.89,Access_Control,0.53,3,,,
50,01/01/2022,54,0140005040000,0.0,1.99,Access_Control,1.99,3,,,
51,01/01/2022,54,0140005060000,0.0,0.79,Access_Control,0.79,3,,,
52,01/01/2022,54,0140005070000,0.0,1.5,Access_Control,1.5,3,,,
53,01/01/2022,54,0140005080000,0.0,1.09,Access_Control,1.09,3,,,
54,01/01/2022,54,0140005080000,1.09,2.5,Access_Control,1.41,3,,,
55,01/01/2022,54,0140005090000,0.0,0.85,Access_Control,0.85,3,,,
56,01/01/2022,54,0140005100000,0.0,1.46,Access_Control,1.46,3,,,
57,01/01/2022,54,0140005110000,0.0,0.1,Access_Control,0.1,3,,,
58,01/01/2022,54,0140006000000,0.0,5.65,Access_Control,5.65,3,,,
59,01/01/2022,54,0140006000000,5.65,5.78,Access_Control,0.13,3,,,
60,01/01/2022,54,0140006000000,5.78,6.18,Access_Control,0.4,3,,,
61,01/01/2022,54,0140006000000,6.18,6.69,Access_Control,0.51,3,,,
62,01/01/2022,54,0140006030000,0.0,1.15,Access_Control,1.15,3,,,
63,01/01/2022,54,0140006050000,0.0,0.18,Access_Control,0.18,3,,,
64,01/01/2022,54,0140006050000,0.18,0.81,Access_Control,0.63,3,,,
65,01/01/2022,54,0140006060000,0.0,1.46,Access_Control,1.46,3,,,
66,01/01/2022,54,0140007000000,0.0,5.39,Access_Control,5.39,3,,,
67,01/01/2022,54,0140007000000,5.39,6.98,Access_Control,1.59,3,,,
68,01/01/2022,54,0140007000000,6.98,8.54,Access_Control,1.56,3,,,
69,01/01/2022,54,0140007000000,8.54,11.41,Access_Control,2.87,3,,,
70,01/01/2022,54,0140007020000,0.0,0.42,Access_Control,0.42,3,,,
71,01/01/2022,54,0140007020000,2.54,3.25,Access_Control,0.71,3,,,
72,01/01/2022,54,0140007020000,3.25,3.34,Access_Control,0.09,3,,,
73,01/01/2022,54,0140007040000,0.0,0.31,Access_Control,0.31,3,,,
74,01/01/2022,54,0140007040000,0.31,1.79,Access_Control,1.48,3,,,
75,01/01/2022,54,0140007050000,0.0,1.17,Access_Control,1.17,3,,,
76,01/01/2022,54,0140007060000,0.0,0.62,Access_Control,0.62,3,,,
77,01/01/2022,54,0140007060000,0.62,1.95,Access_Control,1.33,3,,,
78,01/01/2022,54,0140007060000,1.95,2.04,Access_Control,0.09,3,,,
79,01/01/2022,54,0140007070000,0.09,0.48,Access_Control,0.39,3,,,
80,01/01/2022,54,0140007070000,0.5,1.11,Access_Control,0.61,3,,,
81,01/01/2022,54,0140007090000,0.0,0.34,Access_Control,0.34,3,,,
82,01/01/2022,54,0140007100000,0.0,0.13,Access_Control,0.13,3,,,
83,01/01/2022,54,0140008000000,0.0,0.35,Access_Control,0.35,3,,,
84,01/01/2022,54,0140008000000,0.35,0.6,Access_Control,0.25,3,,,
85,01/01/2022,54,0140008000000,0.6,1.56,Access_Control,0.96,3,,,
86,01/01/2022,54,0140008000000,1.56,2.92,Access_Control,1.36,3,,,
87,01/01/2022,54,0140008000000,2.92,4.15,Access_Control,1.23,3,,,
88,01/01/2022,54,0140008000000,4.15,5.17,Access_Control,1.02,3,,,
89,01/01/2022,54,0140008010000,0.0,0.51,Access_Control,0.51,3,,,
90,01/01/2022,54,0140008010000,0.51,0.71,Access_Control,0.2,3,,,
91,01/01/2022,54,0140008020000,0.0,0.34,Access_Control,0.34,3,,,
92,01/01/2022,54,0140008030000,0.0,0.95,Access_Control,0.95,3,,,
93,01/01/2022,54,0140008040000,0.0,1.35,Access_Control,1.35,3,,,
94,01/01/2022,54,0140008040000,1.35,2.11,Access_Control,0.76,3,,,
95,01/01/2022,54,0140008040000,2.11,3.53,Access_Control,1.42,3,,,
96,01/01/2022,54,0140009000000,0.0,2.93,Access_Control,2.93,3,,,
97,01/01/2022,54,0140009000000,2.93,2.97,Access_Control,0.04,3,,,
98,01/01/2022,54,0140009000000,2.97,3.8,Access_Control,0.83,3,,,
99,01/01/2022,54,0140009000000,3.8,4.75,Access_Control,0.95,3,,,
100,01/01/2022,54,0140009000000,4.75,6.03,Access_Control,1.28,3,,,
101,01/01/2022,54,0140009000000,6.03,8.52,Access_Control,2.49,3,,,
102,01/01/2022,54,0140009000000,8.52,9.97,Access_Control,1.45,3,,,
103,01/01/2022,54,0140009000000,9.97,11.1,Access_Control,1.13,3,,,
104,01/01/2022,54,0140009010000,0.0,0.31,Access_Control,0.31,3,,,
105,01/01/2022,54,0140009020000,0.0,1.23,Access_Control,1.23,3,,,
106,01/01/2022,54,0140009030000,0.0,0.13,Access_Control,0.13,3,,,
107,01/01/2022,54,0140009030000,0.13,0.23,Access_Control,0.1,3,,,
108,01/01/2022,54,0140009050000,0.0,0.9,Access_Control,0.9,3,,,
109,01/01/2022,54,0140009070000,0.0,1.56,Access_Control,1.56,3,,,
110,01/01/2022,54,0140009080000,0.0,1.79,Access_Control,1.79,3,,,
111,01/01/2022,54,0140010000000,0.55,1.96,Access_Control,1.41,3,,,
112,01/01/2022,54,0140010000000,2.31,3.27,Access_Control,0.96,3,,,
113,01/01/2022,54,0140010000000,3.27,5.57,Access_Control,2.3,3,,,
114,01/01/2022,54,0140010000000,5.57,7.28,Access_Control,1.71,3,,,
115,01/01/2022,54,0140010000000,7.41,11.73,Access_Control,4.32,3,,,
116,01/01/2022,54,0140010010000,0.0,1.03,Access_Control,1.03,3,,,
117,01/01/2022,54,0140010010000,1.03,1.72,Access_Control,0.69,3,,,
118,01/01/2022,54,0140010010000,1.72,1.79,Access_Control,0.07,3,,,
119,01/01/2022,54,0140010030000,0.0,1.1,Access_Control,1.1,3,,,
120,01/01/2022,54,0140010030000,1.1,1.27,Access_Control,0.17,3,,,
121,01/01/2022,54,0140010040000,0.0,0.34,Access_Control,0.34,3,,,
122,01/01/2022,54,0140010040000,0.34,1.47,Access_Control,1.13,3,,,
123,01/01/2022,54,0140010050000,0.0,0.66,Access_Control,0.66,3,,,
124,01/01/2022,54,0140010060000,0.0,0.28,Access_Control,0.28,3,,,
125,01/01/2022,54,0140010070000,0.0,0.92,Access_Control,0.92,3,,,
126,01/01/2022,54,0140010080000,0.0,1.75,Access_Control,1.75,3,,,
127,01/01/2022,54,0140010090000,0.0,0.95,Access_Control,0.95,3,,,
128,01/01/2022,54,0140010100000,0.0,0.41,Access_Control,0.41,3,,,
129,01/01/2022,54,0140010120000,0.0,0.2,Access_Control,0.2,3,,,
130,01/01/2022,54,0140010130000,0.0,1.8,Access_Control,1.8,3,,,
131,01/01/2022,54,0140010130000,1.8,2.55,Access_Control,0.75,3,,,
132,01/01/2022,54,0140010140000,0.0,0.2,Access_Control,0.2,3,,,
133,01/01/2022,54,0140011000000,0.0,3.78,Access_Control,3.78,3,,,
134,01/01/2022,54,0140011000000,3.78,5.79,Access_Control,2.01,3,,,
135,01/01/2022,54,0140011000000,5.79,15.87,Access_Control,10.08,3,,,
136,01/01/2022,54,0140011020000,0.0,0.72,Access_Control,0.72,3,,,
137,01/01/2022,54,0140011020000,0.72,0.78,Access_Control,0.06,3,,,
138,01/01/2022,54,0140011030000,0.0,3.62,Access_Control,3.62,3,,,
139,01/01/2022,54,0140011040000,0.0,1.04,Access_Control,1.04,3,,,
140,01/01/2022,54,0140011050000,0.0,0.16,Access_Control,0.16,3,,,
141,01/01/2022,54,0140011050000,0.16,2.19,Access_Control,2.03,3,,,
142,01/01/2022,54,0140011050000,2.23,2.35,Access_Control,0.12,3,,,
143,01/01/2022,54,0140011060000,0.0,1.73,Access_Control,1.73,3,,,
144,01/01/2022,54,0140011080000,0.0,0.62,Access_Control,0.62,3,,,
145,01/01/2022,54,0140011080000,0.62,1.57,Access_Control,0.95,3,,,
146,01/01/2022,54,0140011090000,0.0,0.4,Access_Control,0.4,3,,,
147,01/01/2022,54,0140011090000,0.4,0.64,Access_Control,0.24,3,,,
148,01/01/2022,54,0140011090000,0.64,0.98,Access_Control,0.34,3,,,
149,01/01/2022,54,0140011100000,2.22,3.0,Access_Control,0.78,3,,,
150,01/01/2022,54,0140011110000,0.0,0.15,Access_Control,0.15,3,,,
151,01/01/2022,54,0140011110000,0.15,1.03,Access_Control,0.88,3,,,
152,01/01/2022,54,0140011120000,0.0,1.4,Access_Control,1.4,3,,,
153,01/01/2022,54,0140011130000,0.0,0.7,Access_Control,0.7,3,,,
154,01/01/2022,54,0140011150000,0.0,0.82,Access_Control,0.82,3,,,
155,01/01/2022,54,0140011160000,0.0,1.42,Access_Control,1.42,3,,,
156,01/01/2022,54,0140011160000,1.42,1.94,Access_Control,0.52,3,,,
157,01/01/2022,54,0140011160000,1.94,2.02,Access_Control,0.08,3,,,
158,01/01/2022,54,0140011170000,0.0,0.2,Access_Control,0.2,3,,,
159,01/01/2022,54,0140011180000,0.0,0.06,Access_Control,0.06,3,,,
160,01/01/2022,54,0140011190000,0.0,0.32,Access_Control,0.32,3,,,
161,01/01/2022,54,0140011200000,0.0,0.19,Access_Control,0.19,3,,,
162,01/01/2022,54,0140011210000,0.0,0.1,Access_Control,0.1,3,,,
163,01/01/2022,54,0140011220000,0.0,0.09,Access_Control,0.09,3,,,
164,01/01/2022,54,0140011230000,0.0,0.03,Access_Control,0.03,3,,,
165,01/01/2022,54,0140011230000,0.03,0.22,Access_Control,0.19,3,,,
166,01/01/2022,54,0140011240000,0.0,0.1,Access_Control,0.1,3,,,
167,01/01/2022,54,0140011250000,0.0,0.21,Access_Control,0.21,3,,,
168,01/01/2022,54,0140011260000,0.0,0.12,Access_Control,0.12,3,,,
169,01/01/2022,54,0140011290000,0.0,0.16,Access_Control,0.16,3,,,
170,01/01/2022,54,0140011300000,0.0,0.23,Access_Control,0.23,3,,,
171,01/01/2022,54,0140011310000,0.0,0.09,Access_Control,0.09,3,,,
172,01/01/2022,54,0140011350000,0.0,0.04,Access_Control,0.04,3,,,
173,01/01/2022,54,0140011360000,0.0,0.31,Access_Control,0.31,3,,,
174,01/01/2022,54,0140012000000,0.0,2.38,Access_Control,2.38,3,,,
175,01/01/2022,54,0140012000000,2.38,2.46,Access_Control,0.08,3,,,
176,01/01/2022,54,0140012000000,2.46,2.63,Access_Control,0.17,3,,,
177,01/01/2022,54,0140012000000,2.63,5.12,Access_Control,2.49,3,,,
178,01/01/2022,54,0140012000000,5.12,5.34,Access_Control,0.22,3,,,
179,01/01/2022,54,0140012000000,5.34,6.71,Access_Control,1.37,3,,,
180,01/01/2022,54,0140012010000,0.0,1.39,Access_Control,1.39,3,,,
181,01/01/2022,54,0140012010000,1.39,2.91,Access_Control,1.52,3,,,
182,01/01/2022,54,0140012010000,2.91,3.54,Access_Control,0.63,3,,,
183,01/01/2022,54,0140012020000,0.0,1.46,Access_Control,1.46,3,,,
184,01/01/2022,54,0140012020000,1.46,1.53,Access_Control,0.07,3,,,
185,01/01/2022,54,0140012020000,1.53,1.75,Access_Control,0.22,3,,,
186,01/01/2022,54,0140012030000,0.0,2.66,Access_Control,2.66,3,,,
187,01/01/2022,54,0140012040000,0.0,2.05,Access_Control,2.05,3,,,
188,01/01/2022,54,0140012040000,2.05,4.0,Access_Control,1.95,3,,,
189,01/01/2022,54,0140012060000,0.0,1.46,Access_Control,1.46,3,,,
190,01/01/2022,54,0140012070000,0.0,2.94,Access_Control,2.94,3,,,
191,01/01/2022,54,0140012080000,0.0,2.7,Access_Control,2.7,3,,,
192,01/01/2022,54,0140013000000,0.0,1.2,Access_Control,1.2,3,,,
193,01/01/2022,54,0140013010000,0.0,0.18,Access_Control,0.18,3,,,
194,01/01/2022,54,0140013010000,0.18,1.82,Access_Control,1.64,3,,,
195,01/01/2022,54,0140013020000,0.0,0.72,Access_Control,0.72,3,,,
196,01/01/2022,54,0140013040000,0.0,0.99,Access_Control,0.99,3,,,
197,01/01/2022,54,0140014000000,0.0,0.44,Access_Control,0.44,3,,,
198,01/01/2022,54,0140014000000,0.44,2.65,Access_Control,2.21,3,,,
199,01/01/2022,54,0140014020000,0.0,1.03,Access_Control,1.03,3,,,
200,01/01/2022,54,0140014030000,0.0,0.68,Access_Control,0.68,3,,,
201,01/01/2022,54,0140014040000,0.0,0.26,Access_Control,0.26,3,,,
202,01/01/2022,54,0140015000000,0.0,2.08,Access_Control,2.08,3,,,
203,01/01/2022,54,0140015000000,2.08,4.46,Access_Control,2.38,3,,,
204,01/01/2022,54,0140015010000,0.0,1.29,Access_Control,1.29,3,,,
205,01/01/2022,54,0140015010000,1.29,2.36,Access_Control,1.07,3,,,
206,01/01/2022,54,0140015010000,2.36,2.99,Access_Control,0.63,3,,,
207,01/01/2022,54,0140015030000,0.0,0.13,Access_Control,0.13,3,,,
208,01/01/2022,54,0140015040000,0.0,0.04,Access_Control,0.04,3,,,
209,01/01/2022,54,0140015050000,0.0,0.27,Access_Control,0.27,3,,,
210,01/01/2022,54,0140015070000,0.0,0.19,Access_Control,0.19,3,,,
211,01/01/2022,54,0140016000000,0.0,0.25,Access_Control,0.25,3,,,
212,01/01/2022,54,0140016000000,0.25,2.3,Access_Control,2.05,3,,,
213,01/01/2022,54,0140016000000,2.3,4.61,Access_Control,2.31,3,,,
214,01/01/2022,54,0140016010000,0.0,0.24,Access_Control,0.24,3,,,
215,01/01/2022,54,0140016020000,0.0,1.5,Access_Control,1.5,3,,,
216,01/01/2022,54,0140016020000,1.5,2.46,Access_Control,0.96,3,,,
217,01/01/2022,54,0140016040000,0.0,0.38,Access_Control,0.38,3,,,
218,01/01/2022,54,0140016050000,0.0,0.44,Access_Control,0.44,3,,,
219,01/01/2022,54,0140016060000,0.0,0.15,Access_Control,0.15,3,,,
220,01/01/2022,54,0140016070000,0.0,0.31,Access_Control,0.31,3,,,
221,01/01/2022,54,0140016080000,0.0,0.18,Access_Control,0.18,3,,,
222,01/01/2022,54,0140016090000,0.0,0.07,Access_Control,0.07,3,,,
223,01/01/2022,54,0140016100000,0.0,0.12,Access_Control,0.12,3,,,
224,01/01/2022,54,0140017000000,0.0,2.16,Access_Control,2.16,3,,,
225,01/01/2022,54,0140017000000,2.16,3.31,Access_Control,1.15,3,,,
226,01/01/2022,54,0140017000000,3.31,4.36,Access_Control,1.05,3,,,
227,01/01/2022,54,0140017000000,4.36,8.344,Access_Control,3.984,3,,,
228,01/01/2022,54,0140017000000,8.344,8.54,Access_Control,0.196,3,,,
229,01/01/2022,54,0140017000000,8.54,10.37,Access_Control,1.83,3,,,
230,01/01/2022,54,0140017000000,10.37,12.0,Access_Control,1.63,3,,,
231,01/01/2022,54,0140017010000,0.0,0.98,Access_Control,0.98,3,,,
232,01/01/2022,54,0140017010000,0.98,1.5,Access_Control,0.52,3,,,
233,01/01/2022,54,0140017010000,1.5,2.08,Access_Control,0.58,3,,,
234,01/01/2022,54,0140017010000,2.08,2.85,Access_Control,0.77,3,,,
235,01/01/2022,54,0140017020000,0.0,1.45,Access_Control,1.45,3,,,
236,01/01/2022,54,0140017030000,0.0,0.4,Access_Control,0.4,3,,,
237,01/01/2022,54,0140017030000,0.99,1.2,Access_Control,0.21,3,,,
238,01/01/2022,54,0140017030000,1.2,1.46,Access_Control,0.26,3,,,
239,01/01/2022,54,0140017050000,0.0,0.74,Access_Control,0.74,3,,,
240,01/01/2022,54,0140017060000,0.0,1.36,Access_Control,1.36,3,,,
241,01/01/2022,54,0140017060000,1.36,2.73,Access_Control,1.37,3,,,
242,01/01/2022,54,0140017070000,0.0,1.43,Access_Control,1.43,3,,,
243,01/01/2022,54,0140017070000,1.43,1.54,Access_Control,0.11,3,,,
244,01/01/2022,54,0140017070000,1.54,2.03,Access_Control,0.49,3,,,
245,01/01/2022,54,0140017080000,0.0,0.6,Access_Control,0.6,3,,,
246,01/01/2022,54,0140017080000,0.6,1.64,Access_Control,1.04,3,,,
247,01/01/2022,54,0140017080000,1.64,2.39,Access_Control,0.75,3,,,
248,01/01/2022,54,0140017090000,0.0,0.33,Access_Control,0.33,3,,,
249,01/01/2022,54,0140017090000,0.33,1.03,Access_Control,0.7,3,,,
250,01/01/2022,54,0140017110000,0.0,0.29,Access_Control,0.29,3,,,
251,01/01/2022,54,0140017120000,0.0,0.42,Access_Control,0.42,3,,,
252,01/01/2022,54,0140017130000,0.0,0.33,Access_Control,0.33,3,,,
253,01/01/2022,54,0140017150000,0.0,0.55,Access_Control,0.55,3,,,
254,01/01/2022,54,0140018000000,0.0,2.55,Access_Control,2.55,3,,,
255,01/01/2022,54,0140018000000,2.69,3.28,Access_Control,0.59,3,,,
256,01/01/2022,54,0140018000000,4.37,4.55,Access_Control,0.18,3,,,
257,01/01/2022,54,0140018000000,4.55,5.43,Access_Control,0.88,3,,,
258,01/01/2022,54,0140019000000,0.0,0.45,Access_Control,0.45,3,,,
259,01/01/2022,54,0140020020000,0.0,1.69,Access_Control,1.69,3,,,
260,01/01/2022,54,0140020030000,0.0,1.51,Access_Control,1.51,3,,,
261,01/01/2022,54,0140021000000,0.0,0.55,Access_Control,0.55,3,,,
262,01/01/2022,54,0140021000000,0.55,2.67,Access_Control,2.12,3,,,
263,01/01/2022,54,0140021010000,0.0,0.53,Access_Control,0.53,3,,,
264,01/01/2022,54,0140021010000,0.53,1.77,Access_Control,1.24,3,,,
265,01/01/2022,54,0140022000000,0.0,0.85,Access_Control,0.85,3,,,
266,01/01/2022,54,0140022000000,0.85,2.91,Access_Control,2.06,3,,,
267,01/01/2022,54,0140022000000,2.91,4.31,Access_Control,1.4,3,,,
268,01/01/2022,54,0140022000000,4.31,4.87,Access_Control,0.56,3,,,
269,01/01/2022,54,0140022000000,4.87,6.32,Access_Control,1.45,3,,,
270,01/01/2022,54,0140022000000,6.32,6.69,Access_Control,0.37,3,,,
271,01/01/2022,54,0140022030000,0.0,0.38,Access_Control,0.38,3,,,
272,01/01/2022,54,0140022030000,0.38,1.0,Access_Control,0.62,3,,,
273,01/01/2022,54,0140022050000,0.0,0.22,Access_Control,0.22,3,,,
274,01/01/2022,54,0140023000000,0.0,0.91,Access_Control,0.91,3,,,
275,01/01/2022,54,0140023000000,1.31,1.52,Access_Control,0.21,3,,,
276,01/01/2022,54,0140023000000,1.59,2.09,Access_Control,0.5,3,,,
277,01/01/2022,54,0140023000000,2.09,2.17,Access_Control,0.08,3,,,
278,01/01/2022,54,0140023000000,2.38,2.47,Access_Control,0.09,3,,,
279,01/01/2022,54,0140023000000,2.47,2.67,Access_Control,0.2,3,,,
280,01/01/2022,54,0140023000000,2.84,5.94,Access_Control,3.1,3,,,
281,01/01/2022,54,0140023000000,5.97,6.82,Access_Control,0.85,3,,,
282,01/01/2022,54,0140023010000,0.0,0.25,Access_Control,0.25,3,,,
283,01/01/2022,54,0140024000000,0.0,0.41,Access_Control,0.41,3,,,
284,01/01/2022,54,0140024000000,0.41,4.74,Access_Control,4.33,3,,,
285,01/01/2022,54,0140024000000,4.99,7.81,Access_Control,2.82,3,,,
286,01/01/2022,54,0140024000000,7.81,7.95,Access_Control,0.14,3,,,
287,01/01/2022,54,0140024010000,0.0,1.51,Access_Control,1.51,3,,,
288,01/01/2022,54,0140024020000,0.0,0.84,Access_Control,0.84,3,,,
289,01/01/2022,54,0140024020000,0.84,2.0,Access_Control,1.16,3,,,
290,01/01/2022,54,0140024030000,0.0,0.59,Access_Control,0.59,3,,,
291,01/01/2022,54,0140024040000,0.0,0.32,Access_Control,0.32,3,,,
292,01/01/2022,54,0140024040000,0.32,0.42,Access_Control,0.1,3,,,
293,01/01/2022,54,0140024060000,0.0,1.01,Access_Control,1.01,3,,,
294,01/01/2022,54,0140024080000,0.0,0.18,Access_Control,0.18,3,,,
295,01/01/2022,54,0140026000000,0.0,1.78,Access_Control,1.78,3,,,
296,01/01/2022,54,0140026000000,1.78,2.1,Access_Control,0.32,3,,,
297,01/01/2022,54,0140026000000,2.1,2.75,Access_Control,0.65,3,,,
298,01/01/2022,54,0140026000000,2.75,2.82,Access_Control,0.07,3,,,
299,01/01/2022,54,0140026000000,3.77,4.39,Access_Control,0.62,3,,,
