,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,06200600000EB,6.97,7.51,Alternative_Route_Name,0.54,,Midland Trail,,
1,01/01/2022,54,2040023000000,2.67,3.6,Alternative_Route_Name,0.93,,Kanawha Forest Dr.,,
2,01/01/2022,54,2572506001900,0.5,0.62,Alternative_Route_Name,0.12,,Brush Run,,
3,01/01/2022,54,20100770016SB,82.62,95.34,Alternative_Route_Name,12.72,,MM 95 to Chelyan Toll Plaza C,,
4,01/01/2022,54,30200520000EB,20.68,20.78,Alternative_Route_Name,0.1,,4th Ave,,
5,01/01/2022,54,4640044000000,0.76,1.76,Alternative_Route_Name,1.0,,Parkview Road,,
6,01/01/2022,54,17200500000EB,16.27,17.79,Alternative_Route_Name,1.52,,Clarksburg Expressway,,
7,01/01/2022,54,35202500009NB,0.0,0.68,Alternative_Route_Name,0.68,,26th Street Exit Ramp,,
8,01/01/2022,54,2540073730000,2.62,2.673,Alternative_Route_Name,0.053,,Middletown Road,,
9,01/01/2022,54,3130007000000,35.76,36.13,Alternative_Route_Name,0.37,,Sturgiss Avenue,,
10,01/01/2022,54,13202190000NB,7.43,8.59,Alternative_Route_Name,1.16,,Frankford Road,,
11,01/01/2022,54,0673288001900,0.78,0.89,Alternative_Route_Name,0.11,,Wiltshire Blvd,,
12,01/01/2022,54,2940028010000,2.31,2.45,Alternative_Route_Name,0.14,,Miller Road,,
13,01/01/2022,54,4970755001900,0.1,0.64,Alternative_Route_Name,0.54,,Camden Avenue,,
14,01/01/2022,54,0640021000000,1.51,2.939,Alternative_Route_Name,1.429,,Prichard Road,,
15,01/01/2022,54,1740019290000,0.0,0.57,Alternative_Route_Name,0.57,,Farnham Road,,
16,01/01/2022,54,4530107000000,0.29,0.76,Alternative_Route_Name,0.47,,Pleasant Street,,
17,01/01/2022,54,2870502001900,1.36,1.6,Alternative_Route_Name,0.24,,Hardy Street,,
18,01/01/2022,54,4940012000000,5.08,5.29,Alternative_Route_Name,0.21,,W Main St,,
19,01/01/2022,54,1740050760000,0.0,1.34,Alternative_Route_Name,1.34,,Lodgeville Rd,,
20,01/01/2022,54,2040006060000,0.8,1.16,Alternative_Route_Name,0.36,,Ferrell Rd,,
21,01/01/2022,54,2071308001900,0.77,1.62,Alternative_Route_Name,0.85,,Clark Rd,,
22,01/01/2022,54,18100770000NB,122.73,124.92,Alternative_Route_Name,2.19,,Turnpike,,
23,01/01/2022,54,35200400000EB,7.1,7.44,Alternative_Route_Name,0.34,,National Rd,,
24,01/01/2022,54,17100790000NB,115.33,117.17,Alternative_Route_Name,1.84,,Quiet Dell,,
25,01/01/2022,54,5440016000000,0.0,0.5,Alternative_Route_Name,0.5,,36th Street,,
26,01/01/2022,54,4240219420000,0.0,0.21,Alternative_Route_Name,0.21,,Pleasants Avenue,,
27,01/01/2022,54,18100770000NB,154.41,156.01,Alternative_Route_Name,1.6,,Turnpike,,
28,01/01/2022,54,5040003020000,0.64,1.25,Alternative_Route_Name,0.61,,Airport Rd,,
29,01/01/2022,54,2540072000000,1.02,1.79,Alternative_Route_Name,0.77,,Pricketts Fort Road,,
30,01/01/2022,54,2840027000000,0.0,1.57,Alternative_Route_Name,1.57,,Twelve Mile Road,,
31,01/01/2022,54,1740024020000,0.0,0.75,Alternative_Route_Name,0.75,,Factory Street,,
32,01/01/2022,54,5440014140000,0.0,0.66,Alternative_Route_Name,0.66,,29th Street,,
33,01/01/2022,54,3130007000000,25.15,25.85,Alternative_Route_Name,0.7,,Mason Dixon Highway,,
34,01/01/2022,54,0640031060000,0.41,0.48,Alternative_Route_Name,0.07,,Daniel Memorial Bridge,,
35,01/01/2022,54,31100680005SB,0.65,1.14,Alternative_Route_Name,0.49,,79 SB On Ramp,,
36,01/01/2022,54,54100770000NB,186.72,187.21,Alternative_Route_Name,0.49,,Turnpike,,
37,01/01/2022,54,5440014160000,2.89,3.83,Alternative_Route_Name,0.94,,Rosemar Road,,
38,01/01/2022,54,5040001000000,2.16,2.29,Alternative_Route_Name,0.13,,Big Sandy River Road,,
