,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01201190000NB,6.95,9.29,CURVE_F,2.34,0.034,,,
1,01/01/2022,54,01201190000NB,10.66,11.5,CURVE_F,0.84,0.001,,,
2,01/01/2022,54,0130076000000,1.75,6.62,CURVE_F,4.87,0.024,,,
3,01/01/2022,54,0140006000000,0.11,3.13,CURVE_F,3.02,0.033,,,
4,01/01/2022,54,0140010000000,7.41,8.63,CURVE_F,1.22,0.007,,,
5,01/01/2022,54,0140024000000,1.64,2.79,CURVE_F,1.15,0.057,,,
6,01/01/2022,54,0140024000000,2.79,4.74,CURVE_F,1.95,0.032,,,
7,01/01/2022,54,0140030000000,6.14,6.83,CURVE_F,0.69,0.018,,,
8,01/01/2022,54,0140030070000,0.0,0.92,CURVE_F,0.92,0.063,,,
9,01/01/2022,54,0140030070000,0.92,2.0,CURVE_F,1.08,0.008,,,
10,01/01/2022,54,0140046010000,0.0,1.62,CURVE_F,1.62,0.061,,,
11,01/01/2022,54,02100810000NB,1.39,6.27,CURVE_F,4.88,0.001,,,
12,01/01/2022,54,02100810000NB,6.27,11.63,CURVE_F,5.36,0.002,,,
13,01/01/2022,54,0230009000000,6.17,6.27,CURVE_F,0.1,0.011,,,
14,01/01/2022,54,0230045000000,14.85,15.31,CURVE_F,0.46,0.016,,,
15,01/01/2022,54,0230045000000,17.53,18.23,CURVE_F,0.7,0.01,,,
16,01/01/2022,54,0230051000000,1.87,2.841,CURVE_F,0.971,0.003,,,
17,01/01/2022,54,0240005000000,5.9,7.94,CURVE_F,2.04,0.064,,,
18,01/01/2022,54,0240009050000,1.67,3.26,CURVE_F,1.59,0.034,,,
19,01/01/2022,54,0240009270000,0.0,0.31,CURVE_F,0.31,0.001,,,
20,01/01/2022,54,0240010010000,0.0,0.69,CURVE_F,0.69,0.011,,,
21,01/01/2022,54,0240011130000,0.28,0.41,CURVE_F,0.13,0.02,,,
22,01/01/2022,54,0240011130000,0.41,0.55,CURVE_F,0.14,0.023,,,
23,01/01/2022,54,0240011190000,0.0,0.31,CURVE_F,0.31,0.024,,,
24,01/01/2022,54,0240011240000,0.0,0.85,CURVE_F,0.85,0.013,,,
25,01/01/2022,54,0240012000000,0.0,1.29,CURVE_F,1.29,0.05,,,
26,01/01/2022,54,0240013000000,0.43,1.03,CURVE_F,0.6,0.031,,,
27,01/01/2022,54,0240013000000,1.03,1.5,CURVE_F,0.47,0.008,,,
28,01/01/2022,54,0240013000000,2.75,3.716,CURVE_F,0.966,0.002,,,
29,01/01/2022,54,0240015000000,2.78,3.06,CURVE_F,0.28,0.001,,,
30,01/01/2022,54,0240019000000,3.438,4.04,CURVE_F,0.602,0.024,,,
31,01/01/2022,54,0240032000000,0.0,1.26,CURVE_F,1.26,0.064,,,
32,01/01/2022,54,0240032000000,1.565,2.15,CURVE_F,0.585,0.011,,,
33,01/01/2022,54,0240034030000,0.0,1.01,CURVE_F,1.01,0.058,,,
34,01/01/2022,54,0240036010000,1.6,1.98,CURVE_F,0.38,0.001,,,
35,01/01/2022,54,0240045050000,0.55,1.25,CURVE_F,0.7,0.015,,,
36,01/01/2022,54,0240051070000,2.28,3.56,CURVE_F,1.28,0.012,,,
37,01/01/2022,54,0274256001900,0.0,0.66,CURVE_F,0.66,0.034,,,
38,01/01/2022,54,0274257001900,0.0,0.11,CURVE_F,0.11,0.002,,,
39,01/01/2022,54,0274265001900,0.0,0.57,CURVE_F,0.57,0.001,,,
40,01/01/2022,54,0274266001900,0.0,0.44,CURVE_F,0.44,0.012,,,
41,01/01/2022,54,0274273001900,0.0,0.11,CURVE_F,0.11,0.009,,,
42,01/01/2022,54,0330094000000,0.0,3.01,CURVE_F,3.01,0.013,,,
43,01/01/2022,54,0340005000000,5.42,6.96,CURVE_F,1.54,0.309,,,
44,01/01/2022,54,0340006000000,2.99,5.53,CURVE_F,2.54,0.167,,,
45,01/01/2022,54,0530002000000,15.75,16.16,CURVE_F,0.41,0.001,,,
46,01/01/2022,54,05300020005SB,0.0,0.34,CURVE_F,0.34,0.003,,,
47,01/01/2022,54,0530067000000,6.14,6.71,CURVE_F,0.57,0.039,,,
48,01/01/2022,54,0540001000000,3.26,4.01,CURVE_F,0.75,0.001,,,
49,01/01/2022,54,0540001000000,4.01,4.8,CURVE_F,0.79,0.059,,,
50,01/01/2022,54,0540001080000,0.81,0.95,CURVE_F,0.14,0.029,,,
51,01/01/2022,54,0540003010000,0.48,0.61,CURVE_F,0.13,0.01,,,
52,01/01/2022,54,0540003010000,0.61,1.65,CURVE_F,1.04,0.114,,,
53,01/01/2022,54,0540003010000,1.65,1.94,CURVE_F,0.29,0.026,,,
54,01/01/2022,54,0540007000000,1.29,2.449,CURVE_F,1.159,0.064,,,
55,01/01/2022,54,0540007010000,0.0,0.84,CURVE_F,0.84,0.057,,,
56,01/01/2022,54,0540007010000,0.84,1.99,CURVE_F,1.15,0.079,,,
