,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,20100770023NB,0.0,0.6,Dir_Through_Lanes,0.6,1,,,
1,01/01/2022,54,20100770023NB,0.6,0.8,Dir_Through_Lanes,0.2,1,,,
2,01/01/2022,54,20100770023NB,0.8,1.02,Dir_Through_Lanes,0.22,1,,,
3,01/01/2022,54,10100770016NB,52.58,61.6,Dir_Through_Lanes,9.02,2,,,
4,01/01/2022,54,10100770016NB,61.6,62.5,Dir_Through_Lanes,0.9,2,,,
5,01/01/2022,54,10100770016NB,62.5,67.21,Dir_Through_Lanes,4.71,2,,,
6,01/01/2022,54,40100640000EB,31.77,38.5,Dir_Through_Lanes,6.73,2,,,
7,01/01/2022,54,40100640000EB,38.5,38.54,Dir_Through_Lanes,0.04,3,,,
8,01/01/2022,54,40100640000EB,38.54,39.134,Dir_Through_Lanes,0.594,3,,,
9,01/01/2022,54,40100640000EB,39.134,39.4,Dir_Through_Lanes,0.266,3,,,
10,01/01/2022,54,40100640000EB,39.4,39.58,Dir_Through_Lanes,0.18,3,,,
11,01/01/2022,54,40100640000EB,39.58,40.4,Dir_Through_Lanes,0.82,3,,,
12,01/01/2022,54,40100640000EB,40.4,40.568,Dir_Through_Lanes,0.168,2,,,
13,01/01/2022,54,40100640000EB,40.568,40.658,Dir_Through_Lanes,0.09,2,,,
14,01/01/2022,54,40100640000EB,40.658,41.25,Dir_Through_Lanes,0.592,2,,,
15,01/01/2022,54,40100640000EB,41.25,41.546,Dir_Through_Lanes,0.296,2,,,
16,01/01/2022,54,40100640000EB,41.546,41.646,Dir_Through_Lanes,0.1,2,,,
17,01/01/2022,54,40100640000EB,41.646,41.89,Dir_Through_Lanes,0.244,2,,,
18,01/01/2022,54,40100640000EB,41.89,42.71,Dir_Through_Lanes,0.82,2,,,
19,01/01/2022,54,40100640000EB,42.71,42.783,Dir_Through_Lanes,0.073,2,,,
20,01/01/2022,54,40100640000EB,42.783,44.47,Dir_Through_Lanes,1.687,2,,,
21,01/01/2022,54,40100640000EB,44.47,44.78,Dir_Through_Lanes,0.31,2,,,
22,01/01/2022,54,40100640000EB,44.78,45.39,Dir_Through_Lanes,0.61,3,,,
23,01/01/2022,54,50100640000EB,0.0,0.11,Dir_Through_Lanes,0.11,2,,,
24,01/01/2022,54,50100640000EB,0.11,1.25,Dir_Through_Lanes,1.14,2,,,
25,01/01/2022,54,50100640000EB,1.25,1.29,Dir_Through_Lanes,0.04,2,,,
26,01/01/2022,54,50100640000EB,1.29,5.87,Dir_Through_Lanes,4.58,2,,,
27,01/01/2022,54,28100770016NB,8.98,11.2,Dir_Through_Lanes,2.22,2,,,
28,01/01/2022,54,28100770016NB,11.2,11.25,Dir_Through_Lanes,0.05,3,,,
29,01/01/2022,54,28100770016NB,11.25,11.7,Dir_Through_Lanes,0.45,3,,,
30,01/01/2022,54,28100770016NB,11.7,11.8,Dir_Through_Lanes,0.1,3,,,
31,01/01/2022,54,28100770016NB,11.8,13.3,Dir_Through_Lanes,1.5,2,,,
32,01/01/2022,54,28100770016NB,13.3,13.43,Dir_Through_Lanes,0.13,2,,,
33,01/01/2022,54,28100770016NB,13.43,14.006,Dir_Through_Lanes,0.576,2,,,
34,01/01/2022,54,28100770016NB,14.006,14.7,Dir_Through_Lanes,0.694,2,,,
35,01/01/2022,54,28100770016NB,14.7,14.77,Dir_Through_Lanes,0.07,2,,,
36,01/01/2022,54,28100770016NB,14.77,15.4,Dir_Through_Lanes,0.63,2,,,
37,01/01/2022,54,28100770016NB,15.4,15.54,Dir_Through_Lanes,0.14,2,,,
38,01/01/2022,54,28100770016NB,15.54,19.52,Dir_Through_Lanes,3.98,2,,,
39,01/01/2022,54,28100770016NB,19.52,20.09,Dir_Through_Lanes,0.57,2,,,
40,01/01/2022,54,28100770016NB,20.09,20.1,Dir_Through_Lanes,0.01,2,,,
41,01/01/2022,54,28100770016NB,20.1,27.17,Dir_Through_Lanes,7.07,3,,,
42,01/01/2022,54,28100770016NB,27.17,27.26,Dir_Through_Lanes,0.09,3,,,
43,01/01/2022,54,20100770005SB,0.0,0.39,Dir_Through_Lanes,0.39,2,,,
44,01/01/2022,54,20100770005SB,0.39,0.67,Dir_Through_Lanes,0.28,1,,,
45,01/01/2022,54,45100640000EB,138.01,143.75,Dir_Through_Lanes,5.74,2,,,
46,01/01/2022,54,45100640000EB,143.75,143.8,Dir_Through_Lanes,0.05,2,,,
47,01/01/2022,54,45100640000EB,143.8,147.6,Dir_Through_Lanes,3.8,3,,,
48,01/01/2022,54,20100770000NB,95.34,95.4,Dir_Through_Lanes,0.06,3,,,
49,01/01/2022,54,20100770000NB,95.4,96.1,Dir_Through_Lanes,0.7,2,,,
50,01/01/2022,54,20100770000NB,96.1,96.3,Dir_Through_Lanes,0.2,3,,,
51,01/01/2022,54,20100770000NB,96.3,96.4,Dir_Through_Lanes,0.1,3,,,
52,01/01/2022,54,20100770000NB,96.4,96.47,Dir_Through_Lanes,0.07,3,,,
53,01/01/2022,54,20100770000NB,96.47,97.02,Dir_Through_Lanes,0.55,2,,,
54,01/01/2022,54,20100770000NB,97.02,98.17,Dir_Through_Lanes,1.15,2,,,
55,01/01/2022,54,20100770000NB,98.17,98.2,Dir_Through_Lanes,0.03,2,,,
56,01/01/2022,54,20100770000NB,98.2,98.3,Dir_Through_Lanes,0.1,3,,,
57,01/01/2022,54,20100770000NB,98.3,100.3,Dir_Through_Lanes,2.0,3,,,
58,01/01/2022,54,20100770000NB,100.3,100.4,Dir_Through_Lanes,0.1,3,,,
59,01/01/2022,54,20100770000NB,100.4,100.7,Dir_Through_Lanes,0.3,3,,,
60,01/01/2022,54,20100770000NB,100.7,100.76,Dir_Through_Lanes,0.06,4,,,
61,01/01/2022,54,20100770000NB,100.76,100.78,Dir_Through_Lanes,0.02,4,,,
