,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,1.87,GRADE_F,1.87,0.05,,,
1,01/01/2022,54,01201190000NB,6.95,9.29,GRADE_F,2.34,0.077,,,
2,01/01/2022,54,01201190000NB,10.66,11.5,GRADE_F,0.84,0.039,,,
3,01/01/2022,54,0130038000000,0.43,2.43,GRADE_F,2.0,0.087,,,
4,01/01/2022,54,0130038000000,5.53,6.31,GRADE_F,0.78,0.017,,,
5,01/01/2022,54,0130076000000,1.75,6.62,GRADE_F,4.87,0.102,,,
6,01/01/2022,54,0130092000000,8.64,9.265,GRADE_F,0.625,0.048,,,
7,01/01/2022,54,0130092000000,9.265,10.73,GRADE_F,1.465,0.048,,,
8,01/01/2022,54,0140006000000,0.11,3.13,GRADE_F,3.02,0.094,,,
9,01/01/2022,54,0140010000000,7.41,8.63,GRADE_F,1.22,0.208,,,
10,01/01/2022,54,0140024000000,1.64,2.79,GRADE_F,1.15,0.522,,,
11,01/01/2022,54,0140024000000,2.79,4.74,GRADE_F,1.95,0.372,,,
12,01/01/2022,54,0140030000000,6.14,6.83,GRADE_F,0.69,0.125,,,
13,01/01/2022,54,0140030070000,0.0,0.92,GRADE_F,0.92,0.254,,,
14,01/01/2022,54,0140030070000,0.92,2.0,GRADE_F,1.08,0.039,,,
15,01/01/2022,54,0140046010000,0.0,1.62,GRADE_F,1.62,0.25,,,
16,01/01/2022,54,02100810000NB,1.39,6.27,GRADE_F,4.88,0.012,,,
17,01/01/2022,54,02100810000NB,11.63,13.54,GRADE_F,1.91,0.066,,,
18,01/01/2022,54,02100810000NB,13.54,14.26,GRADE_F,0.72,0.019,,,
19,01/01/2022,54,02100810000NB,18.13,20.37,GRADE_F,2.24,0.065,,,
20,01/01/2022,54,02100810000NB,20.37,23.0,GRADE_F,2.63,0.023,,,
21,01/01/2022,54,02100810000NB,23.0,23.46,GRADE_F,0.46,0.036,,,
22,01/01/2022,54,02100810000NB,23.46,24.53,GRADE_F,1.07,0.019,,,
23,01/01/2022,54,02100810000NB,24.53,26.0,GRADE_F,1.47,0.07,,,
24,01/01/2022,54,02200110000NB,13.65,13.78,GRADE_F,0.13,0.013,,,
25,01/01/2022,54,0230009000000,7.584,9.95,GRADE_F,2.366,0.001,,,
26,01/01/2022,54,0230009000000,10.532,10.84,GRADE_F,0.308,0.032,,,
27,01/01/2022,54,0230009000000,10.84,10.893,GRADE_F,0.053,0.026,,,
28,01/01/2022,54,0230009000000,10.893,11.15,GRADE_F,0.257,0.026,,,
29,01/01/2022,54,0230009000000,18.18,20.16,GRADE_F,1.98,0.056,,,
30,01/01/2022,54,0230045000000,17.53,18.23,GRADE_F,0.7,0.011,,,
31,01/01/2022,54,0230045000000,19.08,19.61,GRADE_F,0.53,0.022,,,
32,01/01/2022,54,0230051000000,4.54,4.58,GRADE_F,0.04,0.024,,,
33,01/01/2022,54,0230051000000,4.58,4.62,GRADE_F,0.04,0.021,,,
34,01/01/2022,54,0230901000000,4.86,5.44,GRADE_F,0.58,0.048,,,
35,01/01/2022,54,0240001000000,8.14,9.32,GRADE_F,1.18,0.076,,,
36,01/01/2022,54,0240005000000,5.9,7.94,GRADE_F,2.04,0.086,,,
37,01/01/2022,54,0240009050000,1.67,3.26,GRADE_F,1.59,0.189,,,
38,01/01/2022,54,0240009130000,0.4,1.92,GRADE_F,1.52,0.181,,,
39,01/01/2022,54,0240010010000,0.0,0.69,GRADE_F,0.69,0.018,,,
40,01/01/2022,54,0240011130000,0.28,0.41,GRADE_F,0.13,0.002,,,
41,01/01/2022,54,0240012000000,0.0,1.29,GRADE_F,1.29,0.01,,,
42,01/01/2022,54,0240013000000,0.43,1.03,GRADE_F,0.6,0.004,,,
43,01/01/2022,54,0240019000000,3.438,4.04,GRADE_F,0.602,0.141,,,
44,01/01/2022,54,0240032000000,0.0,1.26,GRADE_F,1.26,0.087,,,
45,01/01/2022,54,0240034030000,0.0,1.01,GRADE_F,1.01,0.115,,,
46,01/01/2022,54,0240036010000,1.6,1.98,GRADE_F,0.38,0.017,,,
47,01/01/2022,54,0240051070000,2.28,3.56,GRADE_F,1.28,0.053,,,
48,01/01/2022,54,0274256001900,0.0,0.66,GRADE_F,0.66,0.07,,,
49,01/01/2022,54,0274259001900,0.0,0.17,GRADE_F,0.17,0.065,,,
50,01/01/2022,54,0274265001900,0.0,0.57,GRADE_F,0.57,0.022,,,
51,01/01/2022,54,0274273001900,0.0,0.11,GRADE_F,0.11,0.022,,,
52,01/01/2022,54,03201190000NB,9.44,11.49,GRADE_F,2.05,0.021,,,
53,01/01/2022,54,03201190000NB,11.49,12.36,GRADE_F,0.87,0.11,,,
54,01/01/2022,54,03201190000NB,12.36,12.66,GRADE_F,0.3,0.11,,,
55,01/01/2022,54,03201190000NB,12.66,12.83,GRADE_F,0.17,0.11,,,
56,01/01/2022,54,0330085000000,34.05,34.35,GRADE_F,0.3,0.024,,,
57,01/01/2022,54,0330094000000,0.0,3.01,GRADE_F,3.01,0.019,,,
58,01/01/2022,54,0330099000000,0.0,1.84,GRADE_F,1.84,0.63,,,
59,01/01/2022,54,0340005000000,5.42,6.96,GRADE_F,1.54,0.239,,,
60,01/01/2022,54,0340006000000,2.99,5.53,GRADE_F,2.54,0.289,,,
61,01/01/2022,54,04100790000NB,44.6,46.18,GRADE_F,1.58,0.026,,,
62,01/01/2022,54,04100790000NB,46.18,46.22,GRADE_F,0.04,0.026,,,
63,01/01/2022,54,04100790000NB,46.22,49.73,GRADE_F,3.51,0.062,,,
64,01/01/2022,54,04100790000NB,50.35,51.61,GRADE_F,1.26,0.099,,,
65,01/01/2022,54,04100790000NB,53.27,54.18,GRADE_F,0.91,0.044,,,
66,01/01/2022,54,04100790000NB,54.18,57.51,GRADE_F,3.33,0.101,,,
