,RouteID,BeginPoint,EndPoint,ValueNumeric,Comments,ValueDate,StateCode,BeginDate,ValueText,DataItem
0,11200330000EB,22.28,25.09,1.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
1,04100790000NB,53.27,54.18,9.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
2,0140030000000,6.14,6.83,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
3,04100790000NB,54.18,57.51,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
4,1140007000000,6.97,8.67,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
5,04100790000NB,49.73,50.35,9.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
6,0130076000000,1.75,6.62,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
7,11200330000EB,18.2,19.62,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
8,04100790000NB,69.32,70.83,9.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
9,0140010000000,7.41,8.63,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
10,04100790000NB,67.52,69.32,9.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
11,04100790000NB,78.41,79.08,0.75,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
12,04100790000NB,63.46,64.83,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
13,11200330000EB,19.62,22.18,1.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
14,04100790000NB,79.08,83.15,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
15,01201190000NB,10.66,11.5,1.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
16,11200330000EB,2.2,6.44,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
17,04100790000NB,70.83,78.41,0.75,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
18,04100790000NB,64.83,67.52,9.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
19,11200330000EB,1.39,1.96,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
20,04100790000NB,61.47,62.04,2.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
21,11200330000EB,25.09,26.73,1.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
22,04100790000NB,51.61,52.61,9.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
23,0130092000000,8.64,10.73,3.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
24,1130005000000,10.83,12.51,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
25,0140024000000,2.79,4.74,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
26,0130038000000,0.43,2.43,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
27,04100790000NB,57.51,59.0,9.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
28,04100790000NB,46.22,49.73,9.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
29,04100790000NB,62.04,63.46,2.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
30,01201190000NB,6.95,9.29,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
31,0130020000000,0.0,2.15,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
32,04100790000NB,50.35,51.61,9.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
33,0140024000000,1.64,2.79,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
34,0140046010000,0.0,1.62,2.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
35,0130038000000,5.53,6.31,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
36,04100790000NB,59.0,61.47,9.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
37,04200190000NB,26.57,27.64,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
38,1140009000000,0.0,3.41,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
39,04100790000NB,44.6,46.22,2.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
40,04100790000NB,52.61,53.27,9.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
41,0140006000000,0.11,3.13,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
42,21200330000EB,20.19,21.03,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
43,21100790000NB,87.45,90.82,2.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
44,21200330000EB,17.59,17.96,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
45,21100790000NB,104.15,104.69,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
46,2140013000000,0.0,0.4,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
47,21100790000NB,100.39,101.69,2.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
48,21100790000NB,101.69,104.15,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
49,21200330000EB,22.25,22.84,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
50,21200330000EB,16.0,16.23,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
51,21100790000NB,104.69,106.42,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
52,21100790000NB,83.55,87.45,4.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
53,2140015000000,2.36,4.01,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
54,21200330000EB,19.84,20.19,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
55,21200330000EB,21.25,22.25,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
56,49200330000EB,5.37,7.192,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
57,4940016000000,9.05,9.51,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
58,4940012000000,0.85,1.53,1.0,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
59,49200330000EB,4.0,4.35,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
60,4940007000000,0.22,0.423,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
61,4940012000000,5.08,5.29,1.5,,,54,01/01/2022,,LAST_OVERLAY_THICKNESS
