,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,2021,54,01200330000EB,0.0,4.43,Maintenance_Operations,4.43,1,,,
1,2021,54,01200330000WB,0.0,4.43,Maintenance_Operations,4.43,1,,,
2,2021,54,01201190000NB,0.0,9.29,Maintenance_Operations,9.29,1,,,
3,2021,54,01201190000NB,9.29,11.61,Maintenance_Operations,2.32,1,,,
4,2021,54,01201190000NB,11.61,18.68,Maintenance_Operations,7.07,1,,,
5,2021,54,01201190000SB,0.0,9.29,Maintenance_Operations,9.29,1,,,
6,2021,54,01201190000SB,9.29,11.61,Maintenance_Operations,2.32,1,,,
7,2021,54,01201190000SB,11.61,18.68,Maintenance_Operations,7.07,1,,,
8,2021,54,01202500000NB,0.0,5.3,Maintenance_Operations,5.3,1,,,
9,2021,54,01202500000NB,5.3,5.78,Maintenance_Operations,0.48,1,,,
10,2021,54,01202500000NB,5.78,17.15,Maintenance_Operations,11.37,1,,,
11,2021,54,01202500000NB,17.15,17.31,Maintenance_Operations,0.16,1,,,
12,2021,54,01202500000SB,0.0,4.86,Maintenance_Operations,4.86,1,,,
13,2021,54,01202500000SB,4.86,5.78,Maintenance_Operations,0.92,1,,,
14,2021,54,01202500000SB,5.78,17.15,Maintenance_Operations,11.37,1,,,
15,2021,54,01202500000SB,17.15,17.31,Maintenance_Operations,0.16,1,,,
16,2021,54,01202500002NB,0.0,0.033,Maintenance_Operations,0.033,1,,,
17,2021,54,01202500002SB,0.0,0.033,Maintenance_Operations,0.033,1,,,
18,2021,54,01202500013NB,0.0,0.82,Maintenance_Operations,0.82,1,,,
19,2021,54,01202500013SB,0.0,0.82,Maintenance_Operations,0.82,1,,,
20,2021,54,0130020000000,0.0,3.94,Maintenance_Operations,3.94,1,,,
21,2021,54,0130038000000,0.0,2.7,Maintenance_Operations,2.7,1,,,
22,2021,54,0130038000000,2.7,2.73,Maintenance_Operations,0.03,1,,,
23,2021,54,0130038000000,2.73,12.0,Maintenance_Operations,9.27,1,,,
24,2021,54,0130057000000,0.0,9.63,Maintenance_Operations,9.63,1,,,
25,2021,54,0130076000000,0.0,6.62,Maintenance_Operations,6.62,1,,,
26,2021,54,0130092000000,5.43,9.265,Maintenance_Operations,3.835,1,,,
27,2021,54,0130092000000,9.265,11.14,Maintenance_Operations,1.875,1,,,
28,2021,54,0130092000000,11.14,11.21,Maintenance_Operations,0.07,1,,,
29,2021,54,0130092000000,11.21,14.565,Maintenance_Operations,3.355,1,,,
30,2021,54,0130092000000,14.565,16.84,Maintenance_Operations,2.275,1,,,
31,2021,54,0130092000000,17.21,26.93,Maintenance_Operations,9.72,1,,,
32,2021,54,0130092000000,26.93,26.94,Maintenance_Operations,0.01,1,,,
33,2021,54,0140001000000,0.0,3.96,Maintenance_Operations,3.96,1,,,
34,2021,54,0140001010000,0.0,0.43,Maintenance_Operations,0.43,1,,,
35,2021,54,0140001010000,0.43,4.24,Maintenance_Operations,3.81,1,,,
36,2021,54,0140002000000,0.0,1.86,Maintenance_Operations,1.86,1,,,
37,2021,54,0140002000000,1.86,3.43,Maintenance_Operations,1.57,1,,,
38,2021,54,0140002020000,0.0,1.8,Maintenance_Operations,1.8,1,,,
39,2021,54,0140002020000,1.8,3.35,Maintenance_Operations,1.55,1,,,
40,2021,54,0140002030000,0.0,0.84,Maintenance_Operations,0.84,1,,,
41,2021,54,0140002040000,0.0,2.74,Maintenance_Operations,2.74,1,,,
42,2021,54,0140003000000,0.0,1.52,Maintenance_Operations,1.52,1,,,
43,2021,54,0140003000000,1.52,3.22,Maintenance_Operations,1.7,1,,,
44,2021,54,0140003010000,1.04,1.28,Maintenance_Operations,0.24,1,,,
45,2021,54,0140003010000,1.28,1.7,Maintenance_Operations,0.42,1,,,
46,2021,54,0140003020000,0.0,0.13,Maintenance_Operations,0.13,1,,,
47,2021,54,0140003020000,1.33,1.64,Maintenance_Operations,0.31,1,,,
48,2021,54,0140004000000,0.0,2.2,Maintenance_Operations,2.2,1,,,
49,2021,54,0140004010000,0.0,1.17,Maintenance_Operations,1.17,1,,,
50,2021,54,0140004020000,0.0,0.7,Maintenance_Operations,0.7,1,,,
51,2021,54,0140004030000,0.0,0.08,Maintenance_Operations,0.08,1,,,
52,2021,54,0140005000000,0.0,0.11,Maintenance_Operations,0.11,1,,,
53,2021,54,0140005000000,0.11,1.5,Maintenance_Operations,1.39,1,,,
54,2021,54,0140005000000,1.5,1.96,Maintenance_Operations,0.46,1,,,
55,2021,54,0140005000000,1.96,3.56,Maintenance_Operations,1.6,1,,,
56,2021,54,0140005010000,0.0,0.99,Maintenance_Operations,0.99,1,,,
57,2021,54,0140005020000,0.0,1.46,Maintenance_Operations,1.46,1,,,
58,2021,54,0140005030000,0.0,0.36,Maintenance_Operations,0.36,1,,,
59,2021,54,0140005030000,0.36,0.89,Maintenance_Operations,0.53,1,,,
60,2021,54,0140005040000,0.0,1.99,Maintenance_Operations,1.99,1,,,
61,2021,54,0140005060000,0.0,0.79,Maintenance_Operations,0.79,1,,,
62,2021,54,0140005070000,0.0,1.5,Maintenance_Operations,1.5,1,,,
63,2021,54,0140005080000,0.0,1.09,Maintenance_Operations,1.09,1,,,
64,2021,54,0140005080000,1.09,2.5,Maintenance_Operations,1.41,1,,,
65,2021,54,0140005090000,0.0,0.85,Maintenance_Operations,0.85,1,,,
66,2021,54,0140005100000,0.0,1.46,Maintenance_Operations,1.46,1,,,
67,2021,54,0140005110000,0.0,0.1,Maintenance_Operations,0.1,1,,,
68,2021,54,0140006000000,0.0,5.65,Maintenance_Operations,5.65,1,,,
69,2021,54,0140006000000,5.65,5.78,Maintenance_Operations,0.13,1,,,
70,2021,54,0140006000000,5.78,6.18,Maintenance_Operations,0.4,1,,,
71,2021,54,0140006000000,6.18,6.69,Maintenance_Operations,0.51,1,,,
72,2021,54,0140006030000,0.0,1.15,Maintenance_Operations,1.15,1,,,
73,2021,54,0140006050000,0.0,0.18,Maintenance_Operations,0.18,1,,,
74,2021,54,0140006050000,0.18,0.81,Maintenance_Operations,0.63,1,,,
75,2021,54,0140006060000,0.0,1.46,Maintenance_Operations,1.46,1,,,
76,2021,54,0140007000000,0.0,5.39,Maintenance_Operations,5.39,1,,,
77,2021,54,0140007000000,5.39,6.98,Maintenance_Operations,1.59,1,,,
78,2021,54,0140007000000,6.98,8.54,Maintenance_Operations,1.56,1,,,
79,2021,54,0140007000000,8.54,11.41,Maintenance_Operations,2.87,1,,,
80,2021,54,0140007020000,0.0,0.42,Maintenance_Operations,0.42,1,,,
81,2021,54,0140007020000,2.54,3.25,Maintenance_Operations,0.71,1,,,
82,2021,54,0140007020000,3.25,3.34,Maintenance_Operations,0.09,1,,,
83,2021,54,0140007040000,0.0,0.31,Maintenance_Operations,0.31,1,,,
