,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,1.87,Median_Type,1.87,2,,,
1,01/01/2022,54,01201190000NB,6.95,9.29,Median_Type,2.34,1,,,
2,01/01/2022,54,01201190000NB,10.66,11.5,Median_Type,0.84,1,,,
3,01/01/2022,54,0130020000000,0.0,2.15,Median_Type,2.15,1,,,
4,01/01/2022,54,0130038000000,0.43,2.43,Median_Type,2.0,1,,,
5,01/01/2022,54,0130038000000,5.53,6.31,Median_Type,0.78,1,,,
6,01/01/2022,54,0130076000000,1.75,6.62,Median_Type,4.87,1,,,
7,01/01/2022,54,0130092000000,8.64,9.265,Median_Type,0.625,1,,,
8,01/01/2022,54,0130092000000,9.265,10.73,Median_Type,1.465,1,,,
9,01/01/2022,54,0140006000000,0.11,3.13,Median_Type,3.02,1,,,
10,01/01/2022,54,0140010000000,7.41,8.63,Median_Type,1.22,1,,,
11,01/01/2022,54,0140011000000,3.05,3.78,Median_Type,0.73,1,,,
12,01/01/2022,54,0140024000000,1.64,2.79,Median_Type,1.15,1,,,
13,01/01/2022,54,0140024000000,2.79,4.74,Median_Type,1.95,1,,,
14,01/01/2022,54,0140030000000,6.14,6.83,Median_Type,0.69,1,,,
15,01/01/2022,54,0140030070000,0.0,0.92,Median_Type,0.92,1,,,
16,01/01/2022,54,0140030070000,0.92,2.0,Median_Type,1.08,1,,,
17,01/01/2022,54,0140046010000,0.0,1.62,Median_Type,1.62,1,,,
18,01/01/2022,54,02100810000NB,0.0,1.39,Median_Type,1.39,6,,,
19,01/01/2022,54,02100810000NB,1.39,6.27,Median_Type,4.88,2,,,
20,01/01/2022,54,02100810000NB,6.27,11.63,Median_Type,5.36,2,,,
21,01/01/2022,54,02100810000NB,11.63,13.54,Median_Type,1.91,7,,,
22,01/01/2022,54,02100810000NB,13.54,14.26,Median_Type,0.72,7,,,
23,01/01/2022,54,02100810000NB,14.26,15.22,Median_Type,0.96,7,,,
24,01/01/2022,54,02100810000NB,15.22,15.62,Median_Type,0.4,7,,,
25,01/01/2022,54,02100810000NB,15.62,15.95,Median_Type,0.33,7,,,
26,01/01/2022,54,02100810000NB,15.95,16.23,Median_Type,0.28,7,,,
27,01/01/2022,54,02100810000NB,16.23,17.3,Median_Type,1.07,7,,,
28,01/01/2022,54,02100810000NB,17.3,18.13,Median_Type,0.83,7,,,
29,01/01/2022,54,02100810000NB,18.13,20.37,Median_Type,2.24,7,,,
30,01/01/2022,54,02100810000NB,20.37,23.0,Median_Type,2.63,7,,,
31,01/01/2022,54,02100810000NB,23.0,23.46,Median_Type,0.46,7,,,
32,01/01/2022,54,02100810000NB,23.46,24.53,Median_Type,1.07,7,,,
33,01/01/2022,54,02100810000NB,24.53,26.0,Median_Type,1.47,7,,,
34,01/01/2022,54,02200110000NB,5.24,6.05,Median_Type,0.81,1,,,
35,01/01/2022,54,02200110000NB,13.65,13.78,Median_Type,0.13,1,,,
36,01/01/2022,54,02200110000NB,14.51,14.64,Median_Type,0.13,1,,,
37,01/01/2022,54,02200110000NB,16.48,17.51,Median_Type,1.03,1,,,
38,01/01/2022,54,02200110000NB,24.71,24.97,Median_Type,0.26,1,,,
39,01/01/2022,54,0230009000000,0.35,2.2,Median_Type,1.85,1,,,
40,01/01/2022,54,0230009000000,4.81,6.17,Median_Type,1.36,1,,,
41,01/01/2022,54,0230009000000,6.17,6.27,Median_Type,0.1,1,,,
42,01/01/2022,54,0230009000000,6.381,6.4,Median_Type,0.019,1,,,
43,01/01/2022,54,0230009000000,6.4,6.47,Median_Type,0.07,1,,,
44,01/01/2022,54,0230009000000,6.47,7.58,Median_Type,1.11,1,,,
45,01/01/2022,54,0230009000000,7.584,9.95,Median_Type,2.366,1,,,
46,01/01/2022,54,0230009000000,10.12,10.37,Median_Type,0.25,1,,,
47,01/01/2022,54,0230009000000,10.532,10.84,Median_Type,0.308,1,,,
48,01/01/2022,54,0230009000000,10.84,10.893,Median_Type,0.053,3,,,
49,01/01/2022,54,0230009000000,10.893,11.15,Median_Type,0.257,3,,,
50,01/01/2022,54,0230009000000,11.15,11.243,Median_Type,0.093,1,,,
51,01/01/2022,54,0230009000000,14.0,14.2,Median_Type,0.2,1,,,
52,01/01/2022,54,0230009000000,14.55,14.9,Median_Type,0.35,1,,,
53,01/01/2022,54,0230009000000,15.57,15.79,Median_Type,0.22,2,,,
54,01/01/2022,54,0230009000000,15.79,16.09,Median_Type,0.3,2,,,
55,01/01/2022,54,0230009000000,17.07,17.48,Median_Type,0.41,2,,,
56,01/01/2022,54,0230009000000,18.18,20.16,Median_Type,1.98,2,,,
57,01/01/2022,54,0230045000000,13.355,13.76,Median_Type,0.405,1,,,
58,01/01/2022,54,0230045000000,14.39,14.45,Median_Type,0.06,1,,,
59,01/01/2022,54,0230045000000,14.45,14.52,Median_Type,0.07,1,,,
60,01/01/2022,54,0230045000000,14.52,14.85,Median_Type,0.33,1,,,
61,01/01/2022,54,0230045000000,14.85,15.31,Median_Type,0.46,3,,,
62,01/01/2022,54,0230045000000,17.53,18.23,Median_Type,0.7,1,,,
63,01/01/2022,54,0230045000000,19.08,19.61,Median_Type,0.53,1,,,
64,01/01/2022,54,0230051000000,1.87,2.841,Median_Type,0.971,1,,,
65,01/01/2022,54,0230051000000,2.841,4.13,Median_Type,1.289,1,,,
66,01/01/2022,54,0230051000000,4.13,4.54,Median_Type,0.41,1,,,
67,01/01/2022,54,0230051000000,4.54,4.58,Median_Type,0.04,1,,,
68,01/01/2022,54,0230051000000,4.58,4.62,Median_Type,0.04,1,,,
69,01/01/2022,54,0230051000000,4.62,5.18,Median_Type,0.56,1,,,
70,01/01/2022,54,0230051000000,5.4,8.591,Median_Type,3.191,1,,,
71,01/01/2022,54,0230901000000,4.86,5.44,Median_Type,0.58,1,,,
72,01/01/2022,54,0240001000000,8.14,9.32,Median_Type,1.18,1,,,
73,01/01/2022,54,0240005000000,5.9,7.94,Median_Type,2.04,1,,,
74,01/01/2022,54,0240009050000,1.67,3.26,Median_Type,1.59,1,,,
75,01/01/2022,54,0240009130000,0.4,1.92,Median_Type,1.52,1,,,
76,01/01/2022,54,0240009270000,0.0,0.31,Median_Type,0.31,1,,,
77,01/01/2022,54,0240010010000,0.0,0.69,Median_Type,0.69,1,,,
