,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,1.87,Median_Width,1.87,36,,,
1,01/01/2022,54,02100810000NB,0.0,1.39,Median_Width,1.39,52,,,
2,01/01/2022,54,02100810000NB,1.39,6.27,Median_Width,4.88,48,,,
3,01/01/2022,54,02100810000NB,6.27,11.63,Median_Width,5.36,99,,,
4,01/01/2022,54,02100810000NB,11.63,13.54,Median_Width,1.91,24,,,
5,01/01/2022,54,02100810000NB,13.54,14.26,Median_Width,0.72,24,,,
6,01/01/2022,54,02100810000NB,14.26,15.22,Median_Width,0.96,24,,,
7,01/01/2022,54,02100810000NB,15.22,15.62,Median_Width,0.4,24,,,
8,01/01/2022,54,02100810000NB,15.62,15.95,Median_Width,0.33,24,,,
9,01/01/2022,54,02100810000NB,15.95,16.23,Median_Width,0.28,24,,,
10,01/01/2022,54,02100810000NB,16.23,17.3,Median_Width,1.07,24,,,
11,01/01/2022,54,02100810000NB,17.3,18.13,Median_Width,0.83,24,,,
12,01/01/2022,54,02100810000NB,18.13,20.37,Median_Width,2.24,24,,,
13,01/01/2022,54,02100810000NB,20.37,23.0,Median_Width,2.63,23,,,
14,01/01/2022,54,02100810000NB,23.0,23.46,Median_Width,0.46,40,,,
15,01/01/2022,54,02100810000NB,23.46,24.53,Median_Width,1.07,21,,,
16,01/01/2022,54,02100810000NB,24.53,26.0,Median_Width,1.47,11,,,
17,01/01/2022,54,0230009000000,10.84,10.893,Median_Width,0.053,7,,,
18,01/01/2022,54,0230009000000,10.893,11.15,Median_Width,0.257,7,,,
19,01/01/2022,54,0230009000000,11.15,11.243,Median_Width,0.093,7,,,
20,01/01/2022,54,0230009000000,15.57,15.79,Median_Width,0.22,30,,,
21,01/01/2022,54,0230009000000,15.79,16.09,Median_Width,0.3,30,,,
22,01/01/2022,54,0230009000000,17.07,17.48,Median_Width,0.41,35,,,
23,01/01/2022,54,0230009000000,18.18,20.16,Median_Width,1.98,48,,,
24,01/01/2022,54,0230045000000,14.85,15.31,Median_Width,0.46,5,,,
25,01/01/2022,54,03201190000NB,0.0,2.93,Median_Width,2.93,36,,,
26,01/01/2022,54,03201190000NB,9.44,11.49,Median_Width,2.05,35,,,
27,01/01/2022,54,03201190000NB,11.49,12.36,Median_Width,0.87,29,,,
28,01/01/2022,54,03201190000NB,12.36,12.66,Median_Width,0.3,29,,,
29,01/01/2022,54,03201190000NB,12.66,12.83,Median_Width,0.17,29,,,
30,01/01/2022,54,03201190000NB,12.83,13.54,Median_Width,0.71,27,,,
31,01/01/2022,54,03201190000NB,16.97,17.83,Median_Width,0.86,33,,,
32,01/01/2022,54,04100790000NB,44.6,46.18,Median_Width,1.58,44,,,
33,01/01/2022,54,04100790000NB,46.18,46.22,Median_Width,0.04,44,,,
34,01/01/2022,54,04100790000NB,46.22,49.73,Median_Width,3.51,46,,,
35,01/01/2022,54,04100790000NB,49.73,50.35,Median_Width,0.62,37,,,
