,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,1.7,NHS,1.7,1,,,
1,01/01/2022,54,01200330000EB,1.7,3.9,NHS,2.2,1,,,
2,01/01/2022,54,01200330000EB,3.9,4.43,NHS,0.53,1,,,
3,01/01/2022,54,01200330000WB,0.0,1.7,NHS,1.7,1,,,
4,01/01/2022,54,01200330000WB,1.7,3.9,NHS,2.2,1,,,
5,01/01/2022,54,01200330000WB,3.9,4.43,NHS,0.53,1,,,
6,01/01/2022,54,02100810000NB,0.0,11.3,NHS,11.3,1,,,
7,01/01/2022,54,02100810000NB,11.3,11.4,NHS,0.1,1,,,
8,01/01/2022,54,02100810000NB,11.4,23.0,NHS,11.6,1,,,
9,01/01/2022,54,02100810000NB,23.0,23.6,NHS,0.6,1,,,
10,01/01/2022,54,02100810000NB,23.6,23.7,NHS,0.1,1,,,
11,01/01/2022,54,02100810000NB,23.7,23.8,NHS,0.1,1,,,
12,01/01/2022,54,02100810000NB,23.8,25.4,NHS,1.6,1,,,
13,01/01/2022,54,02100810000NB,25.4,25.9,NHS,0.5,1,,,
14,01/01/2022,54,02100810000NB,25.9,26.0,NHS,0.1,1,,,
15,01/01/2022,54,02100810000SB,0.0,11.3,NHS,11.3,1,,,
16,01/01/2022,54,02100810000SB,11.3,11.4,NHS,0.1,1,,,
17,01/01/2022,54,02100810000SB,11.4,23.0,NHS,11.6,1,,,
18,01/01/2022,54,02100810000SB,23.0,23.6,NHS,0.6,1,,,
19,01/01/2022,54,02100810000SB,23.6,23.7,NHS,0.1,1,,,
20,01/01/2022,54,02100810000SB,23.7,23.8,NHS,0.1,1,,,
21,01/01/2022,54,02100810000SB,23.8,25.4,NHS,1.6,1,,,
22,01/01/2022,54,02100810000SB,25.4,25.9,NHS,0.5,1,,,
23,01/01/2022,54,02100810000SB,25.9,26.0,NHS,0.1,1,,,
24,01/01/2022,54,02200110000NB,13.26,14.81,NHS,1.55,1,,,
25,01/01/2022,54,02200110000SB,13.26,14.81,NHS,1.55,1,,,
26,01/01/2022,54,0230009000000,0.0,4.81,NHS,4.81,1,,,
