,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,02200110000NB,5.24,6.05,Number_Signals,0.81,1,,,
1,01/01/2022,54,02200110000NB,14.51,14.64,Number_Signals,0.13,1,,,
2,01/01/2022,54,02200110000NB,16.48,17.51,Number_Signals,1.03,2,,,
3,01/01/2022,54,0230009000000,4.81,6.17,Number_Signals,1.36,0,,,
4,01/01/2022,54,0230009000000,6.47,7.58,Number_Signals,1.11,1,,,
5,01/01/2022,54,0230009000000,7.584,9.95,Number_Signals,2.366,1,,,
6,01/01/2022,54,0230009000000,14.0,14.2,Number_Signals,0.2,2,,,
7,01/01/2022,54,0230009000000,18.18,20.16,Number_Signals,1.98,2,,,
8,01/01/2022,54,0230045000000,14.52,14.85,Number_Signals,0.33,2,,,
9,01/01/2022,54,0230045000000,17.53,18.23,Number_Signals,0.7,1,,,
10,01/01/2022,54,0230051000000,4.62,5.18,Number_Signals,0.56,1,,,
11,01/01/2022,54,0230051000000,5.4,8.591,Number_Signals,3.191,1,,,
12,01/01/2022,54,0230901000000,4.86,5.44,Number_Signals,0.58,1,,,
13,01/01/2022,54,0240015000000,2.78,3.06,Number_Signals,0.28,1,,,
14,01/01/2022,54,0274252001900,0.0,0.64,Number_Signals,0.64,1,,,
15,01/01/2022,54,0274259001900,0.0,0.17,Number_Signals,0.17,1,,,
16,01/01/2022,54,0274259001900,0.17,0.4,Number_Signals,0.23,0,,,
17,01/01/2022,54,0274259001900,0.4,0.61,Number_Signals,0.21,0,,,
18,01/01/2022,54,0274273001900,0.0,0.11,Number_Signals,0.11,1,,,
19,01/01/2022,54,03201190000NB,11.49,12.36,Number_Signals,0.87,1,,,
20,01/01/2022,54,03201190000NB,12.36,12.66,Number_Signals,0.3,1,,,
21,01/01/2022,54,03201190000NB,12.66,12.83,Number_Signals,0.17,1,,,
22,01/01/2022,54,03201190000NB,12.83,13.54,Number_Signals,0.71,1,,,
23,01/01/2022,54,0330085000000,34.05,34.35,Number_Signals,0.3,2,,,
24,01/01/2022,54,0530002000000,3.88,6.35,Number_Signals,2.47,0,,,
25,01/01/2022,54,0530002000000,12.63,13.08,Number_Signals,0.45,1,,,
26,01/01/2022,54,0530002000000,14.83,14.9,Number_Signals,0.07,0,,,
27,01/01/2022,54,0530002000000,14.9,15.05,Number_Signals,0.15,0,,,
28,01/01/2022,54,0530002000000,15.05,15.08,Number_Signals,0.03,0,,,
29,01/01/2022,54,0530027000100,0.96,3.35,Number_Signals,2.39,0,,,
30,01/01/2022,54,0540018000000,0.0,0.55,Number_Signals,0.55,1,,,
31,01/01/2022,54,0540507000000,0.62,1.2,Number_Signals,0.58,1,,,
32,01/01/2022,54,06200600000EB,2.97,3.07,Number_Signals,0.1,1,,,
33,01/01/2022,54,06200600000EB,3.17,3.27,Number_Signals,0.1,1,,,
34,01/01/2022,54,06200600000EB,5.76,5.96,Number_Signals,0.2,1,,,
35,01/01/2022,54,06200600000EB,6.97,7.51,Number_Signals,0.54,3,,,
36,01/01/2022,54,06200600000EB,7.59,7.96,Number_Signals,0.37,1,,,
37,01/01/2022,54,06200600000EB,8.43,8.78,Number_Signals,0.35,2,,,
38,01/01/2022,54,06200600000EB,8.78,8.82,Number_Signals,0.04,2,,,
39,01/01/2022,54,06200600000EB,8.82,9.5,Number_Signals,0.68,1,,,
40,01/01/2022,54,06200600000EB,9.56,9.92,Number_Signals,0.36,1,,,
41,01/01/2022,54,06200600000EB,10.76,11.25,Number_Signals,0.49,2,,,
42,01/01/2022,54,06200600000EB,11.51,12.23,Number_Signals,0.72,2,,,
43,01/01/2022,54,06200600000EB,15.59,17.29,Number_Signals,1.7,1,,,
44,01/01/2022,54,06200600001EB,0.0,0.39,Number_Signals,0.39,1,,,
45,01/01/2022,54,0630002001300,0.0,0.17,Number_Signals,0.17,1,,,
46,01/01/2022,54,0630002001300,0.17,0.39,Number_Signals,0.22,1,,,
47,01/01/2022,54,0630010000000,15.69,15.82,Number_Signals,0.13,1,,,
48,01/01/2022,54,0630010000000,15.82,16.27,Number_Signals,0.45,1,,,
49,01/01/2022,54,0630010000000,17.21,17.37,Number_Signals,0.16,1,,,
50,01/01/2022,54,0630010000000,17.46,18.41,Number_Signals,0.95,8,,,
51,01/01/2022,54,0630101000000,0.16,0.36,Number_Signals,0.2,1,,,
52,01/01/2022,54,0630193000000,0.46,3.55,Number_Signals,3.09,1,,,
53,01/01/2022,54,0630527000000,0.89,0.98,Number_Signals,0.09,1,,,
54,01/01/2022,54,0630527000100,0.0,0.19,Number_Signals,0.19,1,,,
55,01/01/2022,54,0630527000100,0.19,0.39,Number_Signals,0.2,3,,,
56,01/01/2022,54,0640013000000,0.02,0.42,Number_Signals,0.4,2,,,
