,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,1.7,Ownership,1.7,1,,,
1,01/01/2022,54,01200330000EB,1.7,3.9,Ownership,2.2,1,,,
2,01/01/2022,54,01200330000EB,3.9,4.43,Ownership,0.53,1,,,
3,01/01/2022,54,01200330000WB,0.0,1.7,Ownership,1.7,1,,,
4,01/01/2022,54,01200330000WB,1.7,3.9,Ownership,2.2,1,,,
5,01/01/2022,54,01200330000WB,3.9,4.43,Ownership,0.53,1,,,
6,01/01/2022,54,01201190000NB,0.0,18.68,Ownership,18.68,1,,,
7,01/01/2022,54,01201190000SB,0.0,18.68,Ownership,18.68,1,,,
8,01/01/2022,54,01202500000NB,0.0,5.3,Ownership,5.3,1,,,
9,01/01/2022,54,01202500000NB,5.3,5.78,Ownership,0.48,1,,,
10,01/01/2022,54,01202500000NB,5.78,17.31,Ownership,11.53,1,,,
11,01/01/2022,54,01202500000SB,0.0,4.86,Ownership,4.86,1,,,
12,01/01/2022,54,01202500000SB,4.86,5.78,Ownership,0.92,1,,,
13,01/01/2022,54,01202500000SB,5.78,17.31,Ownership,11.53,1,,,
14,01/01/2022,54,01202500002NB,0.0,0.033,Ownership,0.033,1,,,
15,01/01/2022,54,01202500002SB,0.0,0.033,Ownership,0.033,1,,,
16,01/01/2022,54,01202500013NB,0.0,0.82,Ownership,0.82,1,,,
17,01/01/2022,54,01202500013SB,0.0,0.82,Ownership,0.82,1,,,
18,01/01/2022,54,0130020000000,0.0,3.94,Ownership,3.94,1,,,
19,01/01/2022,54,0130020000000,0.0,3.94,Ownership,3.94,1,,,
20,01/01/2022,54,0130038000000,0.0,2.7,Ownership,2.7,1,,,
21,01/01/2022,54,0130038000000,2.7,2.73,Ownership,0.03,1,,,
22,01/01/2022,54,0130038000000,2.73,12.0,Ownership,9.27,1,,,
23,01/01/2022,54,0130057000000,0.0,9.63,Ownership,9.63,1,,,
24,01/01/2022,54,0130076000000,0.0,6.62,Ownership,6.62,1,,,
25,01/01/2022,54,0130092000000,5.43,9.265,Ownership,3.835,1,,,
26,01/01/2022,54,0130092000000,9.265,11.14,Ownership,1.875,1,,,
27,01/01/2022,54,0130092000000,11.14,11.21,Ownership,0.07,1,,,
28,01/01/2022,54,0130092000000,11.21,14.565,Ownership,3.355,1,,,
29,01/01/2022,54,0130092000000,14.565,16.84,Ownership,2.275,1,,,
30,01/01/2022,54,0130092000000,17.21,26.93,Ownership,9.72,1,,,
31,01/01/2022,54,0130092000000,26.93,26.94,Ownership,0.01,1,,,
32,01/01/2022,54,0140001000000,0.0,3.96,Ownership,3.96,1,,,
33,01/01/2022,54,0140001010000,0.0,0.43,Ownership,0.43,1,,,
34,01/01/2022,54,0140001010000,0.43,4.24,Ownership,3.81,1,,,
35,01/01/2022,54,0140002000000,0.0,1.86,Ownership,1.86,1,,,
36,01/01/2022,54,0140002000000,1.86,3.43,Ownership,1.57,1,,,
37,01/01/2022,54,0140002020000,0.0,1.8,Ownership,1.8,1,,,
38,01/01/2022,54,0140002020000,1.8,3.35,Ownership,1.55,1,,,
39,01/01/2022,54,0140002030000,0.0,0.84,Ownership,0.84,1,,,
40,01/01/2022,54,0140002040000,0.0,2.74,Ownership,2.74,1,,,
41,01/01/2022,54,0140003000000,0.0,1.52,Ownership,1.52,1,,,
42,01/01/2022,54,0140003000000,1.52,3.22,Ownership,1.7,1,,,
43,01/01/2022,54,0140003010000,1.04,1.28,Ownership,0.24,1,,,
44,01/01/2022,54,0140003010000,1.28,1.7,Ownership,0.42,1,,,
45,01/01/2022,54,0140003020000,0.0,0.13,Ownership,0.13,1,,,
46,01/01/2022,54,0140003020000,1.33,1.64,Ownership,0.31,1,,,
47,01/01/2022,54,0140004000000,0.0,2.2,Ownership,2.2,1,,,
48,01/01/2022,54,0140004010000,0.0,1.17,Ownership,1.17,1,,,
49,01/01/2022,54,0140004020000,0.0,0.7,Ownership,0.7,1,,,
50,01/01/2022,54,0140004030000,0.0,0.08,Ownership,0.08,1,,,
51,01/01/2022,54,0140005000000,0.0,0.11,Ownership,0.11,1,,,
52,01/01/2022,54,0140005000000,0.11,1.5,Ownership,1.39,1,,,
53,01/01/2022,54,0140005000000,1.5,1.96,Ownership,0.46,1,,,
54,01/01/2022,54,0140005000000,1.96,3.56,Ownership,1.6,1,,,
55,01/01/2022,54,0140005010000,0.0,0.99,Ownership,0.99,1,,,
56,01/01/2022,54,0140005020000,0.0,1.46,Ownership,1.46,1,,,
57,01/01/2022,54,0140005030000,0.0,0.36,Ownership,0.36,1,,,
58,01/01/2022,54,0140005030000,0.36,0.89,Ownership,0.53,1,,,
59,01/01/2022,54,0140005040000,0.0,1.99,Ownership,1.99,1,,,
60,01/01/2022,54,0140005060000,0.0,0.79,Ownership,0.79,1,,,
61,01/01/2022,54,0140005070000,0.0,1.5,Ownership,1.5,1,,,
62,01/01/2022,54,0140005080000,0.0,1.09,Ownership,1.09,1,,,
63,01/01/2022,54,0140005080000,1.09,2.5,Ownership,1.41,1,,,
64,01/01/2022,54,0140005090000,0.0,0.85,Ownership,0.85,1,,,
65,01/01/2022,54,0140005100000,0.0,1.46,Ownership,1.46,1,,,
66,01/01/2022,54,0140005110000,0.0,0.1,Ownership,0.1,1,,,
67,01/01/2022,54,0140006000000,0.0,5.65,Ownership,5.65,1,,,
68,01/01/2022,54,0140006000000,5.65,5.78,Ownership,0.13,1,,,
69,01/01/2022,54,0140006000000,5.78,6.18,Ownership,0.4,1,,,
70,01/01/2022,54,0140006000000,6.18,6.69,Ownership,0.51,1,,,
71,01/01/2022,54,0140006030000,0.0,1.15,Ownership,1.15,1,,,
72,01/01/2022,54,0140006050000,0.0,0.18,Ownership,0.18,1,,,
73,01/01/2022,54,0140006050000,0.18,0.81,Ownership,0.63,1,,,
74,01/01/2022,54,0140006060000,0.0,1.46,Ownership,1.46,1,,,
75,01/01/2022,54,0140007000000,0.0,5.39,Ownership,5.39,1,,,
76,01/01/2022,54,0140007000000,5.39,6.98,Ownership,1.59,1,,,
77,01/01/2022,54,0140007000000,6.98,8.54,Ownership,1.56,1,,,
78,01/01/2022,54,0140007000000,8.54,11.41,Ownership,2.87,1,,,
79,01/01/2022,54,0140007020000,0.0,0.42,Ownership,0.42,1,,,
80,01/01/2022,54,0140007020000,2.54,3.25,Ownership,0.71,1,,,
81,01/01/2022,54,0140007020000,3.25,3.34,Ownership,0.09,1,,,
82,01/01/2022,54,0140007040000,0.0,0.31,Ownership,0.31,1,,,
83,01/01/2022,54,0140007040000,0.31,1.79,Ownership,1.48,1,,,
84,01/01/2022,54,0140007050000,0.0,1.17,Ownership,1.17,1,,,
85,01/01/2022,54,0140007060000,0.0,0.62,Ownership,0.62,1,,,
86,01/01/2022,54,0140007060000,0.62,1.95,Ownership,1.33,1,,,
87,01/01/2022,54,0140007060000,1.95,2.04,Ownership,0.09,1,,,
88,01/01/2022,54,0140007070000,0.09,0.48,Ownership,0.39,1,,,
89,01/01/2022,54,0140007070000,0.5,1.11,Ownership,0.61,1,,,
90,01/01/2022,54,0140007090000,0.0,0.34,Ownership,0.34,1,,,
91,01/01/2022,54,0140007100000,0.0,0.13,Ownership,0.13,1,,,
92,01/01/2022,54,0140008000000,0.0,0.35,Ownership,0.35,1,,,
93,01/01/2022,54,0140008000000,0.35,0.6,Ownership,0.25,1,,,
94,01/01/2022,54,0140008000000,0.6,1.56,Ownership,0.96,1,,,
95,01/01/2022,54,0140008000000,1.56,2.92,Ownership,1.36,1,,,
96,01/01/2022,54,0140008000000,2.92,4.15,Ownership,1.23,1,,,
97,01/01/2022,54,0140008000000,4.15,5.17,Ownership,1.02,1,,,
98,01/01/2022,54,0140008010000,0.0,0.51,Ownership,0.51,1,,,
99,01/01/2022,54,0140008010000,0.51,0.71,Ownership,0.2,1,,,
100,01/01/2022,54,0140008020000,0.0,0.34,Ownership,0.34,1,,,
101,01/01/2022,54,0140008030000,0.0,0.95,Ownership,0.95,1,,,
102,01/01/2022,54,0140008040000,0.0,1.35,Ownership,1.35,1,,,
103,01/01/2022,54,0140008040000,1.35,2.11,Ownership,0.76,1,,,
104,01/01/2022,54,0140008040000,2.11,3.53,Ownership,1.42,1,,,
105,01/01/2022,54,0140009000000,0.0,2.93,Ownership,2.93,1,,,
106,01/01/2022,54,0140009000000,2.93,2.97,Ownership,0.04,1,,,
107,01/01/2022,54,0140009000000,2.97,3.8,Ownership,0.83,1,,,
108,01/01/2022,54,0140009000000,3.8,4.75,Ownership,0.95,1,,,
109,01/01/2022,54,0140009000000,4.75,6.03,Ownership,1.28,1,,,
110,01/01/2022,54,0140009000000,6.03,8.52,Ownership,2.49,1,,,
111,01/01/2022,54,0140009000000,8.52,9.97,Ownership,1.45,1,,,
112,01/01/2022,54,0140009000000,9.97,11.1,Ownership,1.13,1,,,
113,01/01/2022,54,0140009010000,0.0,0.31,Ownership,0.31,1,,,
114,01/01/2022,54,0140009020000,0.0,1.23,Ownership,1.23,1,,,
115,01/01/2022,54,0140009030000,0.0,0.13,Ownership,0.13,1,,,
116,01/01/2022,54,0140009030000,0.13,0.23,Ownership,0.1,1,,,
117,01/01/2022,54,0140009050000,0.0,0.9,Ownership,0.9,1,,,
118,01/01/2022,54,0140009070000,0.0,1.56,Ownership,1.56,1,,,
119,01/01/2022,54,0140009080000,0.0,1.79,Ownership,1.79,1,,,
120,01/01/2022,54,0140010000000,0.55,1.96,Ownership,1.41,1,,,
