,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,1.7,PEAK_LANES,1.7,2,,,
1,01/01/2022,54,01200330000EB,1.7,1.87,PEAK_LANES,0.17,2,,,
2,01/01/2022,54,01201190000NB,6.95,9.29,PEAK_LANES,2.34,1,,,
3,01/01/2022,54,01201190000NB,10.66,11.5,PEAK_LANES,0.84,1,,,
4,01/01/2022,54,0130020000000,0.0,2.15,PEAK_LANES,2.15,1,,,
5,01/01/2022,54,0130038000000,0.43,2.43,PEAK_LANES,2.0,1,,,
6,01/01/2022,54,0130038000000,5.53,6.31,PEAK_LANES,0.78,1,,,
7,01/01/2022,54,0130076000000,1.75,6.62,PEAK_LANES,4.87,1,,,
8,01/01/2022,54,0130092000000,8.64,9.265,PEAK_LANES,0.625,1,,,
9,01/01/2022,54,0130092000000,9.265,10.73,PEAK_LANES,1.465,1,,,
10,01/01/2022,54,0140006000000,0.11,3.13,PEAK_LANES,3.02,1,,,
11,01/01/2022,54,0140010000000,7.41,8.63,PEAK_LANES,1.22,1,,,
12,01/01/2022,54,0140011000000,3.05,3.78,PEAK_LANES,0.73,1,,,
13,01/01/2022,54,0140024000000,1.64,2.79,PEAK_LANES,1.15,1,,,
14,01/01/2022,54,0140024000000,2.79,4.74,PEAK_LANES,1.95,1,,,
15,01/01/2022,54,0140030000000,6.14,6.83,PEAK_LANES,0.69,1,,,
16,01/01/2022,54,0140030070000,0.0,0.92,PEAK_LANES,0.92,1,,,
17,01/01/2022,54,0140030070000,0.92,2.0,PEAK_LANES,1.08,1,,,
18,01/01/2022,54,0140046010000,0.0,1.62,PEAK_LANES,1.62,1,,,
19,01/01/2022,54,02100810000NB,0.0,1.39,PEAK_LANES,1.39,2,,,
20,01/01/2022,54,02100810000NB,1.39,6.27,PEAK_LANES,4.88,2,,,
21,01/01/2022,54,02100810000NB,6.27,11.3,PEAK_LANES,5.03,2,,,
22,01/01/2022,54,02100810000NB,11.3,11.4,PEAK_LANES,0.1,3,,,
23,01/01/2022,54,02100810000NB,11.4,11.63,PEAK_LANES,0.23,3,,,
24,01/01/2022,54,02100810000NB,11.63,13.54,PEAK_LANES,1.91,3,,,
25,01/01/2022,54,02100810000NB,13.54,14.26,PEAK_LANES,0.72,3,,,
26,01/01/2022,54,02100810000NB,14.26,15.22,PEAK_LANES,0.96,3,,,
27,01/01/2022,54,02100810000NB,15.22,15.62,PEAK_LANES,0.4,3,,,
28,01/01/2022,54,02100810000NB,15.62,15.95,PEAK_LANES,0.33,3,,,
29,01/01/2022,54,02100810000NB,15.95,16.23,PEAK_LANES,0.28,3,,,
30,01/01/2022,54,02100810000NB,16.23,17.3,PEAK_LANES,1.07,3,,,
31,01/01/2022,54,02100810000NB,17.3,18.13,PEAK_LANES,0.83,3,,,
32,01/01/2022,54,02100810000NB,18.13,20.37,PEAK_LANES,2.24,3,,,
33,01/01/2022,54,02100810000NB,20.37,23.0,PEAK_LANES,2.63,3,,,
34,01/01/2022,54,02100810000NB,23.0,23.46,PEAK_LANES,0.46,3,,,
35,01/01/2022,54,02100810000NB,23.46,23.6,PEAK_LANES,0.14,3,,,
36,01/01/2022,54,02100810000NB,23.6,23.7,PEAK_LANES,0.1,3,,,
37,01/01/2022,54,02100810000NB,23.7,23.8,PEAK_LANES,0.1,3,,,
