,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,02200110000NB,5.24,6.05,Pct_Green_Time,0.81,75,,,
1,01/01/2022,54,02200110000NB,14.51,14.64,Pct_Green_Time,0.13,60,,,
2,01/01/2022,54,02200110000NB,16.48,17.51,Pct_Green_Time,1.03,38,,,
3,01/01/2022,54,0230009000000,6.47,7.58,Pct_Green_Time,1.11,76,,,
4,01/01/2022,54,0230009000000,7.584,9.95,Pct_Green_Time,2.366,75,,,
5,01/01/2022,54,0230009000000,14.0,14.2,Pct_Green_Time,0.2,60,,,
6,01/01/2022,54,0230009000000,18.18,20.16,Pct_Green_Time,1.98,75,,,
7,01/01/2022,54,0230045000000,14.52,14.85,Pct_Green_Time,0.33,62,,,
8,01/01/2022,54,0230045000000,17.53,18.23,Pct_Green_Time,0.7,62,,,
9,01/01/2022,54,0230051000000,4.62,5.18,Pct_Green_Time,0.56,60,,,
10,01/01/2022,54,0230051000000,5.4,8.591,Pct_Green_Time,3.191,75,,,
11,01/01/2022,54,0230901000000,4.86,5.44,Pct_Green_Time,0.58,20,,,
12,01/01/2022,54,0240015000000,2.78,3.06,Pct_Green_Time,0.28,60,,,
13,01/01/2022,54,0274252001900,0.0,0.64,Pct_Green_Time,0.64,30,,,
14,01/01/2022,54,0274259001900,0.0,0.17,Pct_Green_Time,0.17,35,,,
15,01/01/2022,54,0274273001900,0.0,0.11,Pct_Green_Time,0.11,40,,,
16,01/01/2022,54,0530002000000,12.63,13.08,Pct_Green_Time,0.45,60,,,
17,01/01/2022,54,0540018000000,0.0,0.55,Pct_Green_Time,0.55,32,,,
18,01/01/2022,54,0540507000000,0.62,1.2,Pct_Green_Time,0.58,60,,,
19,01/01/2022,54,06200600000EB,2.97,3.07,Pct_Green_Time,0.1,50,,,
20,01/01/2022,54,06200600000EB,3.17,3.27,Pct_Green_Time,0.1,50,,,
21,01/01/2022,54,06200600000EB,5.76,5.96,Pct_Green_Time,0.2,40,,,
22,01/01/2022,54,06200600000EB,6.97,7.51,Pct_Green_Time,0.54,65,,,
23,01/01/2022,54,06200600000EB,7.59,7.96,Pct_Green_Time,0.37,65,,,
24,01/01/2022,54,06200600000EB,8.43,8.78,Pct_Green_Time,0.35,70,,,
25,01/01/2022,54,06200600000EB,8.78,8.82,Pct_Green_Time,0.04,70,,,
26,01/01/2022,54,06200600000EB,8.82,9.5,Pct_Green_Time,0.68,70,,,
27,01/01/2022,54,06200600000EB,9.56,9.92,Pct_Green_Time,0.36,70,,,
28,01/01/2022,54,06200600000EB,10.76,11.25,Pct_Green_Time,0.49,65,,,
29,01/01/2022,54,06200600000EB,11.51,12.23,Pct_Green_Time,0.72,60,,,
30,01/01/2022,54,06200600000EB,15.59,17.29,Pct_Green_Time,1.7,50,,,
31,01/01/2022,54,06200600001EB,0.0,0.39,Pct_Green_Time,0.39,50,,,
32,01/01/2022,54,0630002001300,0.0,0.17,Pct_Green_Time,0.17,43,,,
33,01/01/2022,54,0630002001300,0.17,0.39,Pct_Green_Time,0.22,58,,,
34,01/01/2022,54,0630010000000,15.69,15.82,Pct_Green_Time,0.13,63,,,
35,01/01/2022,54,0630010000000,15.82,16.27,Pct_Green_Time,0.45,74,,,
36,01/01/2022,54,0630010000000,17.21,17.37,Pct_Green_Time,0.16,42,,,
37,01/01/2022,54,0630010000000,17.46,18.41,Pct_Green_Time,0.95,60,,,
38,01/01/2022,54,0630101000000,0.16,0.36,Pct_Green_Time,0.2,70,,,
39,01/01/2022,54,0630193000000,0.46,3.55,Pct_Green_Time,3.09,65,,,
40,01/01/2022,54,0630527000000,0.89,0.98,Pct_Green_Time,0.09,50,,,
41,01/01/2022,54,0630527000100,0.0,0.19,Pct_Green_Time,0.19,43,,,
42,01/01/2022,54,0630527000100,0.19,0.39,Pct_Green_Time,0.2,50,,,
43,01/01/2022,54,0640013000000,0.02,0.42,Pct_Green_Time,0.4,33,,,
44,01/01/2022,54,0640060050000,0.0,0.88,Pct_Green_Time,0.88,40,,,
45,01/01/2022,54,0640060050000,0.88,1.68,Pct_Green_Time,0.8,40,,,
46,01/01/2022,54,0673272001900,0.35,1.04,Pct_Green_Time,0.69,20,,,
47,01/01/2022,54,0673281001900,0.19,0.48,Pct_Green_Time,0.29,50,,,
48,01/01/2022,54,0673281001900,0.6,0.96,Pct_Green_Time,0.36,41,,,
49,01/01/2022,54,0673295001900,0.0,1.08,Pct_Green_Time,1.08,50,,,
50,01/01/2022,54,1030016000000,14.84,14.97,Pct_Green_Time,0.13,42,,,
51,01/01/2022,54,13202190000NB,10.01,10.2,Pct_Green_Time,0.19,60,,,
52,01/01/2022,54,13202190000NB,10.2,10.4,Pct_Green_Time,0.2,60,,,
53,01/01/2022,54,13202190000NB,10.4,10.48,Pct_Green_Time,0.08,60,,,
54,01/01/2022,54,13202190000NB,10.48,10.85,Pct_Green_Time,0.37,60,,,
55,01/01/2022,54,1340045010000,0.0,0.559,Pct_Green_Time,0.559,50,,,
56,01/01/2022,54,1530002000000,0.1,0.28,Pct_Green_Time,0.18,60,,,
57,01/01/2022,54,1530002000000,0.28,0.56,Pct_Green_Time,0.28,55,,,
58,01/01/2022,54,1530002000000,1.49,2.3,Pct_Green_Time,0.81,55,,,
59,01/01/2022,54,1530105000000,0.38,1.14,Pct_Green_Time,0.76,60,,,
60,01/01/2022,54,1530105000000,1.14,3.27,Pct_Green_Time,2.13,60,,,
61,01/01/2022,54,1530105000000,3.27,4.14,Pct_Green_Time,0.87,50,,,
62,01/01/2022,54,1530105000000,4.26,4.58,Pct_Green_Time,0.32,50,,,
63,01/01/2022,54,1540013000000,0.0,0.2,Pct_Green_Time,0.2,49,,,
64,01/01/2022,54,1540507000000,0.43,0.92,Pct_Green_Time,0.49,60,,,
65,01/01/2022,54,1540507000000,0.92,1.16,Pct_Green_Time,0.24,0,,,
66,01/01/2022,54,1540507000000,1.51,3.33,Pct_Green_Time,1.82,41,,,
67,01/01/2022,54,1577261001900,0.0,0.73,Pct_Green_Time,0.73,50,,,
68,01/01/2022,54,1577264001900,0.0,0.35,Pct_Green_Time,0.35,40,,,
69,01/01/2022,54,1577271001900,0.4,1.18,Pct_Green_Time,0.78,40,,,
70,01/01/2022,54,17200500000EB,16.27,17.7,Pct_Green_Time,1.43,55,,,
71,01/01/2022,54,17200500000EB,17.7,17.79,Pct_Green_Time,0.09,55,,,
72,01/01/2022,54,17200500000EB,18.32,18.45,Pct_Green_Time,0.13,70,,,
73,01/01/2022,54,1730020002300,0.0,0.13,Pct_Green_Time,0.13,40,,,
74,01/01/2022,54,1730098000000,0.42,1.96,Pct_Green_Time,1.54,60,,,
75,01/01/2022,54,1740050400000,0.0,0.67,Pct_Green_Time,0.67,20,,,
76,01/01/2022,54,1740050760000,0.0,0.31,Pct_Green_Time,0.31,13,,,
77,01/01/2022,54,1771759001900,0.0,0.19,Pct_Green_Time,0.19,30,,,
78,01/01/2022,54,19203400000NB,9.13,9.38,Pct_Green_Time,0.25,62,,,
79,01/01/2022,54,19203400000NB,9.38,9.55,Pct_Green_Time,0.17,62,,,
80,01/01/2022,54,19203400000NB,9.55,10.41,Pct_Green_Time,0.86,54,,,
81,01/01/2022,54,19203400000NB,10.41,11.86,Pct_Green_Time,1.45,61,,,
82,01/01/2022,54,19203400000NB,11.9,12.047,Pct_Green_Time,0.147,65,,,
83,01/01/2022,54,19203400005SB,0.0,0.17,Pct_Green_Time,0.17,72,,,
84,01/01/2022,54,19203400005SB,0.17,0.37,Pct_Green_Time,0.2,72,,,
85,01/01/2022,54,1930051000000,8.13,8.66,Pct_Green_Time,0.53,65,,,
86,01/01/2022,54,1930051000000,8.66,8.78,Pct_Green_Time,0.12,74,,,
87,01/01/2022,54,20200600000EB,2.44,2.86,Pct_Green_Time,0.42,75,,,
88,01/01/2022,54,20200600000EB,9.19,10.9,Pct_Green_Time,1.71,75,,,
89,01/01/2022,54,20200600000EB,14.84,16.0,Pct_Green_Time,1.16,65,,,
90,01/01/2022,54,20200600000EB,16.07,16.48,Pct_Green_Time,0.41,60,,,
91,01/01/2022,54,20200600000EB,18.64,20.08,Pct_Green_Time,1.44,49,,,
92,01/01/2022,54,20201190000NB,11.64,11.7,Pct_Green_Time,0.06,40,,,
93,01/01/2022,54,20201190000NB,11.7,12.9,Pct_Green_Time,1.2,40,,,
94,01/01/2022,54,20201190000NB,12.9,13.4,Pct_Green_Time,0.5,73,,,
95,01/01/2022,54,20201190000NB,13.4,13.9,Pct_Green_Time,0.5,73,,,
96,01/01/2022,54,20201190000NB,13.9,14.04,Pct_Green_Time,0.14,73,,,
97,01/01/2022,54,20201190000NB,14.22,16.28,Pct_Green_Time,2.06,50,,,
98,01/01/2022,54,20201190000NB,16.28,17.0,Pct_Green_Time,0.72,60,,,
99,01/01/2022,54,20201190000NB,17.0,17.1,Pct_Green_Time,0.1,60,,,
100,01/01/2022,54,20201190000NB,17.1,17.16,Pct_Green_Time,0.06,60,,,
101,01/01/2022,54,2030025000000,2.46,2.68,Pct_Green_Time,0.22,50,,,
102,01/01/2022,54,2030025000000,9.42,10.42,Pct_Green_Time,1.0,34,,,
103,01/01/2022,54,2030061000000,23.75,25.8,Pct_Green_Time,2.05,65,,,
104,01/01/2022,54,2030114000000,0.5,1.44,Pct_Green_Time,0.94,65,,,
105,01/01/2022,54,2030622000000,1.96,2.13,Pct_Green_Time,0.17,28,,,
106,01/01/2022,54,2030622000000,2.13,2.23,Pct_Green_Time,0.1,36,,,
107,01/01/2022,54,2030622000000,2.72,3.79,Pct_Green_Time,1.07,65,,,
108,01/01/2022,54,2040025250000,0.0,0.15,Pct_Green_Time,0.15,60,,,
109,01/01/2022,54,2040025260000,0.0,0.31,Pct_Green_Time,0.31,15,,,
110,01/01/2022,54,2040025470000,0.36,0.57,Pct_Green_Time,0.21,66,,,
111,01/01/2022,54,2040060640000,0.0,0.35,Pct_Green_Time,0.35,63,,,
112,01/01/2022,54,2040160070000,0.0,0.27,Pct_Green_Time,0.27,21,,,
113,01/01/2022,54,2071013001900,0.0,1.48,Pct_Green_Time,1.48,60,,,
114,01/01/2022,54,2071020001900,0.06,0.46,Pct_Green_Time,0.4,34,,,
115,01/01/2022,54,2071026001900,0.0,0.33,Pct_Green_Time,0.33,39,,,
116,01/01/2022,54,21200330000EB,20.19,21.03,Pct_Green_Time,0.84,60,,,
117,01/01/2022,54,2330010000000,19.41,20.39,Pct_Green_Time,0.98,46,,,
118,01/01/2022,54,2330010000000,20.39,22.05,Pct_Green_Time,1.66,51,,,
119,01/01/2022,54,2330073000000,0.31,2.15,Pct_Green_Time,1.84,75,,,
120,01/01/2022,54,25200190000NB,7.97,8.47,Pct_Green_Time,0.5,60,,,
121,01/01/2022,54,25202500000NB,2.87,3.0,Pct_Green_Time,0.13,60,,,
122,01/01/2022,54,2530310000000,9.67,10.1,Pct_Green_Time,0.43,49,,,
123,01/01/2022,54,2572520001900,1.04,1.81,Pct_Green_Time,0.77,50,,,
124,01/01/2022,54,26202500000NB,30.09,30.92,Pct_Green_Time,0.83,50,,,
125,01/01/2022,54,2630002000000,19.53,19.8,Pct_Green_Time,0.27,70,,,
126,01/01/2022,54,2640001000000,0.0,0.44,Pct_Green_Time,0.44,60,,,
127,01/01/2022,54,2640010000000,0.0,0.423,Pct_Green_Time,0.423,27,,,
128,01/01/2022,54,2640017000000,0.0,0.12,Pct_Green_Time,0.12,40,,,
129,01/01/2022,54,2730002000000,21.0,21.29,Pct_Green_Time,0.29,50,,,
130,01/01/2022,54,2730062000000,19.72,20.33,Pct_Green_Time,0.61,50,,,
131,01/01/2022,54,2730062000000,20.55,21.94,Pct_Green_Time,1.39,65,,,
132,01/01/2022,54,28200190000NB,5.34,5.4,Pct_Green_Time,0.06,40,,,
133,01/01/2022,54,28200190000NB,5.4,5.5,Pct_Green_Time,0.1,40,,,
134,01/01/2022,54,28200190000NB,5.5,6.01,Pct_Green_Time,0.51,40,,,
135,01/01/2022,54,28200190000NB,6.01,7.44,Pct_Green_Time,1.43,75,,,
136,01/01/2022,54,28200520004NB,0.0,0.22,Pct_Green_Time,0.22,63,,,
137,01/01/2022,54,28204600000EB,0.029,1.06,Pct_Green_Time,1.031,48,,,
138,01/01/2022,54,28204600000EB,2.9,3.09,Pct_Green_Time,0.19,70,,,
139,01/01/2022,54,28204600000EB,13.48,14.72,Pct_Green_Time,1.24,75,,,
140,01/01/2022,54,28204600000EB,14.72,15.15,Pct_Green_Time,0.43,70,,,
141,01/01/2022,54,2830020000000,10.32,11.4,Pct_Green_Time,1.08,55,,,
142,01/01/2022,54,2830020000000,12.05,12.78,Pct_Green_Time,0.73,45,,,
143,01/01/2022,54,2840021010000,0.0,0.89,Pct_Green_Time,0.89,43,,,
144,01/01/2022,54,2840024000000,0.0,0.3,Pct_Green_Time,0.3,31,,,
145,01/01/2022,54,2870507001900,0.66,1.54,Pct_Green_Time,0.88,34,,,
146,01/01/2022,54,2930046000000,19.82,19.94,Pct_Green_Time,0.12,50,,,
147,01/01/2022,54,31200190000NB,8.99,9.16,Pct_Green_Time,0.17,68,,,
148,01/01/2022,54,31200190000NB,11.51,12.33,Pct_Green_Time,0.82,60,,,
149,01/01/2022,54,31200190000NB,13.74,14.19,Pct_Green_Time,0.45,48,,,
150,01/01/2022,54,31200190000NB,14.8,14.98,Pct_Green_Time,0.18,40,,,
151,01/01/2022,54,31201190000NB,13.78,13.99,Pct_Green_Time,0.21,50,,,
152,01/01/2022,54,31201190000NB,13.99,14.1,Pct_Green_Time,0.11,45,,,
153,01/01/2022,54,31201190000NB,14.1,14.22,Pct_Green_Time,0.12,50,,,
154,01/01/2022,54,31201190000NB,14.42,14.62,Pct_Green_Time,0.2,50,,,
155,01/01/2022,54,31201190000NB,15.72,16.0,Pct_Green_Time,0.28,60,,,
156,01/01/2022,54,31201190000NB,16.82,17.35,Pct_Green_Time,0.53,60,,,
157,01/01/2022,54,31201190000NB,18.2,19.66,Pct_Green_Time,1.46,53,,,
158,01/01/2022,54,3130007000000,34.71,35.76,Pct_Green_Time,1.05,65,,,
159,01/01/2022,54,3130705000000,0.0,0.51,Pct_Green_Time,0.51,60,,,
160,01/01/2022,54,3130705000000,0.68,1.23,Pct_Green_Time,0.55,41,,,
161,01/01/2022,54,3130705000000,1.23,1.64,Pct_Green_Time,0.41,60,,,
162,01/01/2022,54,3130705000000,1.64,1.81,Pct_Green_Time,0.17,60,,,
163,01/01/2022,54,3140059000000,0.0,0.33,Pct_Green_Time,0.33,60,,,
164,01/01/2022,54,3140059020000,0.0,0.44,Pct_Green_Time,0.44,23,,,
165,01/01/2022,54,3140061000000,0.0,0.94,Pct_Green_Time,0.94,60,,,
166,01/01/2022,54,3140061010000,0.41,0.52,Pct_Green_Time,0.11,60,,,
167,01/01/2022,54,3140067000000,6.22,7.97,Pct_Green_Time,1.75,55,,,
168,01/01/2022,54,3140081000000,7.25,8.03,Pct_Green_Time,0.78,36,,,
169,01/01/2022,54,3140857000000,5.11,5.59,Pct_Green_Time,0.48,55,,,
170,01/01/2022,54,3174771001900,0.3,0.65,Pct_Green_Time,0.35,60,,,
171,01/01/2022,54,35200400000EB,2.83,3.24,Pct_Green_Time,0.41,60,,,
172,01/01/2022,54,35200400000EB,3.44,3.91,Pct_Green_Time,0.47,66,,,
173,01/01/2022,54,35200400000EB,4.32,5.42,Pct_Green_Time,1.1,75,,,
174,01/01/2022,54,35200400000EB,7.1,7.44,Pct_Green_Time,0.34,70,,,
175,01/01/2022,54,35202500009NB,0.0,0.68,Pct_Green_Time,0.68,24,,,
176,01/01/2022,54,35202500010SB,0.0,0.64,Pct_Green_Time,0.64,12,,,
177,01/01/2022,54,3530002000000,2.36,2.84,Pct_Green_Time,0.48,50,,,
178,01/01/2022,54,3530002000000,5.81,7.04,Pct_Green_Time,1.23,70,,,
179,01/01/2022,54,3540003000000,0.0,1.17,Pct_Green_Time,1.17,20,,,
180,01/01/2022,54,3540018010000,0.0,0.06,Pct_Green_Time,0.06,56,,,
