,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01201190000NB,6.95,9.29,Pct_Pass_Sight,2.34,9,,,
1,01/01/2022,54,01201190000NB,10.66,11.5,Pct_Pass_Sight,0.84,0,,,
2,01/01/2022,54,0130020000000,0.0,2.15,Pct_Pass_Sight,2.15,1,,,
3,01/01/2022,54,0130038000000,0.43,2.43,Pct_Pass_Sight,2.0,0,,,
4,01/01/2022,54,0130038000000,5.53,6.31,Pct_Pass_Sight,0.78,0,,,
5,01/01/2022,54,0130076000000,1.75,6.62,Pct_Pass_Sight,4.87,0,,,
6,01/01/2022,54,0130092000000,8.64,9.265,Pct_Pass_Sight,0.625,15,,,
7,01/01/2022,54,0130092000000,9.265,10.73,Pct_Pass_Sight,1.465,15,,,
8,01/01/2022,54,0140006000000,0.11,3.13,Pct_Pass_Sight,3.02,4,,,
9,01/01/2022,54,0140010000000,7.41,8.63,Pct_Pass_Sight,1.22,0,,,
10,01/01/2022,54,0140011000000,3.05,3.78,Pct_Pass_Sight,0.73,0,,,
11,01/01/2022,54,0140024000000,1.64,2.79,Pct_Pass_Sight,1.15,0,,,
12,01/01/2022,54,0140024000000,2.79,4.74,Pct_Pass_Sight,1.95,0,,,
13,01/01/2022,54,0140030000000,6.14,6.83,Pct_Pass_Sight,0.69,0,,,
14,01/01/2022,54,0140030070000,0.0,0.92,Pct_Pass_Sight,0.92,0,,,
15,01/01/2022,54,0140030070000,0.92,2.0,Pct_Pass_Sight,1.08,0,,,
16,01/01/2022,54,0140046010000,0.0,1.62,Pct_Pass_Sight,1.62,0,,,
17,01/01/2022,54,0230009000000,0.35,1.45,Pct_Pass_Sight,1.1,10,,,
18,01/01/2022,54,0230009000000,1.45,2.2,Pct_Pass_Sight,0.75,10,,,
19,01/01/2022,54,0230009000000,4.81,6.17,Pct_Pass_Sight,1.36,0,,,
20,01/01/2022,54,0230009000000,6.17,6.27,Pct_Pass_Sight,0.1,0,,,
21,01/01/2022,54,0230051000000,1.87,2.841,Pct_Pass_Sight,0.971,1,,,
22,01/01/2022,54,0240005000000,5.9,7.94,Pct_Pass_Sight,2.04,0,,,
23,01/01/2022,54,0240009050000,1.67,3.26,Pct_Pass_Sight,1.59,0,,,
24,01/01/2022,54,0330003000000,8.17,11.14,Pct_Pass_Sight,2.97,5,,,
25,01/01/2022,54,0330085000000,10.67,13.13,Pct_Pass_Sight,2.46,9,,,
26,01/01/2022,54,0330085000000,34.05,34.35,Pct_Pass_Sight,0.3,0,,,
27,01/01/2022,54,0330094000000,0.0,3.01,Pct_Pass_Sight,3.01,34,,,
28,01/01/2022,54,0330099000000,0.0,1.84,Pct_Pass_Sight,1.84,4,,,
29,01/01/2022,54,0340005000000,5.42,6.96,Pct_Pass_Sight,1.54,0,,,
30,01/01/2022,54,0340005000000,15.1,17.57,Pct_Pass_Sight,2.47,0,,,
31,01/01/2022,54,0340006000000,2.99,5.53,Pct_Pass_Sight,2.54,0,,,
32,01/01/2022,54,04200190000NB,26.57,27.56,Pct_Pass_Sight,0.99,0,,,
33,01/01/2022,54,04200190000NB,27.56,27.64,Pct_Pass_Sight,0.08,0,,,
34,01/01/2022,54,0440032000000,6.27,6.5,Pct_Pass_Sight,0.23,0,,,
35,01/01/2022,54,0530027000000,1.58,2.26,Pct_Pass_Sight,0.68,0,,,
36,01/01/2022,54,0530067000000,6.14,6.71,Pct_Pass_Sight,0.57,0,,,
37,01/01/2022,54,0630002000000,9.98,10.08,Pct_Pass_Sight,0.1,50,,,
38,01/01/2022,54,0630002000000,14.38,17.99,Pct_Pass_Sight,3.61,80,,,
39,01/01/2022,54,0640017000000,4.05,4.17,Pct_Pass_Sight,0.12,0,,,
40,01/01/2022,54,0640017000000,4.3,4.41,Pct_Pass_Sight,0.11,0,,,
41,01/01/2022,54,0640017000000,4.47,5.02,Pct_Pass_Sight,0.55,0,,,
42,01/01/2022,54,07200330000EB,0.09,2.33,Pct_Pass_Sight,2.24,0,,,
43,01/01/2022,54,07200330000EB,3.68,5.03,Pct_Pass_Sight,1.35,0,,,
44,01/01/2022,54,07200330000EB,5.59,6.2,Pct_Pass_Sight,0.61,16,,,
45,01/01/2022,54,07200330000EB,6.2,6.6,Pct_Pass_Sight,0.4,0,,,
46,01/01/2022,54,07200330000EB,6.62,8.3,Pct_Pass_Sight,1.68,0,,,
47,01/01/2022,54,07200330000EB,10.13,14.3,Pct_Pass_Sight,4.17,0,,,
48,01/01/2022,54,07200330000EB,14.3,14.86,Pct_Pass_Sight,0.56,7,,,
49,01/01/2022,54,0730005000000,12.09,12.62,Pct_Pass_Sight,0.53,0,,,
50,01/01/2022,54,0740004000000,0.0,0.67,Pct_Pass_Sight,0.67,0,,,
51,01/01/2022,54,0740011000000,6.9,7.85,Pct_Pass_Sight,0.95,0,,,
52,01/01/2022,54,0830004000000,15.75,19.01,Pct_Pass_Sight,3.26,4,,,
53,01/01/2022,54,0830004000000,21.98,22.98,Pct_Pass_Sight,1.0,32,,,
54,01/01/2022,54,0830016000000,19.19,20.35,Pct_Pass_Sight,1.16,0,,,
55,01/01/2022,54,0830036000000,2.48,4.2,Pct_Pass_Sight,1.72,15,,,
56,01/01/2022,54,0940003000000,4.14,5.77,Pct_Pass_Sight,1.63,0,,,
57,01/01/2022,54,0940011000000,11.45,12.55,Pct_Pass_Sight,1.1,0,,,
58,01/01/2022,54,10200600000EB,0.34,1.01,Pct_Pass_Sight,0.67,0,,,
59,01/01/2022,54,1030006000000,0.0,0.12,Pct_Pass_Sight,0.12,0,,,
60,01/01/2022,54,1030006000000,0.12,0.33,Pct_Pass_Sight,0.21,0,,,
61,01/01/2022,54,1030016000000,23.4,23.74,Pct_Pass_Sight,0.34,0,,,
62,01/01/2022,54,1030061000000,22.53,25.56,Pct_Pass_Sight,3.03,0,,,
63,01/01/2022,54,1040005000000,0.06,0.37,Pct_Pass_Sight,0.31,0,,,
