,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,02100810000NB,0.0,1.39,Peak_Parking,1.39,3,,,
1,01/01/2022,54,02100810000NB,1.39,6.27,Peak_Parking,4.88,3,,,
2,01/01/2022,54,02100810000NB,6.27,11.3,Peak_Parking,5.03,3,,,
3,01/01/2022,54,02100810000NB,11.3,11.4,Peak_Parking,0.1,3,,,
4,01/01/2022,54,02100810000NB,11.4,11.63,Peak_Parking,0.23,3,,,
5,01/01/2022,54,02100810000NB,11.63,13.54,Peak_Parking,1.91,3,,,
6,01/01/2022,54,02100810000NB,13.54,14.26,Peak_Parking,0.72,3,,,
7,01/01/2022,54,02100810000NB,14.26,15.22,Peak_Parking,0.96,3,,,
8,01/01/2022,54,02100810000NB,15.22,15.62,Peak_Parking,0.4,3,,,
9,01/01/2022,54,02100810000NB,15.62,15.95,Peak_Parking,0.33,3,,,
10,01/01/2022,54,02100810000NB,15.95,16.23,Peak_Parking,0.28,3,,,
11,01/01/2022,54,02100810000NB,16.23,17.3,Peak_Parking,1.07,3,,,
12,01/01/2022,54,02100810000NB,17.3,18.13,Peak_Parking,0.83,3,,,
13,01/01/2022,54,02100810000NB,18.13,20.37,Peak_Parking,2.24,3,,,
14,01/01/2022,54,02100810000NB,20.37,23.0,Peak_Parking,2.63,3,,,
15,01/01/2022,54,02100810000NB,23.0,23.46,Peak_Parking,0.46,3,,,
16,01/01/2022,54,02100810000NB,23.46,23.6,Peak_Parking,0.14,3,,,
17,01/01/2022,54,02100810000NB,23.6,23.7,Peak_Parking,0.1,3,,,
18,01/01/2022,54,02100810000NB,23.7,23.8,Peak_Parking,0.1,3,,,
19,01/01/2022,54,02100810000NB,23.8,24.53,Peak_Parking,0.73,3,,,
20,01/01/2022,54,02100810000NB,24.53,25.4,Peak_Parking,0.87,3,,,
21,01/01/2022,54,02100810000NB,25.4,25.9,Peak_Parking,0.5,3,,,
22,01/01/2022,54,02100810000NB,25.9,26.0,Peak_Parking,0.1,3,,,
