,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,4.43,Route_Number,4.43,33,33E,,
1,01/01/2022,54,01200330000WB,0.0,4.43,Route_Number,4.43,33,33W,,
2,01/01/2022,54,01201190000NB,0.0,9.29,Route_Number,9.29,119,119N,,
3,01/01/2022,54,01201190000NB,9.29,11.61,Route_Number,2.32,119,119N,,
4,01/01/2022,54,01201190000NB,11.61,18.68,Route_Number,7.07,119,119N,,
5,01/01/2022,54,01201190000SB,0.0,9.29,Route_Number,9.29,119,119S,,
6,01/01/2022,54,01201190000SB,9.29,11.61,Route_Number,2.32,119,119S,,
7,01/01/2022,54,01201190000SB,11.61,18.68,Route_Number,7.07,119,119S,,
8,01/01/2022,54,01202500000NB,0.0,5.3,Route_Number,5.3,250,250N,,
9,01/01/2022,54,01202500000NB,5.3,5.78,Route_Number,0.48,250,250N,,
10,01/01/2022,54,01202500000NB,5.78,17.15,Route_Number,11.37,250,250N,,
11,01/01/2022,54,01202500000NB,17.15,17.31,Route_Number,0.16,250,250N,,
12,01/01/2022,54,01202500000SB,0.0,4.86,Route_Number,4.86,250,250S,,
13,01/01/2022,54,01202500000SB,4.86,5.78,Route_Number,0.92,250,250S,,
14,01/01/2022,54,01202500000SB,5.78,17.15,Route_Number,11.37,250,250S,,
15,01/01/2022,54,01202500000SB,17.15,17.31,Route_Number,0.16,250,250S,,
16,01/01/2022,54,01202500002NB,0.0,0.033,Route_Number,0.033,250,250N,,
17,01/01/2022,54,01202500002SB,0.0,0.033,Route_Number,0.033,250,250S,,
18,01/01/2022,54,01202500013NB,0.0,0.82,Route_Number,0.82,250,250N,,
19,01/01/2022,54,01202500013SB,0.0,0.82,Route_Number,0.82,250,250S,,
20,01/01/2022,54,0130020000000,0.0,3.94,Route_Number,3.94,20,,,
21,01/01/2022,54,0130038000000,0.0,2.7,Route_Number,2.7,38,,,
22,01/01/2022,54,0130038000000,2.7,2.73,Route_Number,0.03,38,,,
23,01/01/2022,54,0130038000000,2.73,12.0,Route_Number,9.27,38,,,
24,01/01/2022,54,0130057000000,0.0,9.63,Route_Number,9.63,57,,,
25,01/01/2022,54,0130076000000,0.0,6.62,Route_Number,6.62,76,,,
26,01/01/2022,54,0130092000000,5.43,9.265,Route_Number,3.835,92,,,
27,01/01/2022,54,0130092000000,9.265,11.14,Route_Number,1.875,92,,,
28,01/01/2022,54,0130092000000,11.14,11.21,Route_Number,0.07,92,,,
29,01/01/2022,54,0130092000000,11.21,14.565,Route_Number,3.355,92,,,
30,01/01/2022,54,0130092000000,14.565,16.84,Route_Number,2.275,92,,,
31,01/01/2022,54,0130092000000,17.21,26.93,Route_Number,9.72,92,,,
32,01/01/2022,54,0130092000000,26.93,26.94,Route_Number,0.01,92,,,
33,01/01/2022,54,0140001000000,0.0,3.96,Route_Number,3.96,1,,,
34,01/01/2022,54,0140001010000,0.0,0.43,Route_Number,0.43,101,1/01,,
35,01/01/2022,54,0140001010000,0.43,4.24,Route_Number,3.81,101,1/01,,
36,01/01/2022,54,0140002000000,0.0,1.86,Route_Number,1.86,2,,,
37,01/01/2022,54,0140002000000,1.86,3.43,Route_Number,1.57,2,,,
38,01/01/2022,54,0140002020000,0.0,1.8,Route_Number,1.8,202,2/02,,
39,01/01/2022,54,0140002020000,1.8,3.35,Route_Number,1.55,202,2/02,,
40,01/01/2022,54,0140002030000,0.0,0.84,Route_Number,0.84,203,2/03,,
41,01/01/2022,54,0140002040000,0.0,2.74,Route_Number,2.74,204,2/04,,
42,01/01/2022,54,0140003000000,0.0,1.52,Route_Number,1.52,3,,,
43,01/01/2022,54,0140003000000,1.52,3.22,Route_Number,1.7,3,,,
44,01/01/2022,54,0140003010000,1.04,1.28,Route_Number,0.24,301,3/01,,
45,01/01/2022,54,0140003010000,1.28,1.7,Route_Number,0.42,301,3/01,,
46,01/01/2022,54,0140003020000,0.0,0.13,Route_Number,0.13,302,3/02,,
47,01/01/2022,54,0140003020000,1.33,1.64,Route_Number,0.31,302,3/02,,
48,01/01/2022,54,0140004000000,0.0,2.2,Route_Number,2.2,4,,,
49,01/01/2022,54,0140004010000,0.0,1.17,Route_Number,1.17,401,4/01,,
50,01/01/2022,54,0140004020000,0.0,0.7,Route_Number,0.7,402,4/02,,
51,01/01/2022,54,0140004030000,0.0,0.08,Route_Number,0.08,403,4/03,,
52,01/01/2022,54,0140005000000,0.0,0.11,Route_Number,0.11,5,,,
53,01/01/2022,54,0140005000000,0.11,1.5,Route_Number,1.39,5,,,
54,01/01/2022,54,0140005000000,1.5,1.96,Route_Number,0.46,5,,,
55,01/01/2022,54,0140005000000,1.96,3.56,Route_Number,1.6,5,,,
56,01/01/2022,54,0140005010000,0.0,0.99,Route_Number,0.99,501,5/01,,
57,01/01/2022,54,0140005020000,0.0,1.46,Route_Number,1.46,502,5/02,,
58,01/01/2022,54,0140005030000,0.0,0.36,Route_Number,0.36,503,5/03,,
59,01/01/2022,54,0140005030000,0.36,0.89,Route_Number,0.53,503,5/03,,
60,01/01/2022,54,0140005040000,0.0,1.99,Route_Number,1.99,504,5/04,,
61,01/01/2022,54,0140005060000,0.0,0.79,Route_Number,0.79,506,5/06,,
62,01/01/2022,54,0140005070000,0.0,1.5,Route_Number,1.5,507,5/07,,
63,01/01/2022,54,0140005080000,0.0,1.09,Route_Number,1.09,508,5/08,,
64,01/01/2022,54,0140005080000,1.09,2.5,Route_Number,1.41,508,5/08,,
65,01/01/2022,54,0140005090000,0.0,0.85,Route_Number,0.85,509,5/09,,
66,01/01/2022,54,0140005100000,0.0,1.46,Route_Number,1.46,510,5/10,,
67,01/01/2022,54,0140005110000,0.0,0.1,Route_Number,0.1,511,5/11,,
68,01/01/2022,54,0140006000000,0.0,5.65,Route_Number,5.65,6,,,
69,01/01/2022,54,0140006000000,5.65,5.78,Route_Number,0.13,6,,,
70,01/01/2022,54,0140006000000,5.78,6.18,Route_Number,0.4,6,,,
71,01/01/2022,54,0140006000000,6.18,6.69,Route_Number,0.51,6,,,
72,01/01/2022,54,0140006030000,0.0,1.15,Route_Number,1.15,603,6/03,,
73,01/01/2022,54,0140006050000,0.0,0.18,Route_Number,0.18,605,6/05,,
74,01/01/2022,54,0140006050000,0.18,0.81,Route_Number,0.63,605,6/05,,
75,01/01/2022,54,0140006060000,0.0,1.46,Route_Number,1.46,606,6/06,,
76,01/01/2022,54,0140007000000,0.0,5.39,Route_Number,5.39,7,,,
77,01/01/2022,54,0140007000000,5.39,6.98,Route_Number,1.59,7,,,
78,01/01/2022,54,0140007000000,6.98,8.54,Route_Number,1.56,7,,,
79,01/01/2022,54,0140007000000,8.54,11.41,Route_Number,2.87,7,,,
80,01/01/2022,54,0140007020000,0.0,0.42,Route_Number,0.42,702,7/02,,
81,01/01/2022,54,0140007020000,2.54,3.25,Route_Number,0.71,702,7/02,,
82,01/01/2022,54,0140007020000,3.25,3.34,Route_Number,0.09,702,7/02,,
83,01/01/2022,54,0140007040000,0.0,0.31,Route_Number,0.31,704,7/04,,
84,01/01/2022,54,0140007040000,0.31,1.79,Route_Number,1.48,704,7/04,,
85,01/01/2022,54,0140007050000,0.0,1.17,Route_Number,1.17,705,7/05,,
86,01/01/2022,54,0140007060000,0.0,0.62,Route_Number,0.62,706,7/06,,
87,01/01/2022,54,0140007060000,0.62,1.95,Route_Number,1.33,706,7/06,,
88,01/01/2022,54,0140007060000,1.95,2.04,Route_Number,0.09,706,7/06,,
89,01/01/2022,54,0140007070000,0.09,0.48,Route_Number,0.39,707,7/07,,
90,01/01/2022,54,0140007070000,0.5,1.11,Route_Number,0.61,707,7/07,,
91,01/01/2022,54,0140007090000,0.0,0.34,Route_Number,0.34,709,7/09,,
92,01/01/2022,54,0140007100000,0.0,0.13,Route_Number,0.13,710,7/10,,
93,01/01/2022,54,0140008000000,0.0,0.35,Route_Number,0.35,8,,,
