,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,4.43,Route_Signing,4.43,3,,,
1,01/01/2022,54,01201190000NB,0.0,9.29,Route_Signing,9.29,3,,,
2,01/01/2022,54,01201190000NB,9.29,11.61,Route_Signing,2.32,3,,,
3,01/01/2022,54,01201190000NB,11.61,18.68,Route_Signing,7.07,3,,,
4,01/01/2022,54,01202500000NB,0.0,5.3,Route_Signing,5.3,3,,,
5,01/01/2022,54,01202500000NB,5.3,5.78,Route_Signing,0.48,3,,,
6,01/01/2022,54,01202500000NB,5.78,17.15,Route_Signing,11.37,3,,,
7,01/01/2022,54,01202500000NB,17.15,17.31,Route_Signing,0.16,3,,,
8,01/01/2022,54,01202500002NB,0.0,0.033,Route_Signing,0.033,3,,,
9,01/01/2022,54,01202500013NB,0.0,0.82,Route_Signing,0.82,3,,,
10,01/01/2022,54,0130020000000,0.0,3.94,Route_Signing,3.94,4,,,
11,01/01/2022,54,0130038000000,0.0,2.7,Route_Signing,2.7,4,,,
12,01/01/2022,54,0130038000000,2.7,2.73,Route_Signing,0.03,4,,,
13,01/01/2022,54,0130038000000,2.73,12.0,Route_Signing,9.27,4,,,
14,01/01/2022,54,0130057000000,0.0,9.63,Route_Signing,9.63,4,,,
15,01/01/2022,54,0130076000000,0.0,6.62,Route_Signing,6.62,4,,,
16,01/01/2022,54,0130092000000,5.43,9.265,Route_Signing,3.835,4,,,
17,01/01/2022,54,0130092000000,9.265,11.14,Route_Signing,1.875,4,,,
18,01/01/2022,54,0130092000000,11.14,11.21,Route_Signing,0.07,4,,,
19,01/01/2022,54,0130092000000,11.21,14.565,Route_Signing,3.355,4,,,
20,01/01/2022,54,0130092000000,14.565,16.84,Route_Signing,2.275,4,,,
21,01/01/2022,54,0130092000000,17.21,26.93,Route_Signing,9.72,4,,,
22,01/01/2022,54,0130092000000,26.93,26.94,Route_Signing,0.01,4,,,
23,01/01/2022,54,0140001000000,0.0,3.96,Route_Signing,3.96,6,,,
24,01/01/2022,54,0140001010000,0.0,0.43,Route_Signing,0.43,6,,,
25,01/01/2022,54,0140001010000,0.43,4.24,Route_Signing,3.81,6,,,
26,01/01/2022,54,0140002000000,0.0,1.86,Route_Signing,1.86,6,,,
27,01/01/2022,54,0140002000000,1.86,3.43,Route_Signing,1.57,6,,,
28,01/01/2022,54,0140002020000,0.0,1.8,Route_Signing,1.8,6,,,
29,01/01/2022,54,0140002020000,1.8,3.35,Route_Signing,1.55,6,,,
30,01/01/2022,54,0140002030000,0.0,0.84,Route_Signing,0.84,6,,,
31,01/01/2022,54,0140002040000,0.0,2.74,Route_Signing,2.74,6,,,
32,01/01/2022,54,0140003000000,0.0,1.52,Route_Signing,1.52,6,,,
33,01/01/2022,54,0140003000000,1.52,3.22,Route_Signing,1.7,6,,,
34,01/01/2022,54,0140003010000,1.04,1.28,Route_Signing,0.24,6,,,
35,01/01/2022,54,0140003010000,1.28,1.7,Route_Signing,0.42,6,,,
36,01/01/2022,54,0140003020000,0.0,0.13,Route_Signing,0.13,6,,,
37,01/01/2022,54,0140003020000,1.33,1.64,Route_Signing,0.31,6,,,
38,01/01/2022,54,0140004000000,0.0,2.2,Route_Signing,2.2,6,,,
39,01/01/2022,54,0140004010000,0.0,1.17,Route_Signing,1.17,6,,,
40,01/01/2022,54,0140004020000,0.0,0.7,Route_Signing,0.7,6,,,
41,01/01/2022,54,0140004030000,0.0,0.08,Route_Signing,0.08,6,,,
42,01/01/2022,54,0140005000000,0.0,0.11,Route_Signing,0.11,6,,,
43,01/01/2022,54,0140005000000,0.11,1.5,Route_Signing,1.39,6,,,
44,01/01/2022,54,0140005000000,1.5,1.96,Route_Signing,0.46,6,,,
45,01/01/2022,54,0140005000000,1.96,3.56,Route_Signing,1.6,6,,,
46,01/01/2022,54,0140005010000,0.0,0.99,Route_Signing,0.99,6,,,
47,01/01/2022,54,0140005020000,0.0,1.46,Route_Signing,1.46,6,,,
48,01/01/2022,54,0140005030000,0.0,0.36,Route_Signing,0.36,6,,,
49,01/01/2022,54,0140005030000,0.36,0.89,Route_Signing,0.53,6,,,
50,01/01/2022,54,0140005040000,0.0,1.99,Route_Signing,1.99,6,,,
51,01/01/2022,54,0140005060000,0.0,0.79,Route_Signing,0.79,6,,,
52,01/01/2022,54,0140005070000,0.0,1.5,Route_Signing,1.5,6,,,
53,01/01/2022,54,0140005080000,0.0,1.09,Route_Signing,1.09,6,,,
54,01/01/2022,54,0140005080000,1.09,2.5,Route_Signing,1.41,6,,,
55,01/01/2022,54,0140005090000,0.0,0.85,Route_Signing,0.85,6,,,
56,01/01/2022,54,0140005100000,0.0,1.46,Route_Signing,1.46,6,,,
57,01/01/2022,54,0140005110000,0.0,0.1,Route_Signing,0.1,6,,,
58,01/01/2022,54,0140006000000,0.0,5.65,Route_Signing,5.65,6,,,
59,01/01/2022,54,0140006000000,5.65,5.78,Route_Signing,0.13,6,,,
60,01/01/2022,54,0140006000000,5.78,6.18,Route_Signing,0.4,6,,,
61,01/01/2022,54,0140006000000,6.18,6.69,Route_Signing,0.51,6,,,
62,01/01/2022,54,0140006030000,0.0,1.15,Route_Signing,1.15,6,,,
63,01/01/2022,54,0140006050000,0.0,0.18,Route_Signing,0.18,6,,,
64,01/01/2022,54,0140006050000,0.18,0.81,Route_Signing,0.63,6,,,
65,01/01/2022,54,0140006060000,0.0,1.46,Route_Signing,1.46,6,,,
66,01/01/2022,54,0140007000000,0.0,5.39,Route_Signing,5.39,6,,,
67,01/01/2022,54,0140007000000,5.39,6.98,Route_Signing,1.59,6,,,
68,01/01/2022,54,0140007000000,6.98,8.54,Route_Signing,1.56,6,,,
69,01/01/2022,54,0140007000000,8.54,11.41,Route_Signing,2.87,6,,,
70,01/01/2022,54,0140007020000,0.0,0.42,Route_Signing,0.42,6,,,
71,01/01/2022,54,0140007020000,2.54,3.25,Route_Signing,0.71,6,,,
72,01/01/2022,54,0140007020000,3.25,3.34,Route_Signing,0.09,6,,,
73,01/01/2022,54,0140007040000,0.0,0.31,Route_Signing,0.31,6,,,
74,01/01/2022,54,0140007040000,0.31,1.79,Route_Signing,1.48,6,,,
75,01/01/2022,54,0140007050000,0.0,1.17,Route_Signing,1.17,6,,,
76,01/01/2022,54,0140007060000,0.0,0.62,Route_Signing,0.62,6,,,
