,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,1.87,SHOULDER_WIDTH_L,1.87,5,,,
1,01/01/2022,54,01201190000NB,6.95,9.29,SHOULDER_WIDTH_L,2.34,0,,,
2,01/01/2022,54,01201190000NB,10.66,11.5,SHOULDER_WIDTH_L,0.84,0,,,
3,01/01/2022,54,0130020000000,0.0,2.15,SHOULDER_WIDTH_L,2.15,0,,,
4,01/01/2022,54,0130038000000,0.43,2.43,SHOULDER_WIDTH_L,2.0,0,,,
5,01/01/2022,54,0130038000000,5.53,6.31,SHOULDER_WIDTH_L,0.78,0,,,
6,01/01/2022,54,0130076000000,1.75,6.62,SHOULDER_WIDTH_L,4.87,0,,,
7,01/01/2022,54,0130092000000,8.64,9.265,SHOULDER_WIDTH_L,0.625,0,,,
8,01/01/2022,54,0130092000000,9.265,10.73,SHOULDER_WIDTH_L,1.465,0,,,
9,01/01/2022,54,0140006000000,0.11,3.13,SHOULDER_WIDTH_L,3.02,0,,,
10,01/01/2022,54,0140010000000,7.41,8.63,SHOULDER_WIDTH_L,1.22,0,,,
11,01/01/2022,54,0140011000000,3.05,3.78,SHOULDER_WIDTH_L,0.73,0,,,
12,01/01/2022,54,0140024000000,1.64,2.79,SHOULDER_WIDTH_L,1.15,0,,,
13,01/01/2022,54,0140024000000,2.79,4.74,SHOULDER_WIDTH_L,1.95,0,,,
14,01/01/2022,54,0140030000000,6.14,6.83,SHOULDER_WIDTH_L,0.69,0,,,
15,01/01/2022,54,0140030070000,0.0,0.92,SHOULDER_WIDTH_L,0.92,0,,,
16,01/01/2022,54,0140030070000,0.92,2.0,SHOULDER_WIDTH_L,1.08,0,,,
17,01/01/2022,54,0140046010000,0.0,1.62,SHOULDER_WIDTH_L,1.62,0,,,
18,01/01/2022,54,02100810000NB,0.0,1.39,SHOULDER_WIDTH_L,1.39,6,,,
19,01/01/2022,54,02100810000NB,1.39,6.27,SHOULDER_WIDTH_L,4.88,6,,,
20,01/01/2022,54,02100810000NB,6.27,11.63,SHOULDER_WIDTH_L,5.36,6,,,
21,01/01/2022,54,02100810000NB,11.63,13.54,SHOULDER_WIDTH_L,1.91,10,,,
22,01/01/2022,54,02100810000NB,13.54,14.26,SHOULDER_WIDTH_L,0.72,10,,,
23,01/01/2022,54,02100810000NB,14.26,15.22,SHOULDER_WIDTH_L,0.96,10,,,
24,01/01/2022,54,02100810000NB,15.22,15.62,SHOULDER_WIDTH_L,0.4,10,,,
25,01/01/2022,54,02100810000NB,15.62,15.95,SHOULDER_WIDTH_L,0.33,10,,,
26,01/01/2022,54,02100810000NB,15.95,16.23,SHOULDER_WIDTH_L,0.28,10,,,
27,01/01/2022,54,02100810000NB,16.23,17.3,SHOULDER_WIDTH_L,1.07,10,,,
28,01/01/2022,54,02100810000NB,17.3,18.13,SHOULDER_WIDTH_L,0.83,10,,,
29,01/01/2022,54,02100810000NB,18.13,20.37,SHOULDER_WIDTH_L,2.24,10,,,
30,01/01/2022,54,02100810000NB,20.37,23.0,SHOULDER_WIDTH_L,2.63,10,,,
31,01/01/2022,54,02100810000NB,23.0,23.46,SHOULDER_WIDTH_L,0.46,20,,,
32,01/01/2022,54,02100810000NB,23.46,24.53,SHOULDER_WIDTH_L,1.07,8,,,
33,01/01/2022,54,02100810000NB,24.53,26.0,SHOULDER_WIDTH_L,1.47,2,,,
34,01/01/2022,54,02200110000NB,5.24,6.05,SHOULDER_WIDTH_L,0.81,0,,,
35,01/01/2022,54,02200110000NB,13.65,13.78,SHOULDER_WIDTH_L,0.13,0,,,
36,01/01/2022,54,02200110000NB,14.51,14.64,SHOULDER_WIDTH_L,0.13,0,,,
37,01/01/2022,54,02200110000NB,16.48,17.51,SHOULDER_WIDTH_L,1.03,0,,,
38,01/01/2022,54,02200110000NB,24.71,24.97,SHOULDER_WIDTH_L,0.26,0,,,
39,01/01/2022,54,0230009000000,0.35,2.2,SHOULDER_WIDTH_L,1.85,0,,,
40,01/01/2022,54,0230009000000,4.81,6.17,SHOULDER_WIDTH_L,1.36,2,,,
41,01/01/2022,54,0230009000000,6.17,6.27,SHOULDER_WIDTH_L,0.1,0,,,
42,01/01/2022,54,0230009000000,6.381,6.4,SHOULDER_WIDTH_L,0.019,2,,,
43,01/01/2022,54,0230009000000,6.4,6.47,SHOULDER_WIDTH_L,0.07,2,,,
44,01/01/2022,54,0230009000000,6.47,7.58,SHOULDER_WIDTH_L,1.11,0,,,
45,01/01/2022,54,0230009000000,7.584,9.95,SHOULDER_WIDTH_L,2.366,0,,,
46,01/01/2022,54,0230009000000,10.12,10.37,SHOULDER_WIDTH_L,0.25,0,,,
47,01/01/2022,54,0230009000000,10.532,10.84,SHOULDER_WIDTH_L,0.308,0,,,
48,01/01/2022,54,0230009000000,10.84,10.893,SHOULDER_WIDTH_L,0.053,1,,,
49,01/01/2022,54,0230009000000,10.893,11.15,SHOULDER_WIDTH_L,0.257,1,,,
50,01/01/2022,54,0230009000000,14.0,14.2,SHOULDER_WIDTH_L,0.2,0,,,
51,01/01/2022,54,0230009000000,14.55,14.9,SHOULDER_WIDTH_L,0.35,0,,,
52,01/01/2022,54,0230009000000,15.57,15.79,SHOULDER_WIDTH_L,0.22,4,,,
53,01/01/2022,54,0230009000000,15.79,16.09,SHOULDER_WIDTH_L,0.3,4,,,
