,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,1.87,SHOULDER_WIDTH_R,1.87,11,,,
1,01/01/2022,54,01201190000NB,6.95,9.29,SHOULDER_WIDTH_R,2.34,4,,,
2,01/01/2022,54,01201190000NB,10.66,11.5,SHOULDER_WIDTH_R,0.84,2,,,
3,01/01/2022,54,0130020000000,0.0,2.15,SHOULDER_WIDTH_R,2.15,4,,,
4,01/01/2022,54,0130038000000,0.43,2.43,SHOULDER_WIDTH_R,2.0,7,,,
5,01/01/2022,54,0130038000000,5.53,6.31,SHOULDER_WIDTH_R,0.78,4,,,
6,01/01/2022,54,0130076000000,1.75,6.62,SHOULDER_WIDTH_R,4.87,3,,,
7,01/01/2022,54,0130092000000,8.64,9.265,SHOULDER_WIDTH_R,0.625,4,,,
8,01/01/2022,54,0130092000000,9.265,10.73,SHOULDER_WIDTH_R,1.465,4,,,
9,01/01/2022,54,0140006000000,0.11,3.13,SHOULDER_WIDTH_R,3.02,2,,,
10,01/01/2022,54,0140010000000,7.41,8.63,SHOULDER_WIDTH_R,1.22,0,,,
11,01/01/2022,54,0140011000000,3.05,3.78,SHOULDER_WIDTH_R,0.73,4,,,
12,01/01/2022,54,0140024000000,1.64,2.79,SHOULDER_WIDTH_R,1.15,0,,,
13,01/01/2022,54,0140024000000,2.79,4.74,SHOULDER_WIDTH_R,1.95,2,,,
14,01/01/2022,54,0140030000000,6.14,6.83,SHOULDER_WIDTH_R,0.69,2,,,
15,01/01/2022,54,0140030070000,0.0,0.92,SHOULDER_WIDTH_R,0.92,2,,,
16,01/01/2022,54,0140030070000,0.92,2.0,SHOULDER_WIDTH_R,1.08,2,,,
17,01/01/2022,54,0140046010000,0.0,1.62,SHOULDER_WIDTH_R,1.62,1,,,
18,01/01/2022,54,02100810000NB,0.0,1.39,SHOULDER_WIDTH_R,1.39,11,,,
19,01/01/2022,54,02100810000NB,1.39,6.27,SHOULDER_WIDTH_R,4.88,10,,,
20,01/01/2022,54,02100810000NB,6.27,11.63,SHOULDER_WIDTH_R,5.36,10,,,
21,01/01/2022,54,02100810000NB,11.63,13.54,SHOULDER_WIDTH_R,1.91,11,,,
22,01/01/2022,54,02100810000NB,13.54,14.26,SHOULDER_WIDTH_R,0.72,12,,,
23,01/01/2022,54,02100810000NB,14.26,15.22,SHOULDER_WIDTH_R,0.96,10,,,
24,01/01/2022,54,02100810000NB,15.22,15.62,SHOULDER_WIDTH_R,0.4,10,,,
25,01/01/2022,54,02100810000NB,15.62,15.95,SHOULDER_WIDTH_R,0.33,8,,,
26,01/01/2022,54,02100810000NB,15.95,16.23,SHOULDER_WIDTH_R,0.28,8,,,
27,01/01/2022,54,02100810000NB,16.23,17.3,SHOULDER_WIDTH_R,1.07,10,,,
28,01/01/2022,54,02100810000NB,17.3,18.13,SHOULDER_WIDTH_R,0.83,10,,,
29,01/01/2022,54,02100810000NB,18.13,20.37,SHOULDER_WIDTH_R,2.24,10,,,
