,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,2022,54,17200500000WB,0.0,18.25,STRAHNET_Type,18.25,1,,,
1,2022,54,35100700000EB,0.0,14.45,STRAHNET_Type,14.45,1,,,
2,2022,54,44100790000NB,21.28,36.0,STRAHNET_Type,14.72,1,,,
3,2022,54,31100680006EB,0.0,0.89,STRAHNET_Type,0.89,1,,,
4,2022,54,40100640000WB,31.77,45.39,STRAHNET_Type,13.62,1,,,
5,2022,54,10100770016SB,52.58,67.21,STRAHNET_Type,14.63,1,,,
6,2022,54,31100680004NB,0.0,0.84,STRAHNET_Type,0.84,1,,,
7,2022,54,11100790000NB,83.15,83.55,STRAHNET_Type,0.4,1,,,
8,2022,54,44100790000SB,21.28,36.0,STRAHNET_Type,14.72,1,,,
9,2022,54,17100790000NB,106.42,129.22,STRAHNET_Type,22.8,1,,,
10,2022,54,09200500000EB,0.0,18.87,STRAHNET_Type,18.87,1,,,
11,2022,54,54100770000NB,156.99,187.21,STRAHNET_Type,30.22,1,,,
12,2022,54,21100790000SB,83.55,106.42,STRAHNET_Type,22.87,1,,,
13,2022,54,06100640000WB,5.87,31.77,STRAHNET_Type,25.9,1,,,
14,2022,54,43200500000EB,0.0,20.95,STRAHNET_Type,20.95,1,,,
15,2022,54,31100680000EB,0.0,14.66,STRAHNET_Type,14.66,1,,,
16,2022,54,50100640000EB,0.0,5.87,STRAHNET_Type,5.87,1,,,
17,2022,54,31100680005SB,0.0,1.14,STRAHNET_Type,1.14,1,,,
18,2022,54,20100770016SB,67.21,95.34,STRAHNET_Type,28.13,1,,,
19,2022,54,20100770000NB,95.34,117.5,STRAHNET_Type,22.16,1,,,
20,2022,54,41100640000WB,120.1,138.01,STRAHNET_Type,17.91,1,,,
21,2022,54,35104700000EB,0.0,3.94,STRAHNET_Type,3.94,1,,,
22,2022,54,41100770016SB,27.26,52.58,STRAHNET_Type,25.32,1,,,
23,2022,54,20100640006EB,0.0,0.3,STRAHNET_Type,0.3,1,,,
24,2022,54,09200500000WB,0.0,18.87,STRAHNET_Type,18.87,1,,,
25,2022,54,17200500000EB,0.0,18.25,STRAHNET_Type,18.25,1,,,
26,2022,54,45100640000EB,138.01,147.6,STRAHNET_Type,9.59,1,,,
27,2022,54,40100640000EB,31.77,45.39,STRAHNET_Type,13.62,1,,,
28,2022,54,28100770000NB,0.0,8.98,STRAHNET_Type,8.98,1,,,
29,2022,54,18100770000NB,117.5,156.99,STRAHNET_Type,39.49,1,,,
30,2022,54,02100810000SB,0.0,26.0,STRAHNET_Type,26.0,1,,,
31,2022,54,20100790000SB,0.0,21.28,STRAHNET_Type,21.28,1,,,
32,2022,54,13100640000WB,147.6,184.02,STRAHNET_Type,36.42,1,,,
33,2022,54,25100790000SB,129.22,142.37,STRAHNET_Type,13.15,1,,,
34,2022,54,41100640007WB,0.0,0.45,STRAHNET_Type,0.45,1,,,
35,2022,54,28100770000SB,0.0,8.98,STRAHNET_Type,8.98,1,,,
36,2022,54,10100770016NB,52.58,67.21,STRAHNET_Type,14.63,1,,,
37,2022,54,54100770000SB,156.99,187.21,STRAHNET_Type,30.22,1,,,
38,2022,54,41100640017WB,0.0,0.82,STRAHNET_Type,0.82,1,,,
39,2022,54,41100640000EB,117.93,138.01,STRAHNET_Type,20.08,1,,,
40,2022,54,45100640000WB,138.01,147.6,STRAHNET_Type,9.59,1,,,
41,2022,54,39100680000WB,14.66,32.06,STRAHNET_Type,17.4,1,,,
42,2022,54,31100790000NB,142.37,160.52,STRAHNET_Type,18.15,1,,,
43,2022,54,43200500000WB,0.0,20.95,STRAHNET_Type,20.95,1,,,
44,2022,54,18100770000SB,117.5,156.99,STRAHNET_Type,39.49,1,,,
45,2022,54,41100770016NB,27.26,52.58,STRAHNET_Type,25.32,1,,,
46,2022,54,35100700000WB,0.0,14.45,STRAHNET_Type,14.45,1,,,
47,2022,54,17100790000SB,106.42,129.22,STRAHNET_Type,22.8,1,,,
48,2022,54,13100640000EB,147.6,184.02,STRAHNET_Type,36.42,1,,,
49,2022,54,08100790000NB,36.0,44.6,STRAHNET_Type,8.6,1,,,
50,2022,54,20100790000NB,0.0,21.28,STRAHNET_Type,21.28,1,,,
51,2022,54,31100680000WB,0.0,14.66,STRAHNET_Type,14.66,1,,,
52,2022,54,06100640000EB,5.87,31.77,STRAHNET_Type,25.9,1,,,
53,2022,54,25100790000NB,129.22,142.37,STRAHNET_Type,13.15,1,,,
54,2022,54,39100680018WB,0.0,0.676,STRAHNET_Type,0.676,1,,,
55,2022,54,50100640000WB,0.0,5.87,STRAHNET_Type,5.87,1,,,
56,2022,54,20100770000SB,95.34,117.5,STRAHNET_Type,22.16,1,,,
57,2022,54,04100790000NB,44.6,83.15,STRAHNET_Type,38.55,1,,,
58,2022,54,20100770016NB,67.21,95.34,STRAHNET_Type,28.13,1,,,
59,2022,54,35104700000WB,0.0,3.94,STRAHNET_Type,3.94,1,,,
60,2022,54,31100790000SB,142.37,160.52,STRAHNET_Type,18.15,1,,,
61,2022,54,20100640000WB,45.39,58.78,STRAHNET_Type,13.39,1,,,
62,2022,54,04100790000SB,44.6,83.15,STRAHNET_Type,38.55,1,,,
63,2022,54,28100770016SB,8.98,27.26,STRAHNET_Type,18.28,1,,,
64,2022,54,28100770016NB,8.98,27.26,STRAHNET_Type,18.28,1,,,
65,2022,54,39100680000EB,14.66,32.06,STRAHNET_Type,17.4,1,,,
66,2022,54,21100790000NB,83.55,106.42,STRAHNET_Type,22.87,1,,,
67,2022,54,41100770004NB,0.0,0.43,STRAHNET_Type,0.43,1,,,
68,2022,54,11100790000SB,83.15,83.55,STRAHNET_Type,0.4,1,,,
69,2022,54,20100770005SB,0.0,0.67,STRAHNET_Type,0.67,1,,,
70,2022,54,08100790000SB,36.0,44.6,STRAHNET_Type,8.6,1,,,
71,2022,54,20100640000EB,45.39,58.78,STRAHNET_Type,13.39,1,,,
72,2022,54,02100810000NB,0.0,26.0,STRAHNET_Type,26.0,1,,,
