,RouteID,BeginPoint,EndPoint,ValueNumeric,Comments,ValueDate,StateCode,BeginDate,ValueText,DataItem
0,01200330000EB,0.0,1.87,10,,,54,01/01/2022,,THICKNESS_RIGID
1,21100790000NB,98.4,98.63,9,,,54,01/01/2022,,THICKNESS_RIGID
2,07200330000EB,3.68,5.03,5,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
3,07200330000EB,6.62,8.3,5,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
4,31200190000NB,8.99,9.16,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
5,3130705000000,0.0,0.51,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
6,3130705000000,0.68,0.7,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
7,3130705000000,0.7,1.23,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
8,3130705000000,1.23,1.63,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
9,3130705000000,1.63,1.81,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
10,39100680000EB,14.66,18.1,9,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
11,39100680000EB,18.1,18.12,9,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
12,39100680000EB,18.12,18.2,9,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
13,39100680000EB,18.2,23.34,9,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
14,39100680000EB,26.75,28.64,9,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
15,39100680000EB,28.64,29.23,9,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
16,39100680000EB,29.23,31.24,9,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
17,39100680000EB,31.24,31.42,9,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
18,0230009000000,10.12,10.37,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
19,0230009000000,17.07,17.48,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
20,0230009000000,18.18,20.16,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
21,12200480000EB,0.0,5.82,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
22,19203400000NB,6.9,8.56,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
23,19203400000NB,8.56,9.13,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
24,19203400000NB,9.13,9.38,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
25,19203400000NB,9.38,9.5,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
26,19203400005SB,0.17,0.37,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
27,19203400005SB,0.371,0.6,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
28,19203400005SB,0.0,0.1,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
29,19203400005SB,0.1,0.17,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
30,1930009000000,0.0,1.45,10,New 2021,,54,01/01/2022,,THICKNESS_RIGID
31,1930009000000,1.45,3.94,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
32,1930009000000,4.97,6.35,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
33,1930009000000,10.91,11.418,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
34,1930009000000,14.435,14.96,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
35,1930051000000,8.66,8.78,10,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
36,42200330000EB,7.76,8.05,4,not all covered,,54,01/01/2022,,THICKNESS_RIGID
37,03201190000NB,16.97,17.83,10,,,54,01/01/2022,,THICKNESS_RIGID
38,03201190000NB,12.83,13.54,10,,,54,01/01/2022,,THICKNESS_RIGID
39,03201190000NB,11.49,12.83,9,,,54,01/01/2022,,THICKNESS_RIGID
40,20100770000NB,100.78,101.08,8,,,54,01/01/2022,,THICKNESS_RIGID
41,20100770000NB,106.17,107.6,8,,,54,01/01/2022,,THICKNESS_RIGID
42,20100640006EB,0.0,0.3,9,,,54,01/01/2022,,THICKNESS_RIGID
43,20100640000EB,57.48,57.92,8,,,54,01/01/2022,,THICKNESS_RIGID
44,20100770000NB,100.28,100.78,8,,,54,01/01/2022,,THICKNESS_RIGID
45,20100640000EB,57.92,58.3,9,,,54,01/01/2022,,THICKNESS_RIGID
46,20100770000NB,98.28,99.12,8,,,54,01/01/2022,,THICKNESS_RIGID
47,28100770000NB,8.189,8.98,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
48,28100770000NB,0.69,2.56,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
49,28100770000NB,2.56,5.12,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
50,28100770000NB,5.12,6.9,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
51,41100640000EB,128.91,129.49,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
52,41100640000EB,129.49,132.0,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
53,41100640000EB,120.69,122.62,11,New 2021,,54,01/01/2022,,THICKNESS_RIGID
54,41100640000EB,122.71,122.9,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
55,41100640000EB,122.9,123.0,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
56,41100640000EB,123.0,123.18,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
57,41100640000EB,123.63,124.47,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
58,41100640000EB,126.65,127.58,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
59,41100640000EB,132.0,132.53,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
60,41100640000EB,132.84,137.48,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
61,41100640000EB,137.48,138.01,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
62,4130307000000,7.42,8.45,11,same as 2020,,54,01/01/2022,,THICKNESS_RIGID
