,Begin_Date,State_ID,Route_ID,Begin_Point,End_Point,Data_Item,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,10100770016NB,52.58,67.21,TOLL_ID,288,,,
1,01/01/2022,54,10100770016SB,52.58,61.6,TOLL_ID,288,,,
2,01/01/2022,54,10100770016SB,61.6,67.21,TOLL_ID,288,,,
3,01/01/2022,54,20100770016NB,67.21,77.988,TOLL_ID,288,,,
4,01/01/2022,54,20100770016NB,77.988,79.92,TOLL_ID,288,,,
5,01/01/2022,54,20100770016NB,79.92,82.2,TOLL_ID,288,,,
6,01/01/2022,54,20100770016NB,82.2,82.44,TOLL_ID,288,,,
7,01/01/2022,54,20100770016NB,82.44,82.82,TOLL_ID,288,,,
8,01/01/2022,54,20100770016NB,82.82,95.34,TOLL_ID,288,,,
9,01/01/2022,54,20100770016SB,67.21,75.66,TOLL_ID,288,,,
10,01/01/2022,54,20100770016SB,75.66,78.008,TOLL_ID,288,,,
11,01/01/2022,54,20100770016SB,78.008,79.92,TOLL_ID,288,,,
12,01/01/2022,54,20100770016SB,79.92,82.2,TOLL_ID,288,,,
13,01/01/2022,54,20100770016SB,82.2,82.44,TOLL_ID,288,,,
14,01/01/2022,54,20100770016SB,82.44,82.82,TOLL_ID,288,,,
15,01/01/2022,54,20100770016SB,82.82,95.34,TOLL_ID,288,,,
16,01/01/2022,54,28100770016NB,8.98,14.006,TOLL_ID,288,,,
17,01/01/2022,54,28100770016NB,14.006,15.54,TOLL_ID,288,,,
18,01/01/2022,54,28100770016NB,15.54,19.52,TOLL_ID,288,,,
19,01/01/2022,54,28100770016NB,19.52,27.26,TOLL_ID,288,,,
20,01/01/2022,54,28100770016SB,8.98,14.008,TOLL_ID,288,,,
21,01/01/2022,54,28100770016SB,14.008,19.52,TOLL_ID,288,,,
22,01/01/2022,54,28100770016SB,19.52,27.26,TOLL_ID,288,,,
23,01/01/2022,54,41100770016NB,27.26,28.969,TOLL_ID,288,,,
24,01/01/2022,54,41100770016NB,28.969,29.9,TOLL_ID,288,,,
25,01/01/2022,54,41100770016NB,29.9,30.26,TOLL_ID,288,,,
26,01/01/2022,54,41100770016NB,30.26,35.75,TOLL_ID,288,,,
27,01/01/2022,54,41100770016NB,35.75,37.82,TOLL_ID,288,,,
28,01/01/2022,54,41100770016NB,37.82,48.34,TOLL_ID,288,,,
29,01/01/2022,54,41100770016NB,48.34,52.58,TOLL_ID,288,,,
30,01/01/2022,54,41100770016SB,27.26,28.937,TOLL_ID,288,,,
31,01/01/2022,54,41100770016SB,28.937,29.9,TOLL_ID,288,,,
32,01/01/2022,54,41100770016SB,29.9,40.78,TOLL_ID,288,,,
33,01/01/2022,54,41100770016SB,40.78,41.5,TOLL_ID,288,,,
34,01/01/2022,54,41100770016SB,41.5,48.284,TOLL_ID,288,,,
35,01/01/2022,54,41100770016SB,48.284,52.58,TOLL_ID,288,,,
