,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,5440023000000,0.0,1.82,Through_Lanes,1.82,2,,,
1,01/01/2022,54,0940005050000,0.0,0.08,Through_Lanes,0.08,2,,,
2,01/01/2022,54,0940005050000,0.08,0.28,Through_Lanes,0.2,2,,,
3,01/01/2022,54,3480938000000,0.0,0.52,Through_Lanes,0.52,2,,,
4,01/01/2022,54,2480901790000,0.0,0.15,Through_Lanes,0.15,2,,,
5,01/01/2022,54,0380901320000,0.0,0.07,Through_Lanes,0.07,2,,,
6,01/01/2022,54,5440009030000,0.0,0.223,Through_Lanes,0.223,2,,,
7,01/01/2022,54,5440009030000,0.223,0.233,Through_Lanes,0.01,2,,,
8,01/01/2022,54,5440009030000,0.233,3.11,Through_Lanes,2.877,2,,,
9,01/01/2022,54,0380901530000,0.0,0.06,Through_Lanes,0.06,2,,,
10,01/01/2022,54,0340001140000,0.0,0.45,Through_Lanes,0.45,2,,,
11,01/01/2022,54,0340001140000,0.45,0.5,Through_Lanes,0.05,2,,,
12,01/01/2022,54,1040060300000,0.0,1.11,Through_Lanes,1.11,2,,,
13,01/01/2022,54,4540044040000,0.0,0.28,Through_Lanes,0.28,2,,,
14,01/01/2022,54,4540044040000,0.28,0.92,Through_Lanes,0.64,2,,,
15,01/01/2022,54,4540044040000,3.34,3.37,Through_Lanes,0.03,2,,,
16,01/01/2022,54,4540044040000,3.37,3.76,Through_Lanes,0.39,2,,,
17,01/01/2022,54,4540044040000,3.76,5.7,Through_Lanes,1.94,2,,,
18,01/01/2022,54,1980949000000,0.0,0.15,Through_Lanes,0.15,2,,,
19,01/01/2022,54,1980949000000,0.17,0.48,Through_Lanes,0.31,2,,,
20,01/01/2022,54,1740005250000,0.0,0.61,Through_Lanes,0.61,2,,,
21,01/01/2022,54,1040009210000,0.0,0.08,Through_Lanes,0.08,2,,,
22,01/01/2022,54,4140035000000,0.0,1.75,Through_Lanes,1.75,2,,,
23,01/01/2022,54,4140035000000,1.75,1.93,Through_Lanes,0.18,2,,,
24,01/01/2022,54,4140035000000,1.93,5.05,Through_Lanes,3.12,2,,,
25,01/01/2022,54,4140035000000,5.05,8.33,Through_Lanes,3.28,2,,,
26,01/01/2022,54,4140035000000,8.33,9.25,Through_Lanes,0.92,2,,,
27,01/01/2022,54,2071103001900,0.0,0.26,Through_Lanes,0.26,2,,,
28,01/01/2022,54,5440068020000,0.0,0.22,Through_Lanes,0.22,2,,,
29,01/01/2022,54,2080901060000,0.0,0.08,Through_Lanes,0.08,2,,,
30,01/01/2022,54,1740050480000,0.0,0.032,Through_Lanes,0.032,2,,,
31,01/01/2022,54,5240016010000,0.0,2.01,Through_Lanes,2.01,2,,,
32,01/01/2022,54,5240016010000,2.01,2.25,Through_Lanes,0.24,2,,,
33,01/01/2022,54,3340009110000,0.0,0.71,Through_Lanes,0.71,2,,,
34,01/01/2022,54,0240007070000,0.0,1.18,Through_Lanes,1.18,2,,,
35,01/01/2022,54,1740119300000,0.0,0.24,Through_Lanes,0.24,2,,,
36,01/01/2022,54,2340110540000,0.0,0.02,Through_Lanes,0.02,2,,,
37,01/01/2022,54,1240050140000,0.0,0.61,Through_Lanes,0.61,2,,,
38,01/01/2022,54,2140052010000,0.0,0.64,Through_Lanes,0.64,2,,,
39,01/01/2022,54,0440001080000,0.0,0.08,Through_Lanes,0.08,2,,,
40,01/01/2022,54,0440001080000,0.08,0.725,Through_Lanes,0.645,2,,,
41,01/01/2022,54,2340016850000,0.0,0.04,Through_Lanes,0.04,2,,,
42,01/01/2022,54,5140034010000,0.0,0.23,Through_Lanes,0.23,2,,,
43,01/01/2022,54,4040001010000,0.0,1.68,Through_Lanes,1.68,2,,,
44,01/01/2022,54,3240219240000,0.0,2.0,Through_Lanes,2.0,2,,,
45,01/01/2022,54,3240219240000,2.0,5.4,Through_Lanes,3.4,2,,,
46,01/01/2022,54,3240219240000,5.4,9.6,Through_Lanes,4.2,2,,,
47,01/01/2022,54,41100770017NB0048B,0.0,0.669,Through_Lanes,0.669,1,,,
48,01/01/2022,54,2640086070000,0.0,0.41,Through_Lanes,0.41,2,,,
49,01/01/2022,54,1740019010000,0.0,0.98,Through_Lanes,0.98,2,,,
50,01/01/2022,54,1740019010000,0.98,1.478,Through_Lanes,0.498,2,,,
51,01/01/2022,54,1740019010000,1.478,1.61,Through_Lanes,0.132,2,,,
52,01/01/2022,54,2540001030000,0.0,3.46,Through_Lanes,3.46,2,,,
53,01/01/2022,54,2540001030000,3.46,4.16,Through_Lanes,0.7,2,,,
54,01/01/2022,54,1230042000000,0.0,25.46,Through_Lanes,25.46,2,,,
55,01/01/2022,54,1940009170000,0.0,0.13,Through_Lanes,0.13,2,,,
56,01/01/2022,54,1040009160000,0.0,0.13,Through_Lanes,0.13,2,,,
57,01/01/2022,54,1040009160000,0.13,0.17,Through_Lanes,0.04,2,,,
58,01/01/2022,54,08100790017SB0040D,0.0,0.415,Through_Lanes,0.415,1,,,
59,01/01/2022,54,1740011150000,0.0,0.1,Through_Lanes,0.1,2,,,
60,01/01/2022,54,2740001020000,0.0,0.989,Through_Lanes,0.989,2,,,
61,01/01/2022,54,2740001020000,0.989,1.31,Through_Lanes,0.321,2,,,
62,01/01/2022,54,3040049360000,0.0,0.05,Through_Lanes,0.05,2,,,
63,01/01/2022,54,0640035330000,0.0,0.41,Through_Lanes,0.41,2,,,
64,01/01/2022,54,2040025580000,0.0,0.23,Through_Lanes,0.23,2,,,
65,01/01/2022,54,4630076000000,0.0,7.13,Through_Lanes,7.13,2,,,
66,01/01/2022,54,2340009420000,0.0,0.02,Through_Lanes,0.02,2,,,
67,01/01/2022,54,3640220130000,0.0,0.47,Through_Lanes,0.47,2,,,
68,01/01/2022,54,1680937000000,0.0,0.48,Through_Lanes,0.48,2,,,
69,01/01/2022,54,1880917000000,0.0,0.25,Through_Lanes,0.25,2,,,
70,01/01/2022,54,3940050270000,0.0,0.1,Through_Lanes,0.1,2,,,
71,01/01/2022,54,5540085180000,0.0,0.04,Through_Lanes,0.04,2,,,
72,01/01/2022,54,3840028050000,0.0,0.5,Through_Lanes,0.5,2,,,
73,01/01/2022,54,3840028050000,0.5,1.72,Through_Lanes,1.22,2,,,
74,01/01/2022,54,1940013060000,0.0,0.23,Through_Lanes,0.23,2,,,
75,01/01/2022,54,2140007090000,0.0,0.07,Through_Lanes,0.07,2,,,
76,01/01/2022,54,4740001150000,0.0,0.5,Through_Lanes,0.5,2,,,
77,01/01/2022,54,4740001150000,0.5,0.61,Through_Lanes,0.11,2,,,
78,01/01/2022,54,1840034040000,0.49,0.98,Through_Lanes,0.49,2,,,
79,01/01/2022,54,1440050040000,0.0,2.06,Through_Lanes,2.06,2,,,
80,01/01/2022,54,1440050040000,2.06,6.09,Through_Lanes,4.03,2,,,
81,01/01/2022,54,1740020070000,0.0,1.7,Through_Lanes,1.7,2,,,
82,01/01/2022,54,2240010100000,0.0,2.1,Through_Lanes,2.1,2,,,
83,01/01/2022,54,2240010100000,2.1,4.36,Through_Lanes,2.26,2,,,
84,01/01/2022,54,0140077080000,0.0,0.26,Through_Lanes,0.26,2,,,
85,01/01/2022,54,2140033170000,0.0,0.05,Through_Lanes,0.05,2,,,
86,01/01/2022,54,2140033170000,0.05,0.13,Through_Lanes,0.08,2,,,
87,01/01/2022,54,2240119010000,0.0,0.34,Through_Lanes,0.34,2,,,
88,01/01/2022,54,0540067030000,0.0,0.88,Through_Lanes,0.88,2,,,
89,01/01/2022,54,1040041020000,0.0,1.15,Through_Lanes,1.15,2,,,
90,01/01/2022,54,1040041020000,1.15,1.4,Through_Lanes,0.25,2,,,
91,01/01/2022,54,1040041020000,1.4,3.59,Through_Lanes,2.19,2,,,
92,01/01/2022,54,1040041020000,3.59,4.17,Through_Lanes,0.58,2,,,
93,01/01/2022,54,2340003310000,0.0,0.2,Through_Lanes,0.2,2,,,
94,01/01/2022,54,1660801000000,0.0,1.17,Through_Lanes,1.17,2,,,
95,01/01/2022,54,3174783001900,0.0,0.3,Through_Lanes,0.3,2,,,
96,01/01/2022,54,4340011060000,0.0,2.33,Through_Lanes,2.33,2,,,
97,01/01/2022,54,4340011060000,2.33,2.9,Through_Lanes,0.57,2,,,
