,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,4.43,Truck,4.43,2,,,
1,01/01/2022,54,01201190000NB,9.29,11.61,Truck,2.32,2,,,
2,01/01/2022,54,01202500000NB,0.0,5.3,Truck,5.3,2,,,
3,01/01/2022,54,01202500000NB,5.3,5.78,Truck,0.48,2,,,
4,01/01/2022,54,01202500000NB,5.78,17.15,Truck,11.37,2,,,
5,01/01/2022,54,01202500002NB,0.0,0.033,Truck,0.033,2,,,
6,01/01/2022,54,0140024000000,0.0,0.41,Truck,0.41,2,,,
7,01/01/2022,54,0140119050000,0.0,0.77,Truck,0.77,2,,,
8,01/01/2022,54,0140119210000,0.0,0.27,Truck,0.27,2,,,
9,01/01/2022,54,02100810000NB,0.0,26.0,Truck,26.0,1,,,
10,01/01/2022,54,02200110000NB,0.31,2.75,Truck,2.44,1,,,
11,01/01/2022,54,02200110000NB,5.13,11.64,Truck,6.51,2,,,
12,01/01/2022,54,0230045000000,14.39,14.52,Truck,0.13,2,,,
13,01/01/2022,54,0230045000000,14.58,14.85,Truck,0.27,2,,,
14,01/01/2022,54,0230051000000,4.54,4.58,Truck,0.04,2,,,
15,01/01/2022,54,0230051000000,4.58,4.62,Truck,0.04,2,,,
16,01/01/2022,54,0230051000000,4.62,5.18,Truck,0.56,2,,,
17,01/01/2022,54,03201190000NB,0.0,12.36,Truck,12.36,2,,,
18,01/01/2022,54,03201190000NB,12.36,12.66,Truck,0.3,2,,,
19,01/01/2022,54,03201190000NB,12.66,16.22,Truck,3.56,2,,,
20,01/01/2022,54,03201190000NB,16.22,16.38,Truck,0.16,2,,,
21,01/01/2022,54,03201190000NB,16.38,16.43,Truck,0.05,2,,,
22,01/01/2022,54,03201190000NB,16.43,16.67,Truck,0.24,2,,,
23,01/01/2022,54,03201190000NB,16.67,16.72,Truck,0.05,2,,,
24,01/01/2022,54,03201190000NB,16.72,16.88,Truck,0.16,2,,,
25,01/01/2022,54,03201190000NB,16.88,16.93,Truck,0.05,2,,,
26,01/01/2022,54,03201190000NB,16.93,16.97,Truck,0.04,2,,,
27,01/01/2022,54,03201190000NB,16.97,18.19,Truck,1.22,2,,,
28,01/01/2022,54,03201190000NB,18.19,20.7,Truck,2.51,2,,,
29,01/01/2022,54,03201190000NB,20.77,22.95,Truck,2.18,2,,,
30,01/01/2022,54,04100790000NB,44.6,46.18,Truck,1.58,1,,,
31,01/01/2022,54,04100790000NB,46.18,46.22,Truck,0.04,1,,,
32,01/01/2022,54,04100790000NB,46.22,83.15,Truck,36.93,1,,,
33,01/01/2022,54,04200190000NB,0.0,6.95,Truck,6.95,1,,,
34,01/01/2022,54,05200220000EB,0.0,0.29,Truck,0.29,2,,,
35,01/01/2022,54,05200220000EB,0.29,0.6,Truck,0.31,2,,,
36,01/01/2022,54,05200220000EB,0.6,2.06,Truck,1.46,2,,,
37,01/01/2022,54,05200220000EB,2.45,5.89,Truck,3.44,2,,,
38,01/01/2022,54,06100640000EB,5.87,31.77,Truck,25.9,1,,,
39,01/01/2022,54,06200600000EB,3.46,3.94,Truck,0.48,2,,,
40,01/01/2022,54,06200600000EB,3.94,6.02,Truck,2.08,2,,,
41,01/01/2022,54,06200600000EB,6.02,8.78,Truck,2.76,2,,,
42,01/01/2022,54,06200600000EB,8.78,8.82,Truck,0.04,2,,,
43,01/01/2022,54,06200600000EB,8.82,9.5,Truck,0.68,2,,,
44,01/01/2022,54,06200600000EB,22.08,22.3,Truck,0.22,2,,,
45,01/01/2022,54,06200600000EB,22.39,22.49,Truck,0.1,2,,,
46,01/01/2022,54,06200600007WB,0.15,0.43,Truck,0.28,2,,,
47,01/01/2022,54,0630002000000,0.0,1.65,Truck,1.65,2,,,
48,01/01/2022,54,0630002001300,0.0,0.17,Truck,0.17,2,,,
