,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,1.7,Turn_Lanes_R,1.7,4,,,
1,01/01/2022,54,01200330000EB,1.7,1.87,Turn_Lanes_R,0.17,4,,,
2,01/01/2022,54,01201190000NB,6.95,9.29,Turn_Lanes_R,2.34,5,,,
3,01/01/2022,54,01201190000NB,10.66,11.5,Turn_Lanes_R,0.84,2,,,
4,01/01/2022,54,0130020000000,0.0,2.15,Turn_Lanes_R,2.15,5,,,
5,01/01/2022,54,0130038000000,0.43,2.43,Turn_Lanes_R,2.0,5,,,
6,01/01/2022,54,0130038000000,5.53,6.31,Turn_Lanes_R,0.78,5,,,
7,01/01/2022,54,0130076000000,1.75,6.62,Turn_Lanes_R,4.87,5,,,
8,01/01/2022,54,0130092000000,8.64,9.265,Turn_Lanes_R,0.625,5,,,
9,01/01/2022,54,0130092000000,9.265,10.73,Turn_Lanes_R,1.465,5,,,
10,01/01/2022,54,0140006000000,0.11,3.13,Turn_Lanes_R,3.02,5,,,
11,01/01/2022,54,0140010000000,7.41,8.63,Turn_Lanes_R,1.22,5,,,
12,01/01/2022,54,0140011000000,3.05,3.78,Turn_Lanes_R,0.73,5,,,
13,01/01/2022,54,0140024000000,1.64,2.79,Turn_Lanes_R,1.15,5,,,
14,01/01/2022,54,0140024000000,2.79,4.74,Turn_Lanes_R,1.95,5,,,
15,01/01/2022,54,0140030000000,6.14,6.83,Turn_Lanes_R,0.69,5,,,
16,01/01/2022,54,0140030070000,0.0,0.92,Turn_Lanes_R,0.92,5,,,
17,01/01/2022,54,0140030070000,0.92,2.0,Turn_Lanes_R,1.08,5,,,
18,01/01/2022,54,0140046010000,0.0,1.62,Turn_Lanes_R,1.62,5,,,
19,01/01/2022,54,02100810000NB,0.0,1.39,Turn_Lanes_R,1.39,1,,,
20,01/01/2022,54,02100810000NB,1.39,6.27,Turn_Lanes_R,4.88,1,,,
21,01/01/2022,54,02100810000NB,6.27,11.3,Turn_Lanes_R,5.03,1,,,
22,01/01/2022,54,02100810000NB,11.3,11.4,Turn_Lanes_R,0.1,1,,,
23,01/01/2022,54,02100810000NB,11.4,11.63,Turn_Lanes_R,0.23,1,,,
24,01/01/2022,54,02100810000NB,11.63,13.54,Turn_Lanes_R,1.91,1,,,
25,01/01/2022,54,02100810000NB,13.54,14.26,Turn_Lanes_R,0.72,1,,,
26,01/01/2022,54,02100810000NB,14.26,15.22,Turn_Lanes_R,0.96,1,,,
27,01/01/2022,54,02100810000NB,15.22,15.62,Turn_Lanes_R,0.4,1,,,
28,01/01/2022,54,02100810000NB,15.62,15.95,Turn_Lanes_R,0.33,1,,,
29,01/01/2022,54,02100810000NB,15.95,16.23,Turn_Lanes_R,0.28,1,,,
30,01/01/2022,54,02100810000NB,16.23,17.3,Turn_Lanes_R,1.07,1,,,
31,01/01/2022,54,02100810000NB,17.3,18.13,Turn_Lanes_R,0.83,1,,,
32,01/01/2022,54,02100810000NB,18.13,20.37,Turn_Lanes_R,2.24,1,,,
33,01/01/2022,54,02100810000NB,20.37,23.0,Turn_Lanes_R,2.63,1,,,
