,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,1.7,Urban_Code,1.7,99999,,,
1,01/01/2022,54,01200330000EB,1.7,3.9,Urban_Code,2.2,99999,,,
2,01/01/2022,54,01200330000EB,3.9,4.43,Urban_Code,0.53,99999,,,
3,01/01/2022,54,01200330000WB,0.0,1.7,Urban_Code,1.7,99999,,,
4,01/01/2022,54,01200330000WB,1.7,3.9,Urban_Code,2.2,99999,,,
5,01/01/2022,54,01200330000WB,3.9,4.43,Urban_Code,0.53,99999,,,
6,01/01/2022,54,01201190000NB,0.0,18.68,Urban_Code,18.68,99999,,,
7,01/01/2022,54,01201190000SB,0.0,18.68,Urban_Code,18.68,99999,,,
8,01/01/2022,54,01202500000NB,0.0,5.3,Urban_Code,5.3,99999,,,
9,01/01/2022,54,01202500000NB,5.3,5.78,Urban_Code,0.48,99999,,,
10,01/01/2022,54,01202500000NB,5.78,17.31,Urban_Code,11.53,99999,,,
11,01/01/2022,54,01202500000SB,0.0,4.86,Urban_Code,4.86,99999,,,
12,01/01/2022,54,01202500000SB,4.86,5.78,Urban_Code,0.92,99999,,,
13,01/01/2022,54,01202500000SB,5.78,17.31,Urban_Code,11.53,99999,,,
14,01/01/2022,54,01202500002NB,0.0,0.033,Urban_Code,0.033,99999,,,
15,01/01/2022,54,01202500002SB,0.0,0.033,Urban_Code,0.033,99999,,,
16,01/01/2022,54,01202500013NB,0.0,0.82,Urban_Code,0.82,99999,,,
17,01/01/2022,54,01202500013SB,0.0,0.82,Urban_Code,0.82,99999,,,
18,01/01/2022,54,0130020000000,0.0,3.94,Urban_Code,3.94,99999,,,
19,01/01/2022,54,0130038000000,0.0,2.7,Urban_Code,2.7,99999,,,
20,01/01/2022,54,0130038000000,2.7,2.73,Urban_Code,0.03,99999,,,
21,01/01/2022,54,0130038000000,2.73,12.0,Urban_Code,9.27,99999,,,
22,01/01/2022,54,0130057000000,0.0,9.63,Urban_Code,9.63,99999,,,
23,01/01/2022,54,0130076000000,0.0,6.62,Urban_Code,6.62,99999,,,
24,01/01/2022,54,0130092000000,5.43,9.265,Urban_Code,3.835,99999,,,
25,01/01/2022,54,0130092000000,9.265,11.14,Urban_Code,1.875,99999,,,
26,01/01/2022,54,0130092000000,11.14,11.21,Urban_Code,0.07,99999,,,
27,01/01/2022,54,0130092000000,11.21,14.565,Urban_Code,3.355,99999,,,
28,01/01/2022,54,0130092000000,14.565,16.84,Urban_Code,2.275,99999,,,
29,01/01/2022,54,0130092000000,17.21,26.93,Urban_Code,9.72,99999,,,
30,01/01/2022,54,0130092000000,26.93,26.94,Urban_Code,0.01,99999,,,
31,01/01/2022,54,0140001000000,0.0,3.96,Urban_Code,3.96,99999,,,
32,01/01/2022,54,0140001010000,0.0,0.43,Urban_Code,0.43,99999,,,
33,01/01/2022,54,0140001010000,0.43,4.24,Urban_Code,3.81,99999,,,
34,01/01/2022,54,0140002000000,0.0,1.86,Urban_Code,1.86,99999,,,
35,01/01/2022,54,0140002000000,1.86,3.43,Urban_Code,1.57,99999,,,
36,01/01/2022,54,0140002020000,0.0,1.8,Urban_Code,1.8,99999,,,
37,01/01/2022,54,0140002020000,1.8,3.35,Urban_Code,1.55,99999,,,
38,01/01/2022,54,0140002030000,0.0,0.84,Urban_Code,0.84,99999,,,
39,01/01/2022,54,0140002040000,0.0,2.74,Urban_Code,2.74,99999,,,
40,01/01/2022,54,0140003000000,0.0,1.52,Urban_Code,1.52,99999,,,
41,01/01/2022,54,0140003000000,1.52,3.22,Urban_Code,1.7,99999,,,
42,01/01/2022,54,0140003010000,1.04,1.28,Urban_Code,0.24,99999,,,
43,01/01/2022,54,0140003010000,1.28,1.7,Urban_Code,0.42,99999,,,
44,01/01/2022,54,0140003020000,0.0,0.13,Urban_Code,0.13,99999,,,
45,01/01/2022,54,0140003020000,1.33,1.64,Urban_Code,0.31,99999,,,
46,01/01/2022,54,0140004000000,0.0,2.2,Urban_Code,2.2,99999,,,
47,01/01/2022,54,0140004010000,0.0,1.17,Urban_Code,1.17,99999,,,
48,01/01/2022,54,0140004020000,0.0,0.7,Urban_Code,0.7,99999,,,
49,01/01/2022,54,0140004030000,0.0,0.08,Urban_Code,0.08,99999,,,
50,01/01/2022,54,0140005000000,0.0,0.11,Urban_Code,0.11,99999,,,
51,01/01/2022,54,0140005000000,0.11,1.5,Urban_Code,1.39,99999,,,
52,01/01/2022,54,0140005000000,1.5,1.96,Urban_Code,0.46,99999,,,
53,01/01/2022,54,0140005000000,1.96,3.56,Urban_Code,1.6,99999,,,
54,01/01/2022,54,0140005010000,0.0,0.99,Urban_Code,0.99,99999,,,
55,01/01/2022,54,0140005020000,0.0,1.46,Urban_Code,1.46,99999,,,
56,01/01/2022,54,0140005030000,0.0,0.36,Urban_Code,0.36,99999,,,
57,01/01/2022,54,0140005030000,0.36,0.89,Urban_Code,0.53,99999,,,
58,01/01/2022,54,0140005040000,0.0,1.99,Urban_Code,1.99,99999,,,
59,01/01/2022,54,0140005060000,0.0,0.79,Urban_Code,0.79,99999,,,
60,01/01/2022,54,0140005070000,0.0,1.5,Urban_Code,1.5,99999,,,
