,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
0,01/01/2022,54,01200330000EB,0.0,1.7,WIDENING_POTENTIAL,1.7,3,D,,
1,01/01/2022,54,01200330000EB,1.7,1.87,WIDENING_POTENTIAL,0.17,3,D,,
2,01/01/2022,54,01201190000NB,6.95,9.29,WIDENING_POTENTIAL,2.34,2,D,,
3,01/01/2022,54,01201190000NB,10.66,11.5,WIDENING_POTENTIAL,0.84,2,A,,
4,01/01/2022,54,0130020000000,0.0,2.15,WIDENING_POTENTIAL,2.15,3,D,,
5,01/01/2022,54,0130038000000,0.43,2.43,WIDENING_POTENTIAL,2.0,3,D,,
6,01/01/2022,54,0130038000000,5.53,6.31,WIDENING_POTENTIAL,0.78,2,D,,
7,01/01/2022,54,0130076000000,1.75,6.62,WIDENING_POTENTIAL,4.87,1,B,,
8,01/01/2022,54,0130092000000,8.64,9.265,WIDENING_POTENTIAL,0.625,3,D,,
9,01/01/2022,54,0130092000000,9.265,10.73,WIDENING_POTENTIAL,1.465,3,D,,
10,01/01/2022,54,0140006000000,0.11,3.13,WIDENING_POTENTIAL,3.02,3,D,,
11,01/01/2022,54,0140010000000,7.41,8.63,WIDENING_POTENTIAL,1.22,2,D,,
12,01/01/2022,54,0140011000000,3.05,3.78,WIDENING_POTENTIAL,0.73,3,D,,
13,01/01/2022,54,0140024000000,1.64,2.79,WIDENING_POTENTIAL,1.15,2,D,,
14,01/01/2022,54,0140024000000,2.79,4.74,WIDENING_POTENTIAL,1.95,3,D,,
15,01/01/2022,54,0140030000000,6.14,6.83,WIDENING_POTENTIAL,0.69,3,D,,
16,01/01/2022,54,0140030070000,0.0,0.92,WIDENING_POTENTIAL,0.92,3,D,,
17,01/01/2022,54,0140030070000,0.92,2.0,WIDENING_POTENTIAL,1.08,3,D,,
18,01/01/2022,54,0140046010000,0.0,1.62,WIDENING_POTENTIAL,1.62,2,D,,
19,01/01/2022,54,02100810000NB,0.0,1.39,WIDENING_POTENTIAL,1.39,4,D,,
20,01/01/2022,54,02100810000NB,1.39,6.27,WIDENING_POTENTIAL,4.88,4,X,,
21,01/01/2022,54,02100810000NB,6.27,11.3,WIDENING_POTENTIAL,5.03,4,X,,
22,01/01/2022,54,02100810000NB,11.3,11.4,WIDENING_POTENTIAL,0.1,4,X,,
23,01/01/2022,54,02100810000NB,11.4,11.63,WIDENING_POTENTIAL,0.23,4,X,,
24,01/01/2022,54,02100810000NB,11.63,13.54,WIDENING_POTENTIAL,1.91,4,X,,
25,01/01/2022,54,02100810000NB,13.54,14.26,WIDENING_POTENTIAL,0.72,3,D,,
26,01/01/2022,54,02100810000NB,14.26,15.22,WIDENING_POTENTIAL,0.96,4,X,,
27,01/01/2022,54,02100810000NB,15.22,15.62,WIDENING_POTENTIAL,0.4,4,X,,
28,01/01/2022,54,02100810000NB,15.62,15.95,WIDENING_POTENTIAL,0.33,2,B,,
29,01/01/2022,54,02100810000NB,15.95,16.23,WIDENING_POTENTIAL,0.28,4,X,,
30,01/01/2022,54,02100810000NB,16.23,17.3,WIDENING_POTENTIAL,1.07,4,A,,
31,01/01/2022,54,02100810000NB,17.3,18.13,WIDENING_POTENTIAL,0.83,4,X,,
32,01/01/2022,54,02100810000NB,18.13,20.37,WIDENING_POTENTIAL,2.24,4,X,,
33,01/01/2022,54,02100810000NB,20.37,23.0,WIDENING_POTENTIAL,2.63,4,X,,
34,01/01/2022,54,02100810000NB,23.0,23.46,WIDENING_POTENTIAL,0.46,4,X,,
35,01/01/2022,54,02100810000NB,23.46,23.6,WIDENING_POTENTIAL,0.14,4,X,,
36,01/01/2022,54,02100810000NB,23.6,23.7,WIDENING_POTENTIAL,0.1,4,X,,
37,01/01/2022,54,02100810000NB,23.7,23.8,WIDENING_POTENTIAL,0.1,4,X,,
38,01/01/2022,54,02100810000NB,23.8,24.53,WIDENING_POTENTIAL,0.73,4,X,,
39,01/01/2022,54,02100810000NB,24.53,25.4,WIDENING_POTENTIAL,0.87,2,D,,
40,01/01/2022,54,02100810000NB,25.4,25.9,WIDENING_POTENTIAL,0.5,2,D,,
41,01/01/2022,54,02100810000NB,25.9,26.0,WIDENING_POTENTIAL,0.1,2,D,,
42,01/01/2022,54,02200110000NB,5.24,6.05,WIDENING_POTENTIAL,0.81,2,A,,
43,01/01/2022,54,02200110000NB,13.65,13.78,WIDENING_POTENTIAL,0.13,1,B,,
44,01/01/2022,54,02200110000NB,14.51,14.64,WIDENING_POTENTIAL,0.13,3,A,,
45,01/01/2022,54,02200110000NB,16.48,17.51,WIDENING_POTENTIAL,1.03,2,A,,
46,01/01/2022,54,02200110000NB,24.71,24.97,WIDENING_POTENTIAL,0.26,2,A,,
47,01/01/2022,54,0230009000000,0.35,1.45,WIDENING_POTENTIAL,1.1,1,A,,
48,01/01/2022,54,0230009000000,1.45,2.2,WIDENING_POTENTIAL,0.75,1,A,,
