,RouteID,BeginPoint,EndPoint,ValueDate,Comments,ValueNumeric,StateCode,BeginDate,ValueText,DataItem
0,06100640000EB,5.87,6.0,2015,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
1,06100640000EB,6.0,6.1,2015,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
2,06100640000EB,6.1,6.47,2015,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
3,06100640000EB,6.47,6.74,2015,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
4,06100640000EB,6.74,7.2,2015,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
5,06100640000EB,7.2,7.26,2015,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
6,06100640000EB,7.26,7.3,2015,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
7,06100640000EB,7.3,7.72,2015,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
8,06100640000EB,7.72,8.19,2015,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
9,06100640000EB,8.19,9.22,2017,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
10,06100640000EB,9.22,9.52,2017,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
11,06100640000EB,11.02,11.37,2015,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
12,06100640000EB,11.37,14.53,2015,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
13,06100640000EB,14.57,17.5,2016,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
14,06100640000EB,17.5,17.68,2016,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
15,06100640000EB,17.68,17.7,2016,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
16,06100640000EB,17.7,18.0,2016,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
17,06100640000EB,18.0,18.08,2016,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
18,06100640000EB,18.08,18.1,2015,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
19,06100640000EB,18.1,18.49,2015,same as 2020,,54,01/01/2022,,YEAR_LAST_IMPROVEMENT
